kernel,radius,mode,get_range_time,loop_time,projectionTime,binarySearchTime,threshold,maxPointsLeaf
sphere,2.000000,polar,0.0,0.0,0.000156703,1.4482e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.1554e-05,4.4274e-05,32,256
sphere,2.000000,polar,0.0,0.0,5.561e-06,7.292e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.1724e-05,2.4747e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.7047e-05,1.8032e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.348e-06,1.7158e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.4391e-05,2.9398e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.6043e-05,3.3912e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.1761e-05,3.3209e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.659e-06,1.7504e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.2796e-05,3.0202e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.2499e-05,3.3867e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.215e-06,2.5327e-05,32,256
sphere,2.000000,polar,0.0,0.0,5.417e-06,2.83e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.2398e-05,2.9279e-05,32,256
sphere,2.000000,polar,0.0,0.0,7.852e-06,2.1268e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.262e-05,4.1335e-05,32,256
sphere,2.000000,polar,0.0,0.0,2.1244e-05,0.000135076,32,256
sphere,2.000000,polar,0.0,0.0,7.74e-06,6.752e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.8218e-05,3.8655e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.5886e-05,4.0882e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.3978e-05,3.444e-05,32,256
sphere,2.000000,polar,0.0,0.0,4.771e-06,6.32e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.1859e-05,1.868e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.2224e-05,2.4243e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.628e-06,2.7e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.0352e-05,2.7597e-05,32,256
sphere,2.000000,polar,0.0,0.0,3.242e-06,6.962e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.3899e-05,3.4607e-05,32,256
sphere,2.000000,polar,0.0,0.0,2.0298e-05,3.7774e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.2074e-05,2.2958e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.4869e-05,3.8786e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.443e-05,2.4588e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.2673e-05,2.5559e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.469e-06,1.6125e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.527e-05,3.787e-05,32,256
sphere,2.000000,polar,0.0,0.0,9.577e-06,1.4564e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.3782e-05,3.4535e-05,32,256
sphere,2.000000,polar,0.0,0.0,8.274e-06,8.953e-06,32,256
sphere,2.000000,polar,0.0,0.0,1.0131e-05,1.4042e-05,32,256
sphere,2.000000,polar,0.0,0.0,1.0611e-05,1.7982e-05,32,256
