leaf,kernel,mode,radius,L,neighbours,count,total,key,threshold,maxPointsLeaf
177909,sphere,polar,1,3.90648,0,0,17,0,16,128
177892,sphere,polar,1,1.95324,0,1,33,0,16,128
177895,sphere,polar,1,1.95324,0,1,48,0,16,128
177846,sphere,polar,1,1.95324,12,30,116,0,16,128
177853,sphere,polar,1,0.976621,1,13,80,0,16,128
177854,sphere,polar,1,0.976621,1,13,55,0,16,128
177741,sphere,polar,1,1.95324,35,48,126,0,16,128
177781,sphere,polar,1,0.976621,52,104,104,0,16,128
177798,sphere,polar,1,0.976621,15,27,98,0,16,128
366352,sphere,polar,1,1.95324,0,44,44,0,16,128
366074,sphere,polar,1,0.976621,3,22,118,0,16,128
366075,sphere,polar,1,0.976621,41,43,112,0,16,128
366076,sphere,polar,1,0.488311,16,27,27,0,16,128
366077,sphere,polar,1,0.488311,4,9,34,0,16,128
366078,sphere,polar,1,0.488311,3,11,36,0,16,128
366079,sphere,polar,1,0.488311,35,35,35,0,16,128
366070,sphere,polar,1,0.488311,8,10,32,0,16,128
439935,sphere,polar,1,3.90648,0,0,19,0,16,128
440030,sphere,polar,1,0.976621,38,45,45,0,16,128
440033,sphere,polar,1,0.976621,2,16,114,0,16,128
440034,sphere,polar,1,0.976621,2,11,35,0,16,128
440044,sphere,polar,1,0.976621,77,114,114,0,16,128
440037,sphere,polar,1,0.488311,1,8,29,0,16,128
440042,sphere,polar,1,0.488311,2,12,38,0,16,128
89430,sphere,polar,1,0.488311,7,9,32,0,16,128
89431,sphere,polar,1,0.488311,3,10,32,0,16,128
89420,sphere,polar,1,0.488311,26,36,36,0,16,128
89421,sphere,polar,1,0.488311,32,32,32,0,16,128
89422,sphere,polar,1,0.488311,23,34,34,0,16,128
89423,sphere,polar,1,0.488311,12,14,34,0,16,128
89413,sphere,polar,1,0.488311,1,7,39,0,16,128
89414,sphere,polar,1,0.488311,2,8,32,0,16,128
340321,sphere,polar,1,3.90648,0,15,68,0,16,128
340308,sphere,polar,1,1.95324,3,20,20,0,16,128
340300,sphere,polar,1,0.976621,0,2,53,0,16,128
340301,sphere,polar,1,0.976621,16,47,47,0,16,128
340304,sphere,polar,1,0.976621,0,9,24,0,16,128
340305,sphere,polar,1,0.976621,13,17,24,0,16,128
340306,sphere,polar,1,0.976621,42,47,47,0,16,128
340307,sphere,polar,1,0.976621,7,17,45,0,16,128
359041,sphere,polar,1,1.95324,13,16,21,0,16,128
359042,sphere,polar,1,1.95324,32,35,68,0,16,128
359045,sphere,polar,1,1.95324,0,10,55,0,16,128
359046,sphere,polar,1,1.95324,0,2,40,0,16,128
358950,sphere,polar,1,1.95324,0,1,33,0,16,128
358951,sphere,polar,1,1.95324,0,1,20,0,16,128
358954,sphere,polar,1,1.95324,25,40,84,0,16,128
358955,sphere,polar,1,1.95324,1,12,36,0,16,128
358944,sphere,polar,1,1.95324,0,7,57,0,16,128
280137,sphere,polar,1,1.95324,1,14,78,0,16,128
280130,sphere,polar,1,0.976621,1,23,23,0,16,128
280109,sphere,polar,1,0.976621,11,29,29,0,16,128
280110,sphere,polar,1,0.976621,2,27,27,0,16,128
280099,sphere,polar,1,0.976621,1,4,22,0,16,128
280100,sphere,polar,1,0.976621,9,33,95,0,16,128
280101,sphere,polar,1,0.976621,0,19,104,0,16,128
280073,sphere,polar,1,1.95324,16,22,56,0,16,128
280074,sphere,polar,1,1.95324,25,30,104,0,16,128
280093,sphere,polar,1,1.95324,4,17,110,0,16,128
280094,sphere,polar,1,1.95324,0,1,26,0,16,128
279585,sphere,polar,1,1.95324,0,6,54,0,16,128
279586,sphere,polar,1,1.95324,0,1,28,0,16,128
279589,sphere,polar,1,1.95324,2,3,41,0,16,128
279590,sphere,polar,1,1.95324,13,32,75,0,16,128
279515,sphere,polar,1,1.95324,0,10,53,0,16,128
279516,sphere,polar,1,1.95324,10,33,113,0,16,128
279479,sphere,polar,1,1.95324,8,18,100,0,16,128
279482,sphere,polar,1,1.95324,0,25,69,0,16,128
279471,sphere,polar,1,1.95324,11,18,42,0,16,128
279474,sphere,polar,1,1.95324,35,38,74,0,16,128
76143,sphere,polar,1,0.976621,0,1,39,0,16,128
76108,sphere,polar,1,0.976621,0,3,22,0,16,128
76115,sphere,polar,1,0.976621,0,0,33,0,16,128
76064,sphere,polar,1,1.95324,0,0,127,0,16,128
76066,sphere,polar,1,1.95324,14,39,121,0,16,128
76068,sphere,polar,1,0.488311,22,28,28,0,16,128
76072,sphere,polar,1,0.488311,0,3,23,0,16,128
76024,sphere,polar,1,0.976621,19,27,77,0,16,128
76011,sphere,polar,1,0.976621,42,46,126,0,16,128
210129,sphere,polar,1,0.488311,10,20,20,0,16,128
210130,sphere,polar,1,0.488311,13,20,20,0,16,128
210132,sphere,polar,1,0.488311,4,9,30,0,16,128
210133,sphere,polar,1,0.488311,3,6,20,0,16,128
