leaf,kernel,mode,radius,L,neighbours,count,total,key,threshold,maxPointsLeaf
806571,sphere,polar,0.25,0.447072,9,64,64,0,16,128
806599,sphere,polar,0.25,0.111768,0,11,42,0,16,128
806600,sphere,polar,0.25,0.111768,11,15,54,0,16,128
806588,sphere,polar,0.25,0.111768,30,31,52,0,16,128
806589,sphere,polar,0.25,0.111768,27,27,55,0,16,128
806590,sphere,polar,0.25,0.111768,14,23,71,0,16,128
806591,sphere,polar,0.25,0.111768,10,13,38,0,16,128
806584,sphere,polar,0.25,0.111768,19,23,85,0,16,128
806585,sphere,polar,0.25,0.111768,15,15,31,0,16,128
806586,sphere,polar,0.25,0.111768,40,64,64,0,16,128
806587,sphere,polar,0.25,0.111768,33,57,57,0,16,128
806576,sphere,polar,0.25,0.111768,4,7,71,0,16,128
806577,sphere,polar,0.25,0.111768,22,27,54,0,16,128
1608823,sphere,polar,0.25,0.111768,14,27,78,0,16,128
1608814,sphere,polar,0.25,0.111768,70,85,85,0,16,128
1608815,sphere,polar,0.25,0.111768,9,15,86,0,16,128
1608806,sphere,polar,0.25,0.111768,0,13,86,0,16,128
1608807,sphere,polar,0.25,0.111768,61,85,85,0,16,128
1608798,sphere,polar,0.25,0.111768,11,25,81,0,16,128
1912947,sphere,polar,0.25,0.447072,3,16,36,0,16,128
1912879,sphere,polar,0.25,0.447072,3,21,57,0,16,128
1912880,sphere,polar,0.25,0.447072,11,21,37,0,16,128
403638,sphere,polar,0.25,0.223536,3,17,64,0,16,128
403634,sphere,polar,0.25,0.223536,1,27,30,0,16,128
403637,sphere,polar,0.25,0.223536,19,27,33,0,16,128
403617,sphere,polar,0.25,0.223536,17,23,27,0,16,128
403620,sphere,polar,0.25,0.223536,4,26,31,0,16,128
403621,sphere,polar,0.25,0.223536,0,6,19,0,16,128
403608,sphere,polar,0.25,0.223536,0,4,17,0,16,128
403609,sphere,polar,0.25,0.223536,23,23,29,0,16,128
403612,sphere,polar,0.25,0.223536,28,29,37,0,16,128
403613,sphere,polar,0.25,0.223536,0,5,21,0,16,128
403599,sphere,polar,0.25,0.223536,10,21,60,0,16,128
403602,sphere,polar,0.25,0.223536,9,20,62,0,16,128
403591,sphere,polar,0.25,0.223536,0,17,62,0,16,128
403594,sphere,polar,0.25,0.223536,4,21,66,0,16,128
1476641,sphere,polar,0.25,0.223536,2,32,92,0,16,128
1476644,sphere,polar,0.25,0.111768,6,23,87,0,16,128
1476645,sphere,polar,0.25,0.111768,12,19,40,0,16,128
1476646,sphere,polar,0.25,0.111768,7,17,49,0,16,128
1476552,sphere,polar,0.25,0.111768,0,3,46,0,16,128
