leaf,kernel,mode,radius,L,neighbours,count,total,key,threshold,maxPointsLeaf
237867,sphere,polar,1,1.95312,0,3,58,0,16,128
237868,sphere,polar,1,1.95312,0,27,61,0,16,128
235114,sphere,polar,1,1.95312,1,3,70,0,16,128
235115,sphere,polar,1,1.95312,1,6,110,0,16,128
235120,sphere,polar,1,1.95312,2,36,99,0,16,128
235121,sphere,polar,1,1.95312,16,20,123,0,16,128
235112,sphere,polar,1,1.95312,1,14,95,0,16,128
483491,sphere,polar,1,1.95312,0,15,119,0,16,128
483492,sphere,polar,1,1.95312,3,7,52,0,16,128
483186,sphere,polar,1,1.95312,0,5,65,0,16,128
483117,sphere,polar,1,1.95312,0,1,62,0,16,128
482946,sphere,polar,1,1.95312,2,23,86,0,16,128
482947,sphere,polar,1,1.95312,8,13,85,0,16,128
574913,sphere,polar,1,3.90625,2,17,85,0,16,128
574918,sphere,polar,1,1.95312,1,2,25,0,16,128
309192,sphere,polar,1,1.95312,0,19,92,0,16,128
309178,sphere,polar,1,0.976562,0,6,24,0,16,128
115656,sphere,polar,1,0.976562,5,34,34,0,16,128
115657,sphere,polar,1,0.976562,11,17,17,0,16,128
115659,sphere,polar,1,0.976562,1,11,30,0,16,128
115635,sphere,polar,1,1.95312,11,11,53,0,16,128
445684,sphere,polar,1,1.95312,2,18,94,0,16,128
445685,sphere,polar,1,1.95312,20,26,67,0,16,128
445669,sphere,polar,1,1.95312,8,15,126,0,16,128
473456,sphere,polar,1,1.95312,0,18,51,0,16,128
473459,sphere,polar,1,1.95312,0,0,28,0,16,128
473455,sphere,polar,1,1.95312,0,32,51,0,16,128
367642,sphere,polar,1,1.95312,33,39,110,0,16,128
367643,sphere,polar,1,1.95312,1,2,19,0,16,128
367638,sphere,polar,1,0.976562,1,9,46,0,16,128
367537,sphere,polar,1,1.95312,2,23,105,0,16,128
366385,sphere,polar,1,3.90625,0,12,72,0,16,128
366377,sphere,polar,1,1.95312,23,79,79,0,16,128
366380,sphere,polar,1,1.95312,0,21,21,0,16,128
99561,sphere,polar,1,3.90625,0,6,126,0,16,128
99570,sphere,polar,1,1.95312,0,33,82,0,16,128
99571,sphere,polar,1,1.95312,0,15,100,0,16,128
99576,sphere,polar,1,1.95312,18,26,60,0,16,128
99577,sphere,polar,1,1.95312,6,28,89,0,16,128
99562,sphere,polar,1,1.95312,0,19,94,0,16,128
99565,sphere,polar,1,1.95312,2,12,45,0,16,128
99566,sphere,polar,1,1.95312,1,14,69,0,16,128
99569,sphere,polar,1,1.95312,0,3,51,0,16,128
99554,sphere,polar,1,1.95312,0,20,22,0,16,128
276459,sphere,polar,1,1.95312,1,10,41,0,16,128
276422,sphere,polar,1,1.95312,4,15,43,0,16,128
276417,sphere,polar,1,1.95312,4,7,42,0,16,128
276363,sphere,polar,1,1.95312,2,8,43,0,16,128
99596,sphere,polar,1,1.95312,0,7,40,0,16,128
99570,sphere,polar,1,1.95312,7,18,82,0,16,128
99571,sphere,polar,1,1.95312,0,4,100,0,16,128
99572,sphere,polar,1,1.95312,0,0,48,0,16,128
99573,sphere,polar,1,1.95312,12,27,110,0,16,128
63584,sphere,polar,1,1.95312,0,0,24,0,16,128
63585,sphere,polar,1,1.95312,1,2,24,0,16,128
63588,sphere,polar,1,1.95312,6,11,54,0,16,128
62594,sphere,polar,1,1.95312,0,13,76,0,16,128
36935,sphere,polar,1,7.81249,4,22,50,0,16,128
36997,sphere,polar,1,3.90625,6,40,122,0,16,128
284037,sphere,polar,1,1.95312,0,10,42,0,16,128
284048,sphere,polar,1,1.95312,19,27,128,0,16,128
284051,sphere,polar,1,1.95312,15,22,96,0,16,128
284045,sphere,polar,1,0.976562,0,9,41,0,16,128
284046,sphere,polar,1,0.976562,0,3,18,0,16,128
283703,sphere,polar,1,1.95312,0,8,89,0,16,128
522111,sphere,polar,1,1.95312,12,72,72,0,16,128
517291,sphere,polar,1,1.95312,12,76,76,0,16,128
208217,sphere,polar,1,7.81249,2,23,65,0,16,128
208505,sphere,polar,1,0.976562,0,12,57,0,16,128
208483,sphere,polar,1,1.95312,0,1,18,0,16,128
208228,sphere,polar,1,1.95312,1,10,123,0,16,128
208230,sphere,polar,1,0.976562,0,7,26,0,16,128
208235,sphere,polar,1,0.976562,19,21,21,0,16,128
208236,sphere,polar,1,0.976562,19,24,24,0,16,128
369205,sphere,polar,1,1.95312,17,24,110,0,16,128
369206,sphere,polar,1,1.95312,2,5,71,0,16,128
369158,sphere,polar,1,0.976562,0,19,19,0,16,128
368991,sphere,polar,1,1.95312,4,23,93,0,16,128
91739,sphere,polar,1,1.95312,1,5,65,0,16,128
91242,sphere,polar,1,1.95312,10,12,40,0,16,128
91243,sphere,polar,1,1.95312,0,7,37,0,16,128
52834,sphere,polar,1,15.625,0,8,57,0,16,128
53000,sphere,polar,1,1.95312,2,18,66,0,16,128
442335,sphere,polar,1,1.95312,1,19,98,0,16,128
431627,sphere,polar,1,1.95312,24,34,115,0,16,128
431559,sphere,polar,1,1.95312,0,2,36,0,16,128
398856,sphere,polar,1,1.95312,0,1,117,0,16,128
398830,sphere,polar,1,0.976562,0,9,33,0,16,128
398833,sphere,polar,1,0.976562,0,0,26,0,16,128
