leaf,kernel,mode,radius,L,neighbours,count,total,key,threshold,maxPointsLeaf
509008,sphere,polar,0.005,0.0274998,8,15,120,0,16,128
957673,sphere,polar,0.005,0.0137499,0,7,30,0,16,128
1142535,sphere,polar,0.005,0.109999,1,10,104,0,16,128
251387,sphere,polar,0.005,0.00687494,0,1,17,0,16,128
251403,sphere,polar,0.005,0.00171873,66,110,110,0,16,128
251406,sphere,polar,0.005,0.00171873,38,39,39,0,16,128
251398,sphere,polar,0.005,0.00171873,0,13,56,0,16,128
885390,sphere,polar,0.005,0.0549995,0,0,78,0,16,128
884074,sphere,polar,0.005,0.0137499,1,3,39,0,16,128
884069,sphere,polar,0.005,0.0137499,1,6,54,0,16,128
884070,sphere,polar,0.005,0.0137499,0,2,25,0,16,128
938696,sphere,polar,0.005,0.0549995,1,3,55,0,16,128
738196,sphere,polar,0.005,0.0274998,1,2,91,0,16,128
738162,sphere,polar,0.005,0.0137499,1,4,21,0,16,128
738163,sphere,polar,0.005,0.0137499,0,2,29,0,16,128
736404,sphere,polar,0.005,0.0137499,0,6,57,0,16,128
736379,sphere,polar,0.005,0.0549995,3,7,95,0,16,128
736302,sphere,polar,0.005,0.0137499,0,6,38,0,16,128
208207,sphere,polar,0.005,0.00343747,72,116,116,0,16,128
208208,sphere,polar,0.005,0.00171873,53,53,53,0,16,128
208209,sphere,polar,0.005,0.00171873,11,42,82,0,16,128
208218,sphere,polar,0.005,0.00171873,3,12,24,0,16,128
207639,sphere,polar,0.005,0.0137499,44,73,82,0,16,128
206507,sphere,polar,0.005,0.0274998,0,0,30,0,16,128
584409,sphere,polar,0.005,0.0274998,0,20,41,0,16,128
207621,sphere,polar,0.005,0.00171873,23,59,59,0,16,128
207622,sphere,polar,0.005,0.00171873,85,85,85,0,16,128
207623,sphere,polar,0.005,0.00171873,0,20,45,0,16,128
207601,sphere,polar,0.005,0.00171873,30,42,42,0,16,128
207480,sphere,polar,0.005,0.00171873,0,17,48,0,16,128
207481,sphere,polar,0.005,0.00171873,82,82,82,0,16,128
207482,sphere,polar,0.005,0.00171873,35,60,101,0,16,128
122218,sphere,polar,0.005,0.0137499,23,29,100,0,16,128
122219,sphere,polar,0.005,0.0137499,21,23,45,0,16,128
67854,sphere,polar,0.005,0.0549995,1,15,98,0,16,128
67625,sphere,polar,0.005,0.0549995,0,16,115,0,16,128
597086,sphere,polar,0.005,0.0274998,3,4,38,0,16,128
1040181,sphere,polar,0.005,0.879992,1,1,79,0,16,128
468619,sphere,polar,0.005,0.109999,1,3,77,0,16,128
468675,sphere,polar,0.005,0.0274998,0,1,47,0,16,128
468211,sphere,polar,0.005,0.0549995,0,3,66,0,16,128
740656,sphere,polar,0.005,0.00687494,15,53,53,0,16,128
187643,sphere,polar,0.005,0.00343747,62,114,114,0,16,128
