date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,threshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-06-08-13:28:09,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,2,none,14394749,sequential,1,64,256,2.7828,2.7828,2.7828,0,1,2.77148,355,0,40,dynamic
2026-06-08-13:28:28,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,5,none,14394749,sequential,1,64,256,9.39857,9.39857,9.39857,0,1,9.44985,2741,0,40,dynamic
2026-06-08-13:29:06,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,8,none,14394749,sequential,1,64,256,19.3207,19.3207,19.3207,0,1,19.4091,7775,0,40,dynamic
2026-06-08-13:29:12,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsStruct,sphere,2,none,14394749,sequential,1,64,256,2.76987,2.76987,2.76987,0,1,2.76965,355,0,40,dynamic
2026-06-08-13:29:29,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsStruct,sphere,5,none,14394749,sequential,1,64,256,8.63323,8.63323,8.63323,0,1,8.63357,2741,0,40,dynamic
2026-06-08-13:30:00,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsStruct,sphere,8,none,14394749,sequential,1,64,256,15.649,15.649,15.649,0,1,15.6284,7775,0,40,dynamic
2026-06-08-13:30:07,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,cube,2,none,14394749,sequential,1,64,256,3.40168,3.40168,3.40168,0,1,3.4565,532,0,40,dynamic
2026-06-08-13:30:31,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,cube,5,none,14394749,sequential,1,64,256,11.8783,11.8783,11.8783,0,1,11.878,4203,0,40,dynamic
2026-06-08-13:31:21,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,cube,8,none,14394749,sequential,1,64,256,25.0946,25.0946,25.0946,0,1,25.0893,11893,0,40,dynamic
2026-06-08-13:31:28,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsStruct,cube,2,none,14394749,sequential,1,64,256,3.39478,3.39478,3.39478,0,1,3.398,532,0,40,dynamic
2026-06-08-13:31:48,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsStruct,cube,5,none,14394749,sequential,1,64,256,10.2232,10.2232,10.2232,0,1,10.2254,4203,0,40,dynamic
