date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,threshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-06-08-13:49:25,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,0.5,none,59445106,sequential,1,64,128,15.7539,15.7539,15.7539,0,1,15.6816,688,0,40,dynamic
2026-06-08-13:50:38,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,1,none,59445106,sequential,1,64,128,36.67,36.67,36.67,0,1,36.6376,2800,0,40,dynamic
2026-06-08-13:57:19,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,3,none,59445106,sequential,1,64,128,200.678,200.678,200.678,0,1,200.678,26817,0,40,dynamic
2026-06-08-13:57:49,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsStruct,sphere,0.5,none,59445106,sequential,1,64,128,14.7064,14.7064,14.7064,0,1,14.7555,688,0,40,dynamic
2026-06-08-13:58:50,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsStruct,sphere,1,none,59445106,sequential,1,64,128,30.7284,30.7284,30.7284,0,1,30.7736,2800,0,40,dynamic
2026-06-08-14:02:30,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsStruct,sphere,3,none,59445106,sequential,1,64,128,109.671,109.671,109.671,0,1,109.626,26817,0,40,dynamic
2026-06-08-14:03:05,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,cube,0.5,none,59445106,sequential,1,64,128,17.6077,17.6077,17.6077,0,1,17.5828,933,0,40,dynamic
2026-06-08-14:04:29,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,cube,1,none,59445106,sequential,1,64,128,42.2919,42.2919,42.2919,0,1,42.3109,3839,0,40,dynamic
2026-06-08-14:13:24,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,cube,3,none,59445106,sequential,1,64,128,267.041,267.041,267.041,0,1,267.191,37636,0,40,dynamic
2026-06-08-14:13:56,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsStruct,cube,0.5,none,59445106,sequential,1,64,128,16.3402,16.3402,16.3402,0,1,16.2276,933,0,40,dynamic
2026-06-08-14:15:02,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsStruct,cube,1,none,59445106,sequential,1,64,128,33.1426,33.1426,33.1426,0,1,33.1041,3839,0,40,dynamic
2026-06-08-14:18:58,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsStruct,cube,3,none,59445106,sequential,1,64,128,117.481,117.481,117.481,0,1,117.615,37636,0,40,dynamic
2026-06-08-14:19:32,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,0.5,polar,59445106,sequential,1,64,128,17.007,17.007,17.007,0,1,16.9489,688,0,40,dynamic
2026-06-08-14:20:52,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,1,polar,59445106,sequential,1,64,128,39.9668,39.9668,39.9668,0,1,40.0604,2800,0,40,dynamic
2026-06-08-14:28:09,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,3,polar,59445106,sequential,1,64,128,218.181,218.181,218.181,0,1,218.347,26817,0,40,dynamic
2026-06-08-14:28:40,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsStruct,sphere,0.5,polar,59445106,sequential,1,64,128,15.5128,15.5128,15.5128,0,1,15.6065,688,0,40,dynamic
2026-06-08-14:29:45,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsStruct,sphere,1,polar,59445106,sequential,1,64,128,32.4308,32.4308,32.4308,0,1,32.4749,2800,0,40,dynamic
2026-06-08-14:33:38,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsStruct,sphere,3,polar,59445106,sequential,1,64,128,116.424,116.424,116.424,0,1,116.726,26817,0,40,dynamic
2026-06-08-14:34:16,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,cube,0.5,polar,59445106,sequential,1,64,128,18.874,18.874,18.874,0,1,18.9069,933,0,40,dynamic
2026-06-08-14:35:47,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,cube,1,polar,59445106,sequential,1,64,128,45.5695,45.5695,45.5695,0,1,45.518,3839,0,40,dynamic
2026-06-08-14:45:04,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,cube,3,polar,59445106,sequential,1,64,128,276.857,276.857,276.857,0,1,280.318,37636,0,40,dynamic
2026-06-08-14:45:37,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsStruct,cube,0.5,polar,59445106,sequential,1,64,128,16.3359,16.3359,16.3359,0,1,16.3356,933,0,40,dynamic
2026-06-08-14:46:43,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsStruct,cube,1,polar,59445106,sequential,1,64,128,33.1013,33.1013,33.1013,0,1,33.0993,3839,0,40,dynamic
2026-06-08-14:50:33,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsStruct,cube,3,polar,59445106,sequential,1,64,128,115.012,115.012,115.012,0,1,115.06,37636,0,40,dynamic
2026-06-08-14:51:08,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,0.5,cartesian,59445106,sequential,1,64,128,16.3893,16.3893,16.3893,0,1,16.3969,688,0,40,dynamic
2026-06-08-14:52:25,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,1,cartesian,59445106,sequential,1,64,128,38.4139,38.4139,38.4139,0,1,38.4125,2800,0,40,dynamic
2026-06-08-14:59:25,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,3,cartesian,59445106,sequential,1,64,128,210.261,210.261,210.261,0,1,209.934,26817,0,40,dynamic
2026-06-08-15:00:00,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,cube,0.5,cartesian,59445106,sequential,1,64,128,17.415,17.415,17.415,0,1,17.4142,933,0,40,dynamic
2026-06-08-15:01:23,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,cube,1,cartesian,59445106,sequential,1,64,128,41.4744,41.4744,41.4744,0,1,41.4752,3839,0,40,dynamic
2026-06-08-15:09:53,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,cube,3,cartesian,59445106,sequential,1,64,128,254.785,254.785,254.785,0,1,254.582,37636,0,40,dynamic
