date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,threshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-06-08-13:39:46,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,sphere,2,none,18496674,sequential,1,64,256,2.25981,2.25981,2.25981,0,1,2.23119,123,0,40,dynamic
2026-06-08-13:40:01,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,sphere,5,none,18496674,sequential,1,64,256,7.05483,7.05483,7.05483,0,1,7.04745,1073,0,40,dynamic
2026-06-08-13:40:29,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,sphere,8,none,18496674,sequential,1,64,256,13.9917,13.9917,13.9917,0,1,14.0767,3209,0,40,dynamic
2026-06-08-13:40:33,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsStruct,sphere,2,none,18496674,sequential,1,64,256,2.30768,2.30768,2.30768,0,1,2.26865,123,0,40,dynamic
2026-06-08-13:40:47,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsStruct,sphere,5,none,18496674,sequential,1,64,256,6.90334,6.90334,6.90334,0,1,6.89644,1073,0,40,dynamic
2026-06-08-13:41:13,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsStruct,sphere,8,none,18496674,sequential,1,64,256,12.813,12.813,12.813,0,1,12.7862,3209,0,40,dynamic
2026-06-08-13:41:18,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,cube,2,none,18496674,sequential,1,64,256,2.85333,2.85333,2.85333,0,1,2.85494,199,0,40,dynamic
2026-06-08-13:41:36,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,cube,5,none,18496674,sequential,1,64,256,8.93564,8.93564,8.93564,0,1,8.92848,1720,0,40,dynamic
2026-06-08-13:42:12,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,cube,8,none,18496674,sequential,1,64,256,17.9131,17.9131,17.9131,0,1,17.922,5051,0,40,dynamic
2026-06-08-13:42:18,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsStruct,cube,2,none,18496674,sequential,1,64,256,2.91822,2.91822,2.91822,0,1,2.91865,199,0,40,dynamic
2026-06-08-13:42:35,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsStruct,cube,5,none,18496674,sequential,1,64,256,8.53828,8.53828,8.53828,0,1,8.50689,1720,0,40,dynamic
2026-06-08-13:43:05,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsStruct,cube,8,none,18496674,sequential,1,64,256,15.1097,15.1097,15.1097,0,1,15.1092,5051,0,40,dynamic
2026-06-08-13:43:10,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,sphere,2,polar,18496674,sequential,1,64,256,2.34492,2.34492,2.34492,0,1,2.33394,123,0,40,dynamic
2026-06-08-13:43:26,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,sphere,5,polar,18496674,sequential,1,64,256,7.75903,7.75903,7.75903,0,1,7.79111,1073,0,40,dynamic
2026-06-08-13:43:57,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,sphere,8,polar,18496674,sequential,1,64,256,15.7186,15.7186,15.7186,0,1,15.712,3209,0,40,dynamic
2026-06-08-13:44:02,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsStruct,sphere,2,polar,18496674,sequential,1,64,256,2.28713,2.28713,2.28713,0,1,2.31339,123,0,40,dynamic
2026-06-08-13:44:16,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsStruct,sphere,5,polar,18496674,sequential,1,64,256,7.14667,7.14667,7.14667,0,1,7.13988,1073,0,40,dynamic
2026-06-08-13:44:43,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsStruct,sphere,8,polar,18496674,sequential,1,64,256,13.3673,13.3673,13.3673,0,1,13.328,3209,0,40,dynamic
2026-06-08-13:44:49,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,cube,2,polar,18496674,sequential,1,64,256,2.96932,2.96932,2.96932,0,1,2.97358,199,0,40,dynamic
2026-06-08-13:45:09,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,cube,5,polar,18496674,sequential,1,64,256,9.9241,9.9241,9.9241,0,1,9.92746,1720,0,40,dynamic
2026-06-08-13:45:48,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,cube,8,polar,18496674,sequential,1,64,256,19.895,19.895,19.895,0,1,19.8667,5051,0,40,dynamic
2026-06-08-13:45:54,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsStruct,cube,2,polar,18496674,sequential,1,64,256,2.92291,2.92291,2.92291,0,1,2.92523,199,0,40,dynamic
2026-06-08-13:46:12,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsStruct,cube,5,polar,18496674,sequential,1,64,256,8.93752,8.93752,8.93752,0,1,8.90729,1720,0,40,dynamic
2026-06-08-13:46:44,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsStruct,cube,8,polar,18496674,sequential,1,64,256,15.9449,15.9449,15.9449,0,1,16.0217,5051,0,40,dynamic
2026-06-08-13:46:50,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,sphere,2,cartesian,18496674,sequential,1,64,256,2.40222,2.40222,2.40222,0,1,2.36996,123,0,40,dynamic
2026-06-08-13:47:06,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,sphere,5,cartesian,18496674,sequential,1,64,256,7.98295,7.98295,7.98295,0,1,7.99088,1073,0,40,dynamic
2026-06-08-13:47:38,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,sphere,8,cartesian,18496674,sequential,1,64,256,15.9943,15.9943,15.9943,0,1,16.0246,3209,0,40,dynamic
2026-06-08-13:47:43,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,cube,2,cartesian,18496674,sequential,1,64,256,2.79451,2.79451,2.79451,0,1,2.81555,199,0,40,dynamic
2026-06-08-13:48:02,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,cube,5,cartesian,18496674,sequential,1,64,256,9.23304,9.23304,9.23304,0,1,9.30685,1720,0,40,dynamic
2026-06-08-13:48:39,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,cube,8,cartesian,18496674,sequential,1,64,256,18.4049,18.4049,18.4049,0,1,18.3069,5051,0,40,dynamic
