date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,threshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-06-08-15:10:11,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,none,10000000,sequential,1,64,128,7.92375,7.92375,7.92375,0,1,7.87392,4978,0,40,dynamic
2026-06-08-15:10:57,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,none,10000000,sequential,1,64,128,23.3771,23.3771,23.3771,0,1,23.3591,20083,0,40,dynamic
2026-06-08-15:21:57,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,3,none,10000000,sequential,1,64,128,329.321,329.321,329.321,0,1,330.118,179181,0,40,dynamic
2026-06-08-15:22:08,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsStruct,sphere,0.5,none,10000000,sequential,1,64,128,5.58535,5.58535,5.58535,0,1,5.58581,4978,0,40,dynamic
2026-06-08-15:22:31,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsStruct,sphere,1,none,10000000,sequential,1,64,128,11.5514,11.5514,11.5514,0,1,11.5514,20083,0,40,dynamic
2026-06-08-15:23:50,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsStruct,sphere,3,none,10000000,sequential,1,64,128,39.255,39.255,39.255,0,1,39.257,179181,0,40,dynamic
2026-06-08-15:24:08,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,0.5,none,10000000,sequential,1,64,128,9.22414,9.22414,9.22414,0,1,9.22469,6641,0,40,dynamic
2026-06-08-15:25:08,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,1,none,10000000,sequential,1,64,128,29.8823,29.8823,29.8823,0,1,29.8479,26929,0,40,dynamic
2026-06-08-15:41:06,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,3,none,10000000,sequential,1,64,128,480.732,480.732,480.732,0,1,477.765,240675,0,40,dynamic
2026-06-08-15:41:18,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsStruct,cube,0.5,none,10000000,sequential,1,64,128,5.83559,5.83559,5.83559,0,1,5.85674,6641,0,40,dynamic
2026-06-08-15:41:42,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsStruct,cube,1,none,10000000,sequential,1,64,128,12.0174,12.0174,12.0174,0,1,12.0174,26929,0,40,dynamic
2026-06-08-15:43:04,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsStruct,cube,3,none,10000000,sequential,1,64,128,40.8443,40.8443,40.8443,0,1,40.8489,240675,0,40,dynamic
2026-06-08-15:43:21,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,polar,10000000,sequential,1,64,128,8.50765,8.50765,8.50765,0,1,8.50861,4978,0,40,dynamic
2026-06-08-15:44:11,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,polar,10000000,sequential,1,64,128,25.2183,25.2183,25.2183,0,1,25.1788,20083,0,40,dynamic
2026-06-08-15:55:47,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,3,polar,10000000,sequential,1,64,128,348.127,348.127,348.127,0,1,347.574,179181,0,40,dynamic
2026-06-08-15:55:59,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsStruct,sphere,0.5,polar,10000000,sequential,1,64,128,5.88583,5.88583,5.88583,0,1,5.88621,4978,0,40,dynamic
2026-06-08-15:56:23,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsStruct,sphere,1,polar,10000000,sequential,1,64,128,12.2421,12.2421,12.2421,0,1,12.2426,20083,0,40,dynamic
2026-06-08-15:57:47,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsStruct,sphere,3,polar,10000000,sequential,1,64,128,41.9378,41.9378,41.9378,0,1,41.9405,179181,0,40,dynamic
2026-06-08-15:58:07,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,0.5,polar,10000000,sequential,1,64,128,9.79541,9.79541,9.79541,0,1,9.79551,6641,0,40,dynamic
2026-06-08-15:59:09,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,1,polar,10000000,sequential,1,64,128,31.3789,31.3789,31.3789,0,1,31.3801,26929,0,40,dynamic
2026-06-08-16:15:14,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,3,polar,10000000,sequential,1,64,128,482.806,482.806,482.806,0,1,482.009,240675,0,40,dynamic
2026-06-08-16:15:26,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsStruct,cube,0.5,polar,10000000,sequential,1,64,128,6.00847,6.00847,6.00847,0,1,6.00885,6641,0,40,dynamic
2026-06-08-16:15:51,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsStruct,cube,1,polar,10000000,sequential,1,64,128,12.4014,12.4014,12.4014,0,1,12.3972,26929,0,40,dynamic
2026-06-08-16:17:16,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsStruct,cube,3,polar,10000000,sequential,1,64,128,42.4065,42.4065,42.4065,0,1,42.4136,240675,0,40,dynamic
2026-06-08-16:17:34,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,cartesian,10000000,sequential,1,64,128,8.69598,8.69598,8.69598,0,1,8.69715,4978,0,40,dynamic
2026-06-08-16:18:25,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,cartesian,10000000,sequential,1,64,128,25.7075,25.7075,25.7075,0,1,25.7064,20083,0,40,dynamic
2026-06-08-16:30:18,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,3,cartesian,10000000,sequential,1,64,128,359.948,359.948,359.948,0,1,353.383,179181,0,40,dynamic
2026-06-08-16:30:38,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,0.5,cartesian,10000000,sequential,1,64,128,9.70169,9.70169,9.70169,0,1,9.69786,6641,0,40,dynamic
2026-06-08-16:31:40,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,1,cartesian,10000000,sequential,1,64,128,31.361,31.361,31.361,0,1,31.3945,26929,0,40,dynamic
2026-06-08-16:48:29,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,3,cartesian,10000000,sequential,1,64,128,504.17,504.17,504.17,0,1,503.959,240674,0,40,dynamic
