date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,threshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-06-08-16:48:39,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,none,29697591,sequential,1,64,256,2.52874,2.52874,2.52874,0,1,2.52304,69,0,40,dynamic
2026-06-08-16:49:03,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,none,29697591,sequential,1,64,256,11.8363,11.8363,11.8363,0,1,11.815,2048,0,40,dynamic
2026-06-08-16:54:19,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.2,none,29697591,sequential,1,64,256,160.662,160.662,160.662,0,1,155.944,33302,0,40,dynamic
2026-06-08-16:54:24,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsStruct,sphere,0.01,none,29697591,sequential,1,64,256,2.43692,2.43692,2.43692,0,1,2.4394,69,0,40,dynamic
2026-06-08-16:54:44,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsStruct,sphere,0.05,none,29697591,sequential,1,64,256,9.79317,9.79317,9.79317,0,1,9.83665,2048,0,40,dynamic
2026-06-08-16:56:05,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsStruct,sphere,0.2,none,29697591,sequential,1,64,256,40.272,40.272,40.272,0,1,40.7049,33302,0,40,dynamic
2026-06-08-16:56:11,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,cube,0.01,none,29697591,sequential,1,64,256,2.88336,2.88336,2.88336,0,1,2.88041,76,0,40,dynamic
2026-06-08-16:56:40,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,cube,0.05,none,29697591,sequential,1,64,256,14.8014,14.8014,14.8014,0,1,14.8368,3249,0,40,dynamic
2026-06-08-17:04:52,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,cube,0.2,none,29697591,sequential,1,64,256,246.465,246.465,246.465,0,1,245.827,47190,0,40,dynamic
2026-06-08-17:04:58,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsStruct,cube,0.01,none,29697591,sequential,1,64,256,2.8417,2.8417,2.8417,0,1,2.82819,76,0,40,dynamic
2026-06-08-17:05:20,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsStruct,cube,0.05,none,29697591,sequential,1,64,256,10.8704,10.8704,10.8704,0,1,10.7263,3249,0,40,dynamic
2026-06-08-17:06:41,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsStruct,cube,0.2,none,29697591,sequential,1,64,256,40.7311,40.7311,40.7311,0,1,40.8842,47190,0,40,dynamic
2026-06-08-17:06:47,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,polar,29697591,sequential,1,64,256,2.49572,2.49572,2.49572,0,1,2.48696,69,0,40,dynamic
2026-06-08-17:07:13,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,polar,29697591,sequential,1,64,256,12.9303,12.9303,12.9303,0,1,12.9596,2048,0,40,dynamic
2026-06-08-17:11:59,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.2,polar,29697591,sequential,1,64,256,143.202,143.202,143.202,0,1,143.588,33302,0,40,dynamic
2026-06-08-17:12:04,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsStruct,sphere,0.01,polar,29697591,sequential,1,64,256,2.40396,2.40396,2.40396,0,1,2.39236,69,0,40,dynamic
2026-06-08-17:12:24,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsStruct,sphere,0.05,polar,29697591,sequential,1,64,256,10.192,10.192,10.192,0,1,10.1259,2048,0,40,dynamic
2026-06-08-17:13:51,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsStruct,sphere,0.2,polar,29697591,sequential,1,64,256,43.0176,43.0176,43.0176,0,1,43.1054,33302,0,40,dynamic
2026-06-08-17:13:57,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,cube,0.01,polar,29697591,sequential,1,64,256,3.00973,3.00973,3.00973,0,1,3.01085,76,0,40,dynamic
2026-06-08-17:14:29,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,cube,0.05,polar,29697591,sequential,1,64,256,16.2372,16.2372,16.2372,0,1,16.3961,3249,0,40,dynamic
2026-06-08-17:21:26,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,cube,0.2,polar,29697591,sequential,1,64,256,208.421,208.421,208.421,0,1,208.41,47190,0,40,dynamic
2026-06-08-17:21:32,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsStruct,cube,0.01,polar,29697591,sequential,1,64,256,2.93567,2.93567,2.93567,0,1,2.9351,76,0,40,dynamic
2026-06-08-17:21:55,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsStruct,cube,0.05,polar,29697591,sequential,1,64,256,11.7629,11.7629,11.7629,0,1,11.6735,3249,0,40,dynamic
2026-06-08-17:23:24,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsStruct,cube,0.2,polar,29697591,sequential,1,64,256,43.8722,43.8722,43.8722,0,1,44.8701,47190,0,40,dynamic
2026-06-08-17:23:30,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,cartesian,29697591,sequential,1,64,256,2.45783,2.45783,2.45783,0,1,2.45443,69,0,40,dynamic
2026-06-08-17:23:57,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,cartesian,29697591,sequential,1,64,256,13.3913,13.3913,13.3913,0,1,13.2426,2048,0,40,dynamic
2026-06-08-17:28:45,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.2,cartesian,29697591,sequential,1,64,256,144.279,144.279,144.279,0,1,144.02,33302,0,40,dynamic
2026-06-08-17:28:51,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,cube,0.01,cartesian,29697591,sequential,1,64,256,2.80142,2.80142,2.80142,0,1,2.80524,76,0,40,dynamic
2026-06-08-17:29:22,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,cube,0.05,cartesian,29697591,sequential,1,64,256,15.5043,15.5043,15.5043,0,1,15.4145,3249,0,40,dynamic
2026-06-08-17:36:19,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,cube,0.2,cartesian,29697591,sequential,1,64,256,208.891,208.891,208.891,0,1,208.799,47190,0,40,dynamic
