date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,threshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-06-10-20:49:12,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,none,10000000,sequential,1,64,256,154.771,154.771,154.771,0,0,1.15284e-310,2050,0,1,dynamic
2026-06-10-20:56:14,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,none,10000000,sequential,1,64,256,422.111,422.111,422.111,0,0,5.51007e-310,8241,0,1,dynamic
2026-06-10-21:18:19,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,2,none,10000000,sequential,1,64,256,1324.7,1324.7,1324.7,0,0,5.51007e-310,32610,0,1,dynamic
2026-06-10-21:19:38,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,none,10000000,sequential,1,64,256,79.4065,79.4065,79.4065,0,0,5.51007e-310,2050,0,2,dynamic
2026-06-10-21:23:13,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,none,10000000,sequential,1,64,256,215.155,215.155,215.155,0,0,5.51007e-310,8241,0,2,dynamic
2026-06-10-21:34:20,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,2,none,10000000,sequential,1,64,256,666.319,666.319,666.319,0,0,5.51007e-310,32610,0,2,dynamic
2026-06-10-21:35:00,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,none,10000000,sequential,1,64,256,40.5989,40.5989,40.5989,0,0,5.51007e-310,2050,0,4,dynamic
2026-06-10-21:36:49,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,none,10000000,sequential,1,64,256,109.247,109.247,109.247,0,0,5.51007e-310,8241,0,4,dynamic
2026-06-10-21:42:25,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,2,none,10000000,sequential,1,64,256,335.685,335.685,335.685,0,0,5.51007e-310,32610,0,4,dynamic
2026-06-10-21:42:46,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,none,10000000,sequential,1,64,256,20.7273,20.7273,20.7273,0,0,5.51007e-310,2050,0,8,dynamic
2026-06-10-21:43:41,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,none,10000000,sequential,1,64,256,55.4113,55.4113,55.4113,0,0,5.51007e-310,8241,0,8,dynamic
2026-06-10-21:46:31,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,2,none,10000000,sequential,1,64,256,169.941,169.941,169.941,0,0,5.51007e-310,32610,0,8,dynamic
2026-06-10-21:46:42,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,none,10000000,sequential,1,64,256,10.625,10.625,10.625,0,0,5.51007e-310,2050,0,16,dynamic
2026-06-10-21:47:10,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,none,10000000,sequential,1,64,256,28.1271,28.1271,28.1271,0,0,5.51007e-310,8241,0,16,dynamic
2026-06-10-21:48:36,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,2,none,10000000,sequential,1,64,256,85.618,85.618,85.618,0,0,5.51007e-310,32610,0,16,dynamic
2026-06-10-21:48:43,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,none,10000000,sequential,1,64,256,7.13477,7.13477,7.13477,0,0,5.51007e-310,2050,0,24,dynamic
2026-06-10-21:49:02,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,none,10000000,sequential,1,64,256,18.8837,18.8837,18.8837,0,0,5.51007e-310,8241,0,24,dynamic
2026-06-10-21:49:59,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,2,none,10000000,sequential,1,64,256,57.2976,57.2976,57.2976,0,0,5.51007e-310,32610,0,24,dynamic
2026-06-10-21:50:05,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,none,10000000,sequential,1,64,256,6.17457,6.17457,6.17457,0,0,5.51007e-310,2050,0,32,dynamic
2026-06-10-21:50:20,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,none,10000000,sequential,1,64,256,14.7728,14.7728,14.7728,0,0,5.51007e-310,8241,0,32,dynamic
2026-06-10-21:51:03,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,2,none,10000000,sequential,1,64,256,43.1783,43.1783,43.1783,0,0,5.51007e-310,32610,0,32,dynamic
2026-06-10-21:51:08,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,none,10000000,sequential,1,64,256,4.91802,4.91802,4.91802,0,0,5.51007e-310,2050,0,40,dynamic
2026-06-10-21:51:20,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,none,10000000,sequential,1,64,256,11.8712,11.8712,11.8712,0,0,5.51007e-310,8241,0,40,dynamic
2026-06-10-21:51:55,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,2,none,10000000,sequential,1,64,256,35.2256,35.2256,35.2256,0,0,5.51007e-310,32610,0,40,dynamic
2026-06-10-21:54:39,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,polar,10000000,sequential,1,64,256,163.708,163.708,163.708,0,0,1.15284e-310,2050,0,1,dynamic
2026-06-10-22:02:09,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,polar,10000000,sequential,1,64,256,450.315,450.315,450.315,0,0,5.51007e-310,8241,0,1,dynamic
2026-06-10-22:25:46,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,2,polar,10000000,sequential,1,64,256,1417.1,1417.1,1417.1,0,0,5.51007e-310,32610,0,1,dynamic
2026-06-10-22:27:11,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,polar,10000000,sequential,1,64,256,84.4116,84.4116,84.4116,0,0,5.51007e-310,2050,0,2,dynamic
2026-06-10-22:31:01,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,polar,10000000,sequential,1,64,256,229.786,229.786,229.786,0,0,5.51007e-310,8241,0,2,dynamic
2026-06-10-22:42:53,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,2,polar,10000000,sequential,1,64,256,712.334,712.334,712.334,0,0,5.51007e-310,32610,0,2,dynamic
2026-06-10-22:43:36,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,polar,10000000,sequential,1,64,256,43.6242,43.6242,43.6242,0,0,5.51007e-310,2050,0,4,dynamic
2026-06-10-22:45:34,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,polar,10000000,sequential,1,64,256,117.401,117.401,117.401,0,0,5.51007e-310,8241,0,4,dynamic
2026-06-10-22:51:35,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,2,polar,10000000,sequential,1,64,256,360.834,360.834,360.834,0,0,5.51007e-310,32610,0,4,dynamic
