date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,threshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-06-10-20:42:00,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,1,none,10000,random,3,64,256,0.165411,0.055137,0.0550952,0.000162136,1,0.0566745,79,0,1,dynamic
2026-06-10-20:42:00,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,2,none,10000,random,3,64,256,0.333632,0.111211,0.111167,0.000146955,1,0.110647,354,0,1,dynamic
2026-06-10-20:42:01,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,3,none,10000,random,3,64,256,0.551399,0.1838,0.183808,8.67778e-05,1,0.183645,872,0,1,dynamic
2026-06-10-20:42:01,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,1,none,10000,random,3,64,256,0.083438,0.0278127,0.0277615,7.68027e-05,1,0.0283919,79,0,2,dynamic
2026-06-10-20:42:01,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,2,none,10000,random,3,64,256,0.167511,0.0558369,0.0558472,3.57322e-05,1,0.0556763,354,0,2,dynamic
2026-06-10-20:42:02,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,3,none,10000,random,3,64,256,0.278452,0.0928172,0.0928044,0.000128005,1,0.0925054,872,0,2,dynamic
2026-06-10-20:42:02,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,1,none,10000,random,3,64,256,0.0425189,0.014173,0.0141788,3.75352e-05,1,0.0144038,79,0,4,dynamic
2026-06-10-20:42:02,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,2,none,10000,random,3,64,256,0.0849844,0.0283281,0.0283163,4.77642e-05,1,0.0282232,354,0,4,dynamic
2026-06-10-20:42:02,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,3,none,10000,random,3,64,256,0.140915,0.0469718,0.0469856,5.94581e-05,1,0.0469459,872,0,4,dynamic
2026-06-10-20:42:02,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,1,none,10000,random,3,64,256,0.0625498,0.0208499,0.0215201,0.00211228,1,0.0176588,79,0,8,dynamic
2026-06-10-20:42:02,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,2,none,10000,random,3,64,256,0.0878184,0.0292728,0.0293344,0.00412699,1,0.0253774,354,0,8,dynamic
2026-06-10-20:42:02,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,3,none,10000,random,3,64,256,0.072821,0.0242737,0.0242474,0.000103232,1,0.0305567,872,0,8,dynamic
2026-06-10-20:42:03,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,1,none,10000,random,3,64,256,0.0395033,0.0131678,0.0148139,0.00233367,1,0.0260735,79,0,16,dynamic
2026-06-10-20:42:03,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,2,none,10000,random,3,64,256,0.0530139,0.0176713,0.018004,0.000479275,1,0.0177991,354,0,16,dynamic
2026-06-10-20:42:03,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,3,none,10000,random,3,64,256,0.076887,0.025629,0.0256302,2.43106e-05,1,0.0255762,872,0,16,dynamic
2026-06-10-20:42:03,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,1,none,10000,random,3,64,256,0.0397167,0.0132389,0.0132262,2.85151e-05,1,0.0132276,79,0,24,dynamic
2026-06-10-20:42:03,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,2,none,10000,random,3,64,256,0.0488737,0.0162912,0.0162909,2.36248e-05,1,0.016213,354,0,24,dynamic
2026-06-10-20:42:03,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,3,none,10000,random,3,64,256,0.0580178,0.0193393,0.0203674,0.00148817,1,0.0172208,872,0,24,dynamic
2026-06-10-20:42:03,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,1,none,10000,random,3,64,256,0.0376592,0.0125531,0.012541,1.76804e-05,1,0.0125102,79,0,32,dynamic
2026-06-10-20:42:03,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,2,none,10000,random,3,64,256,0.0448622,0.0149541,0.0149747,3.34961e-05,1,0.0148864,354,0,32,dynamic
2026-06-10-20:42:03,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,3,none,10000,random,3,64,256,0.0540072,0.0180024,0.0180026,2.04464e-06,1,0.017821,872,0,32,dynamic
2026-06-10-20:42:03,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,1,none,10000,random,3,64,256,0.0106904,0.00356346,0.00187308,0.00239566,1,0.0120578,79,0,40,dynamic
2026-06-10-20:42:03,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,2,none,10000,random,3,64,256,0.0113227,0.00377424,0.00377283,2.45478e-05,1,0.00377734,354,0,40,dynamic
2026-06-10-20:42:03,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,3,none,10000,random,3,64,256,0.0191301,0.00637669,0.0063516,5.20308e-05,1,0.00630256,872,0,40,dynamic
2026-06-10-20:42:04,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,1,polar,10000,random,3,64,256,0.228929,0.0763098,0.0761567,0.000596868,1,0.0807266,79,0,1,dynamic
2026-06-10-20:42:04,linOct,PointsAoS,HilbertEncoder3D,14394749,neighborsPrune,sphere,2,polar,10000,random,3,64,256,0.464525,0.154842,0.154947,0.000228256,1,0.154752,354,0,1,dynamic
