date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,threshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-06-10-20:42:43,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,0.5,none,10000,random,3,64,256,0.47516,0.158387,0.158328,0.000113232,1,0.159811,691,0,1,dynamic
2026-06-10-20:42:45,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,1,none,10000,random,3,64,256,1.05657,0.35219,0.352097,0.000194039,1,0.352318,2811,0,1,dynamic
2026-06-10-20:42:48,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,2,none,10000,random,3,64,256,2.70054,0.90018,0.900918,0.00221128,1,0.901462,11605,0,1,dynamic
2026-06-10-20:42:49,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,0.5,none,10000,random,3,64,256,0.24507,0.0816901,0.0814464,0.0013067,1,0.0843853,691,0,2,dynamic
2026-06-10-20:42:50,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,1,none,10000,random,3,64,256,0.529501,0.1765,0.176404,0.000247182,1,0.176835,2811,0,2,dynamic
2026-06-10-20:42:51,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,2,none,10000,random,3,64,256,1.35276,0.450921,0.451387,0.00111144,1,0.451708,11605,0,2,dynamic
2026-06-10-20:42:51,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,0.5,none,10000,random,3,64,256,0.120485,0.0401617,0.040184,4.80552e-05,1,0.0404917,691,0,4,dynamic
2026-06-10-20:42:52,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,1,none,10000,random,3,64,256,0.268009,0.0893362,0.089315,5.32017e-05,1,0.0895009,2811,0,4,dynamic
2026-06-10-20:42:53,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,2,none,10000,random,3,64,256,0.683451,0.227817,0.228072,0.000632599,1,0.228013,11605,0,4,dynamic
2026-06-10-20:42:53,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,0.5,none,10000,random,3,64,256,0.0626941,0.020898,0.020892,1.32313e-05,1,0.0211788,691,0,8,dynamic
2026-06-10-20:42:53,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,1,none,10000,random,3,64,256,0.139169,0.0463896,0.0463589,6.24508e-05,1,0.0464893,2811,0,8,dynamic
2026-06-10-20:42:53,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,2,none,10000,random,3,64,256,0.35202,0.11734,0.117528,0.000296816,1,0.117625,11605,0,8,dynamic
2026-06-10-20:42:54,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,0.5,none,10000,random,3,64,256,0.0343266,0.0114422,0.0114278,2.21749e-05,1,0.0117849,691,0,16,dynamic
2026-06-10-20:42:54,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,1,none,10000,random,3,64,256,0.0759284,0.0253095,0.0253196,2.45937e-05,1,0.0253941,2811,0,16,dynamic
2026-06-10-20:42:54,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,2,none,10000,random,3,64,256,0.189706,0.0632355,0.0632731,0.000139577,1,0.0635526,11605,0,16,dynamic
2026-06-10-20:42:54,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,0.5,none,10000,random,3,64,256,0.0401398,0.0133799,0.0137194,0.00388973,1,0.0302484,691,0,24,dynamic
2026-06-10-20:42:54,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,1,none,10000,random,3,64,256,0.0559182,0.0186394,0.0186798,7.24517e-05,1,0.0187302,2811,0,24,dynamic
2026-06-10-20:42:54,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,2,none,10000,random,3,64,256,0.13696,0.0456533,0.0456308,0.00025846,1,0.0461194,11605,0,24,dynamic
2026-06-10-20:42:54,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,0.5,none,10000,random,3,64,256,0.0538785,0.0179595,0.0179637,2.61087e-05,1,0.0229245,691,0,32,dynamic
2026-06-10-20:42:54,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,1,none,10000,random,3,64,256,0.081164,0.0270547,0.0270515,4.04023e-05,1,0.0270686,2811,0,32,dynamic
2026-06-10-20:42:55,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,2,none,10000,random,3,64,256,0.151271,0.0504235,0.0504412,0.000172212,1,0.0489443,11605,0,32,dynamic
2026-06-10-20:42:55,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,0.5,none,10000,random,3,64,256,0.0465515,0.0155172,0.0163983,0.00132674,1,0.0164463,691,0,40,dynamic
2026-06-10-20:42:55,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,1,none,10000,random,3,64,256,0.0719114,0.0239705,0.0239853,5.04665e-05,1,0.0239673,2811,0,40,dynamic
2026-06-10-20:42:55,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,2,none,10000,random,3,64,256,0.130988,0.0436625,0.0437951,0.000257108,1,0.0436705,11605,0,40,dynamic
2026-06-10-20:42:57,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,0.5,polar,10000,random,3,64,256,0.657057,0.219019,0.219301,0.000757744,1,0.223146,691,0,1,dynamic
2026-06-10-20:42:59,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,1,polar,10000,random,3,64,256,1.43333,0.477775,0.477538,0.00119499,1,0.477668,2811,0,1,dynamic
2026-06-10-20:43:04,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,2,polar,10000,random,3,64,256,3.44945,1.14982,1.15057,0.00175497,1,1.15201,11605,0,1,dynamic
2026-06-10-20:43:04,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,0.5,polar,10000,random,3,64,256,0.330207,0.110069,0.110114,0.000107342,1,0.113907,691,0,2,dynamic
2026-06-10-20:43:05,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,1,polar,10000,random,3,64,256,0.718625,0.239542,0.239463,0.000353849,1,0.239155,2811,0,2,dynamic
2026-06-10-20:43:07,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,2,polar,10000,random,3,64,256,1.729,0.576334,0.576936,0.00102477,1,0.576634,11605,0,2,dynamic
2026-06-10-20:43:07,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,0.5,polar,10000,random,3,64,256,0.16575,0.0552501,0.0552221,0.000102363,1,0.0561328,691,0,4,dynamic
2026-06-10-20:43:08,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,1,polar,10000,random,3,64,256,0.362373,0.120791,0.120778,0.000155852,1,0.120524,2811,0,4,dynamic
2026-06-10-20:43:09,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,2,polar,10000,random,3,64,256,0.871039,0.290346,0.290699,0.000577802,1,0.290746,11605,0,4,dynamic
2026-06-10-20:43:09,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,0.5,polar,10000,random,3,64,256,0.0844307,0.0281436,0.0281409,6.23008e-05,1,0.0289959,691,0,8,dynamic
2026-06-10-20:43:09,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,1,polar,10000,random,3,64,256,0.184892,0.0616306,0.0616093,8.56999e-05,1,0.06153,2811,0,8,dynamic
2026-06-10-20:43:10,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,2,polar,10000,random,3,64,256,0.445601,0.148534,0.148695,0.000683636,1,0.148305,11605,0,8,dynamic
2026-06-10-20:43:10,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,0.5,polar,10000,random,3,64,256,0.0443296,0.0147765,0.0147756,3.14926e-05,1,0.0157686,691,0,16,dynamic
2026-06-10-20:43:10,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,1,polar,10000,random,3,64,256,0.097585,0.0325283,0.0325373,4.56172e-05,1,0.0325202,2811,0,16,dynamic
2026-06-10-20:43:11,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,2,polar,10000,random,3,64,256,0.234073,0.0780243,0.0780736,0.000142902,1,0.0783226,11605,0,16,dynamic
2026-06-10-20:43:11,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,0.5,polar,10000,random,3,64,256,0.0512553,0.0170851,0.0175347,0.00097946,1,0.0283101,691,0,24,dynamic
2026-06-10-20:43:11,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,1,polar,10000,random,3,64,256,0.0694841,0.0231614,0.023151,4.89653e-05,1,0.0231167,2811,0,24,dynamic
2026-06-10-20:43:11,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,2,polar,10000,random,3,64,256,0.165404,0.0551346,0.0551014,5.74757e-05,1,0.0554311,11605,0,24,dynamic
2026-06-10-20:43:11,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,0.5,polar,10000,random,3,64,256,0.0538042,0.0179347,0.0177997,0.00411722,1,0.0188087,691,0,32,dynamic
2026-06-10-20:43:11,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,1,polar,10000,random,3,64,256,0.0880485,0.0293495,0.0289974,0.000534404,1,0.0309356,2811,0,32,dynamic
2026-06-10-20:43:11,linOct,PointsAoS,HilbertEncoder3D,59445106,neighborsPrune,sphere,2,polar,10000,random,3,64,256,0.130956,0.0436521,0.0436127,8.45726e-05,1,0.0488886,11605,0,32,dynamic
