date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,threshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-06-10-20:42:19,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,sphere,1,none,10000,random,3,64,256,0.113419,0.0378064,0.0377248,0.000183749,1,0.0387227,25,0,1,dynamic
2026-06-10-20:42:19,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,sphere,2,none,10000,random,3,64,256,0.203642,0.0678807,0.0678777,0.000216126,1,0.0676034,122,0,1,dynamic
2026-06-10-20:42:20,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,sphere,3,none,10000,random,3,64,256,0.323078,0.107693,0.107714,0.00016967,1,0.107422,319,0,1,dynamic
2026-06-10-20:42:20,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,sphere,1,none,10000,random,3,64,256,0.05783,0.0192767,0.0193171,0.00011824,1,0.019617,25,0,2,dynamic
2026-06-10-20:42:20,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,sphere,2,none,10000,random,3,64,256,0.10352,0.0345066,0.0344982,0.000100392,1,0.0341619,122,0,2,dynamic
2026-06-10-20:42:20,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,sphere,3,none,10000,random,3,64,256,0.163963,0.0546542,0.0546152,0.000109928,1,0.0545247,319,0,2,dynamic
2026-06-10-20:42:20,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,sphere,1,none,10000,random,3,64,256,0.0293934,0.0097978,0.00981222,4.86347e-05,1,0.00991418,25,0,4,dynamic
2026-06-10-20:42:20,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,sphere,2,none,10000,random,3,64,256,0.0524727,0.0174909,0.0174565,7.31014e-05,1,0.0174124,122,0,4,dynamic
2026-06-10-20:42:20,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,sphere,3,none,10000,random,3,64,256,0.0830913,0.0276971,0.0277273,4.3722e-05,1,0.0275937,319,0,4,dynamic
2026-06-10-20:42:20,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,sphere,1,none,10000,random,3,64,256,0.0151807,0.00506025,0.00505978,3.30995e-05,1,0.00524785,25,0,8,dynamic
2026-06-10-20:42:20,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,sphere,2,none,10000,random,3,64,256,0.0271647,0.0090549,0.00904396,3.13164e-05,1,0.00897271,122,0,8,dynamic
2026-06-10-20:42:20,linOct,PointsAoS,HilbertEncoder3D,18496674,neighborsPrune,sphere,3,none,10000,random,3,64,256,0.0430819,0.0143606,0.0143622,1.77165e-05,1,0.0143236,319,0,8,dynamic
