date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,threshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-06-10-20:43:36,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,none,10000,random,3,64,256,1.2198,0.406599,0.405865,0.00196381,1,0.41044,4999,0,1,dynamic
2026-06-10-20:43:41,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,none,10000,random,3,64,256,3.36142,1.12047,1.11718,0.00584119,1,1.12886,20204,0,1,dynamic
2026-06-10-20:43:55,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,2,none,10000,random,3,64,256,10.6858,3.56194,3.55306,0.013038,1,3.58412,81014,0,1,dynamic
2026-06-10-20:43:56,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,none,10000,random,3,64,256,0.616466,0.205489,0.205233,0.00090596,1,0.20729,4999,0,2,dynamic
2026-06-10-20:43:58,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,none,10000,random,3,64,256,1.69726,0.565754,0.564278,0.00300836,1,0.570066,20204,0,2,dynamic
2026-06-10-20:44:06,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,2,none,10000,random,3,64,256,5.44625,1.81542,1.81232,0.00867387,1,1.82795,81014,0,2,dynamic
2026-06-10-20:44:06,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,none,10000,random,3,64,256,0.310117,0.103372,0.103287,0.000383208,1,0.104367,4999,0,4,dynamic
2026-06-10-20:44:07,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,none,10000,random,3,64,256,0.854226,0.284742,0.284033,0.00142263,1,0.286987,20204,0,4,dynamic
2026-06-10-20:44:11,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,2,none,10000,random,3,64,256,2.76224,0.920747,0.918785,0.00457058,1,0.927891,81014,0,4,dynamic
2026-06-10-20:44:11,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,none,10000,random,3,64,256,0.157973,0.0526577,0.0526582,0.000205457,1,0.0534429,4999,0,8,dynamic
2026-06-10-20:44:12,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,none,10000,random,3,64,256,0.437461,0.14582,0.145615,0.000678338,1,0.147296,20204,0,8,dynamic
2026-06-10-20:44:14,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,2,none,10000,random,3,64,256,1.42308,0.474359,0.473619,0.00214061,1,0.480949,81014,0,8,dynamic
2026-06-10-20:44:14,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,none,10000,random,3,64,256,0.0826675,0.0275558,0.0275223,9.63653e-05,1,0.0283102,4999,0,16,dynamic
