date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,threshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-06-10-20:46:06,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,none,10000,random,3,64,256,0.144586,0.0481953,0.0480806,0.000247828,1,0.0494162,66,0,1,dynamic
2026-06-10-20:46:07,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,none,10000,random,3,64,256,0.702084,0.234028,0.233873,0.000399473,1,0.23492,2029,0,1,dynamic
2026-06-10-20:46:09,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.1,none,10000,random,3,64,256,1.78003,0.593343,0.592657,0.00139239,1,0.595781,8553,0,1,dynamic
2026-06-10-20:46:09,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,none,10000,random,3,64,256,0.0750334,0.0250111,0.0249554,0.000179349,1,0.0264544,66,0,2,dynamic
2026-06-10-20:46:10,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,none,10000,random,3,64,256,0.353261,0.117754,0.117946,0.000819409,1,0.119544,2029,0,2,dynamic
2026-06-10-20:46:11,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.1,none,10000,random,3,64,256,0.880216,0.293405,0.293298,0.000569917,1,0.294879,8553,0,2,dynamic
2026-06-10-20:46:11,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,none,10000,random,3,64,256,0.0360132,0.0120044,0.01201,3.92742e-05,1,0.0123721,66,0,4,dynamic
2026-06-10-20:46:11,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,none,10000,random,3,64,256,0.175007,0.0583355,0.0583391,0.0001009,1,0.0585971,2029,0,4,dynamic
2026-06-10-20:46:12,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.1,none,10000,random,3,64,256,0.445821,0.148607,0.148574,0.000310287,1,0.149365,8553,0,4,dynamic
2026-06-10-20:46:12,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,none,10000,random,3,64,256,0.0521335,0.0173778,0.0172359,0.000379948,1,0.0227083,66,0,8,dynamic
2026-06-10-20:46:12,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,none,10000,random,3,64,256,0.132007,0.0440022,0.0440162,0.00412137,1,0.0427037,2029,0,8,dynamic
2026-06-10-20:46:12,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.1,none,10000,random,3,64,256,0.230175,0.0767249,0.0767357,0.00015685,1,0.0824231,8553,0,8,dynamic
2026-06-10-20:46:12,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,none,10000,random,3,64,256,0.010151,0.00338366,0.00337682,2.58994e-05,1,0.00378999,66,0,16,dynamic
2026-06-10-20:46:13,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,none,10000,random,3,64,256,0.0484267,0.0161422,0.0161392,8.93192e-06,1,0.0164149,2029,0,16,dynamic
2026-06-10-20:46:13,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.1,none,10000,random,3,64,256,0.121676,0.0405587,0.0405572,6.40906e-05,1,0.0412367,8553,0,16,dynamic
2026-06-10-20:46:13,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,none,10000,random,3,64,256,0.0277741,0.00925803,0.0126541,0.00483171,1,0.0135936,66,0,24,dynamic
2026-06-10-20:46:13,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,none,10000,random,3,64,256,0.0347406,0.0115802,0.0115809,6.00266e-06,1,0.011829,2029,0,24,dynamic
2026-06-10-20:46:13,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.1,none,10000,random,3,64,256,0.0878435,0.0292812,0.0292734,4.73419e-05,1,0.0296876,8553,0,24,dynamic
2026-06-10-20:46:13,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,none,10000,random,3,64,256,0.0369129,0.0123043,0.0123164,3.79971e-05,1,0.0125097,66,0,32,dynamic
2026-06-10-20:46:13,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,none,10000,random,3,64,256,0.0539975,0.0179992,0.0180001,1.53313e-06,1,0.0171612,2029,0,32,dynamic
2026-06-10-20:46:13,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.1,none,10000,random,3,64,256,0.0997005,0.0332335,0.0345178,0.00190885,1,0.030991,8553,0,32,dynamic
2026-06-10-20:46:13,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,none,10000,random,3,64,256,0.0850817,0.0283606,0.0279942,0.00108604,1,0.028451,66,0,40,dynamic
2026-06-10-20:46:13,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,none,10000,random,3,64,256,0.0545791,0.018193,0.0194283,0.00429334,1,0.0291203,2029,0,40,dynamic
2026-06-10-20:46:13,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.1,none,10000,random,3,64,256,0.0992511,0.0330837,0.0313258,0.004246,1,0.0305739,8553,0,40,dynamic
2026-06-10-20:46:14,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,polar,10000,random,3,64,256,0.189816,0.0632721,0.0633452,0.000368369,1,0.065798,66,0,1,dynamic
2026-06-10-20:46:15,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,polar,10000,random,3,64,256,0.900822,0.300274,0.300298,8.06916e-05,1,0.302542,2029,0,1,dynamic
2026-06-10-20:46:18,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.1,polar,10000,random,3,64,256,2.16079,0.720264,0.720436,0.000865349,1,0.722818,8553,0,1,dynamic
2026-06-10-20:46:18,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,polar,10000,random,3,64,256,0.0941096,0.0313699,0.0313588,0.000175653,1,0.0327484,66,0,2,dynamic
2026-06-10-20:46:19,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,polar,10000,random,3,64,256,0.452045,0.150682,0.150673,8.20871e-05,1,0.151731,2029,0,2,dynamic
2026-06-10-20:46:21,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.1,polar,10000,random,3,64,256,1.08424,0.361414,0.361485,0.00051563,1,0.362449,8553,0,2,dynamic
2026-06-10-20:46:21,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,polar,10000,random,3,64,256,0.0451914,0.0150638,0.0150863,6.38813e-05,1,0.0158339,66,0,4,dynamic
2026-06-10-20:46:21,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,polar,10000,random,3,64,256,0.227967,0.0759889,0.0759973,4.5861e-05,1,0.0760775,2029,0,4,dynamic
2026-06-10-20:46:22,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.1,polar,10000,random,3,64,256,0.54845,0.182817,0.182901,0.000315395,1,0.183582,8553,0,4,dynamic
2026-06-10-20:46:22,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,polar,10000,random,3,64,256,0.0228727,0.00762424,0.00761679,4.36817e-05,1,0.00829001,66,0,8,dynamic
2026-06-10-20:46:22,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,polar,10000,random,3,64,256,0.116463,0.0388211,0.0388148,5.4736e-05,1,0.0389608,2029,0,8,dynamic
2026-06-10-20:46:22,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.1,polar,10000,random,3,64,256,0.281786,0.0939286,0.0940194,0.000187567,1,0.0944813,8553,0,8,dynamic
2026-06-10-20:46:22,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,polar,10000,random,3,64,256,0.0119811,0.0039937,0.00398692,3.09496e-05,1,0.00466533,66,0,16,dynamic
2026-06-10-20:46:22,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,polar,10000,random,3,64,256,0.0612991,0.020433,0.0204107,3.62067e-05,1,0.0207337,2029,0,16,dynamic
2026-06-10-20:46:23,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.1,polar,10000,random,3,64,256,0.14986,0.0499534,0.0499806,5.65291e-05,1,0.0504897,8553,0,16,dynamic
2026-06-10-20:46:23,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,polar,10000,random,3,64,256,0.0398682,0.0132894,0.0132653,0.00425628,1,0.0144762,66,0,24,dynamic
2026-06-10-20:46:23,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,polar,10000,random,3,64,256,0.0588656,0.0196219,0.0195854,0.00434763,1,0.0250324,2029,0,24,dynamic
2026-06-10-20:46:23,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.1,polar,10000,random,3,64,256,0.104621,0.0348737,0.0349048,5.59e-05,1,0.0352563,8553,0,24,dynamic
2026-06-10-20:46:23,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,polar,10000,random,3,64,256,0.00651484,0.00217161,0.00215436,3.60239e-05,1,0.00273615,66,0,32,dynamic
2026-06-10-20:46:23,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,polar,10000,random,3,64,256,0.0335367,0.0111789,0.0111828,1.26671e-05,1,0.0113836,2029,0,32,dynamic
2026-06-10-20:46:23,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.1,polar,10000,random,3,64,256,0.0827219,0.027574,0.0275572,4.19662e-05,1,0.0279125,8553,0,32,dynamic
2026-06-10-20:46:23,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,polar,10000,random,3,64,256,0.00537932,0.00179311,0.00178107,2.47319e-05,1,0.00232412,66,0,40,dynamic
2026-06-10-20:46:23,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,polar,10000,random,3,64,256,0.02834,0.00944667,0.00943658,2.40618e-05,1,0.00954893,2029,0,40,dynamic
2026-06-10-20:46:23,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.1,polar,10000,random,3,64,256,0.0711521,0.0237174,0.0237168,6.1003e-06,1,0.0240548,8553,0,40,dynamic
2026-06-10-20:46:25,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,cartesian,10000,random,3,64,256,0.186008,0.0620028,0.0619183,0.000291227,1,0.0666556,66,0,1,dynamic
2026-06-10-20:46:26,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,cartesian,10000,random,3,64,256,0.985607,0.328536,0.328803,0.000457409,1,0.32983,2029,0,1,dynamic
2026-06-10-20:46:29,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.1,cartesian,10000,random,3,64,256,2.32714,0.775712,0.777147,0.00206276,1,0.779032,8553,0,1,dynamic
2026-06-10-20:46:29,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,cartesian,10000,random,3,64,256,0.0964953,0.0321651,0.0321365,0.000149974,1,0.0343273,66,0,2,dynamic
2026-06-10-20:46:30,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,cartesian,10000,random,3,64,256,0.493766,0.164589,0.164748,0.000287819,1,0.167064,2029,0,2,dynamic
2026-06-10-20:46:31,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.1,cartesian,10000,random,3,64,256,1.1639,0.387968,0.388401,0.00079864,1,0.389388,8553,0,2,dynamic
2026-06-10-20:46:32,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.01,cartesian,10000,random,3,64,256,0.0468822,0.0156274,0.0156114,8.09132e-05,1,0.0171058,66,0,4,dynamic
2026-06-10-20:46:32,linOct,PointsAoS,HilbertEncoder3D,29697591,neighborsPrune,sphere,0.05,cartesian,10000,random,3,64,256,0.248951,0.0829837,0.0830414,9.19169e-05,1,0.0831462,2029,0,4,dynamic
