date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,threshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-06-07-14:29:39,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,sphere,1,none,10000,random,5,64,128,0.0642708,0.0128542,0.0146945,0.00262602,1,0.0165511,95,0,40,dynamic
2026-06-07-14:29:39,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,sphere,2,none,10000,random,5,64,128,0.0909885,0.0181977,0.0179993,0.000397744,1,0.0169782,409,0,40,dynamic
2026-06-07-14:29:39,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,sphere,3,none,10000,random,5,64,128,0.0723237,0.0144647,0.0144758,0.000100541,1,0.0199402,970,0,40,dynamic
2026-06-07-14:29:40,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,sphere,5,none,10000,random,5,64,128,0.131761,0.0263521,0.0263588,0.00013767,1,0.0269852,2875,0,40,dynamic
2026-06-07-14:29:40,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,sphere,6,none,10000,random,5,64,128,0.162313,0.0324626,0.0325319,0.000204091,1,0.032437,4241,0,40,dynamic
2026-06-07-14:29:40,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,sphere,7,none,10000,random,5,64,128,0.196977,0.0393955,0.0393043,0.000152079,1,0.0394208,5894,0,40,dynamic
2026-06-07-14:29:40,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,sphere,8,none,10000,random,5,64,128,0.233285,0.0466569,0.0466354,0.000206354,1,0.0469932,7852,0,40,dynamic
2026-06-07-14:29:41,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,sphere,10,none,10000,random,5,64,128,0.313974,0.0627948,0.0627048,0.000504115,1,0.0637974,12713,0,40,dynamic
2026-06-07-14:29:41,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsStruct,sphere,1,none,10000,random,5,64,128,0.0182734,0.00365469,0.00365661,2.48525e-05,1,0.00394871,95,0,40,dynamic
2026-06-07-14:29:41,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsStruct,sphere,2,none,10000,random,5,64,128,0.0414872,0.00829743,0.00829332,1.64216e-05,1,0.00798744,409,0,40,dynamic
2026-06-07-14:29:41,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsStruct,sphere,3,none,10000,random,5,64,128,0.064326,0.0128652,0.0125912,0.000373022,1,0.0134819,970,0,40,dynamic
2026-06-07-14:29:41,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsStruct,sphere,5,none,10000,random,5,64,128,0.116921,0.0233843,0.0233412,0.000101243,1,0.0233054,2875,0,40,dynamic
2026-06-07-14:29:41,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsStruct,sphere,6,none,10000,random,5,64,128,0.145775,0.029155,0.0290824,0.000265397,1,0.0291923,4241,0,40,dynamic
2026-06-07-14:29:41,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsStruct,sphere,7,none,10000,random,5,64,128,0.178056,0.0356112,0.035356,0.000474831,1,0.0349456,5894,0,40,dynamic
2026-06-07-14:29:42,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsStruct,sphere,8,none,10000,random,5,64,128,0.217034,0.0434068,0.0438221,0.00137637,1,0.0415928,7852,0,40,dynamic
2026-06-07-14:29:42,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsStruct,sphere,10,none,10000,random,5,64,128,0.308065,0.0616129,0.0578934,0.00515462,1,0.0593537,12713,0,40,dynamic
2026-06-07-14:29:42,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,cube,1,none,10000,random,5,64,128,0.0207792,0.00415583,0.00416125,1.83813e-05,1,0.00805251,130,0,40,dynamic
2026-06-07-14:29:42,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,cube,2,none,10000,random,5,64,128,0.0456171,0.00912342,0.00911524,4.55776e-05,1,0.00917258,573,0,40,dynamic
2026-06-07-14:29:42,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,cube,3,none,10000,random,5,64,128,0.0746775,0.0149355,0.0148212,0.000222952,1,0.0149864,1358,0,40,dynamic
2026-06-07-14:29:42,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,cube,5,none,10000,random,5,64,128,0.140711,0.0281423,0.0281918,0.000145218,1,0.0280628,4064,0,40,dynamic
2026-06-07-14:29:42,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,cube,6,none,10000,random,5,64,128,0.176604,0.0353209,0.0352995,0.000155005,1,0.0353401,6034,0,40,dynamic
2026-06-07-14:29:43,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,cube,7,none,10000,random,5,64,128,0.219492,0.0438984,0.0438835,0.00043693,1,0.0436407,8465,0,40,dynamic
2026-06-07-14:29:43,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,cube,8,none,10000,random,5,64,128,0.27131,0.0542619,0.0541156,0.000359285,1,0.0541422,11384,0,40,dynamic
2026-06-07-14:29:44,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,cube,10,none,10000,random,5,64,128,0.400413,0.0800827,0.0761511,0.00699028,1,0.0751951,18714,0,40,dynamic
2026-06-07-14:29:44,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsStruct,cube,1,none,10000,random,5,64,128,0.0208553,0.00417107,0.0041721,9.07436e-06,1,0.00443764,130,0,40,dynamic
2026-06-07-14:29:44,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsStruct,cube,2,none,10000,random,5,64,128,0.0456205,0.0091241,0.00915275,4.19599e-05,1,0.00920842,573,0,40,dynamic
2026-06-07-14:29:44,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsStruct,cube,3,none,10000,random,5,64,128,0.0739476,0.0147895,0.0148105,6.90723e-05,1,0.0148349,1358,0,40,dynamic
2026-06-07-14:29:44,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsStruct,cube,5,none,10000,random,5,64,128,0.13771,0.027542,0.0275097,0.00015269,1,0.0275558,4064,0,40,dynamic
2026-06-07-14:29:44,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsStruct,cube,6,none,10000,random,5,64,128,0.171947,0.0343894,0.034281,0.000374573,1,0.0344757,6034,0,40,dynamic
2026-06-07-14:29:44,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsStruct,cube,7,none,10000,random,5,64,128,0.210312,0.0420624,0.0417996,0.000531208,1,0.0420664,8465,0,40,dynamic
2026-06-07-14:29:45,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsStruct,cube,8,none,10000,random,5,64,128,0.252487,0.0504974,0.0503741,0.00025733,1,0.0512851,11384,0,40,dynamic
2026-06-07-14:29:45,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsStruct,cube,10,none,10000,random,5,64,128,0.364984,0.0729969,0.0731622,0.00343776,1,0.0691593,18714,0,40,dynamic
2026-06-07-14:29:45,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,sphere,1,polar,10000,random,5,64,128,0.0712924,0.0142585,0.0142326,0.00017422,1,0.0110281,95,0,40,dynamic
2026-06-07-14:29:45,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,sphere,2,polar,10000,random,5,64,128,0.0893352,0.017867,0.0180003,0.000264355,1,0.0248211,409,0,40,dynamic
2026-06-07-14:29:46,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,sphere,3,polar,10000,random,5,64,128,0.117967,0.0235933,0.0269039,0.00456646,1,0.0273261,970,0,40,dynamic
2026-06-07-14:29:46,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,sphere,5,polar,10000,random,5,64,128,0.133386,0.0266772,0.0267728,0.000223428,1,0.0273038,2875,0,40,dynamic
2026-06-07-14:29:46,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,sphere,6,polar,10000,random,5,64,128,0.168609,0.0337218,0.0340871,0.00066159,1,0.0354023,4241,0,40,dynamic
2026-06-07-14:29:46,linOct,PointsAoS,MortonEncoder3D,11703345,neighborsPrune,sphere,7,polar,10000,random,5,64,128,0.201929,0.0403858,0.0403015,0.000517505,1,0.0399117,5894,0,40,dynamic
