date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,threshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-06-07-16:08:55,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,0.25,none,10000,random,5,100,128,0.0401474,0.00802948,0.00798214,0.000257361,1,0.00992688,513,0,40,dynamic
2026-06-07-16:08:55,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,0.5,none,10000,random,5,100,128,0.0795039,0.0159008,0.0158497,0.000421529,1,0.0168798,2050,0,40,dynamic
2026-06-07-16:08:55,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,0.75,none,10000,random,5,100,128,0.119652,0.0239304,0.0239599,0.000354072,1,0.025002,4625,0,40,dynamic
2026-06-07-16:08:55,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,1,none,10000,random,5,100,128,0.163864,0.0327729,0.0326748,0.000270165,1,0.0333958,8247,0,40,dynamic
2026-06-07-16:08:55,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,1.5,none,10000,random,5,100,128,0.312619,0.0625238,0.0616825,0.00583119,1,0.096622,18523,0,40,dynamic
2026-06-07-16:08:56,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,2,none,10000,random,5,100,128,0.422335,0.084467,0.084222,0.00307658,1,0.113314,32665,0,40,dynamic
2026-06-07-16:08:57,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,3,none,10000,random,5,100,128,0.932166,0.186433,0.181316,0.0109834,1,0.216091,71719,0,40,dynamic
2026-06-07-16:09:01,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,5,none,10000,random,5,100,128,2.94934,0.589868,0.590495,0.00563729,1,0.598581,188131,0,40,dynamic
2026-06-07-16:09:01,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsStruct,sphere,0.25,none,10000,random,5,100,128,0.0309094,0.00618187,0.0061981,2.22739e-05,1,0.00704949,513,0,40,dynamic
2026-06-07-16:09:01,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsStruct,sphere,0.5,none,10000,random,5,100,128,0.0667362,0.0133472,0.0133607,5.11918e-05,1,0.013403,2050,0,40,dynamic
2026-06-07-16:09:01,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsStruct,sphere,0.75,none,10000,random,5,100,128,0.104732,0.0209464,0.0209451,4.11311e-05,1,0.0208465,4625,0,40,dynamic
2026-06-07-16:09:01,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsStruct,sphere,1,none,10000,random,5,100,128,0.14366,0.0287319,0.0287291,0.000105895,1,0.0287059,8247,0,40,dynamic
2026-06-07-16:09:01,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsStruct,sphere,1.5,none,10000,random,5,100,128,0.219631,0.0439261,0.0439473,0.000203757,1,0.0440375,18523,0,40,dynamic
2026-06-07-16:09:02,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsStruct,sphere,2,none,10000,random,5,100,128,0.297211,0.0594422,0.0594319,0.000226339,1,0.0594865,32665,0,40,dynamic
2026-06-07-16:09:02,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsStruct,sphere,3,none,10000,random,5,100,128,0.449501,0.0899003,0.0897983,0.000330221,1,0.0903955,71719,0,40,dynamic
2026-06-07-16:09:03,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsStruct,sphere,5,none,10000,random,5,100,128,0.764141,0.152828,0.152817,0.000250654,1,0.153953,188131,0,40,dynamic
2026-06-07-16:09:03,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,0.25,none,10000,random,5,100,128,0.0331263,0.00662527,0.00663606,2.44879e-05,1,0.00670329,687,0,40,dynamic
