date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,threshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-06-07-14:49:51,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,0.25,none,10000,random,5,16,128,0.0309838,0.00619677,0.00616471,7.2616e-05,1,0.00716003,170,0,40,dynamic
2026-06-07-14:49:52,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,0.5,none,10000,random,5,16,128,0.0648764,0.0129753,0.0129832,3.01766e-05,1,0.0131062,689,0,40,dynamic
2026-06-07-14:49:52,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,0.75,none,10000,random,5,16,128,0.102621,0.0205241,0.0205407,0.000131583,1,0.0206364,1565,0,40,dynamic
2026-06-07-14:49:52,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,1,none,10000,random,5,16,128,0.141064,0.0282127,0.0282027,0.000234881,1,0.0285162,2806,0,40,dynamic
2026-06-07-14:49:52,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,1.5,none,10000,random,5,16,128,0.225028,0.0450057,0.0449323,0.000445436,1,0.0457221,6420,0,40,dynamic
2026-06-07-14:49:52,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,2,none,10000,random,5,16,128,0.315075,0.0630149,0.0630437,0.000635226,1,0.0638041,11588,0,40,dynamic
2026-06-07-14:49:53,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,3,none,10000,random,5,16,128,0.529687,0.105937,0.105884,0.0008163,1,0.106973,26795,0,40,dynamic
2026-06-07-14:49:55,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,5,none,10000,random,5,16,128,1.29255,0.258511,0.258301,0.00126825,1,0.261362,77531,0,40,dynamic
2026-06-07-14:49:55,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,0.25,none,10000,random,5,16,128,0.0271357,0.00542714,0.00543063,4.94727e-05,1,0.00586659,170,0,40,dynamic
2026-06-07-14:49:55,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,0.5,none,10000,random,5,16,128,0.0569476,0.0113895,0.0113919,1.03e-05,1,0.0112238,689,0,40,dynamic
2026-06-07-14:49:55,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,0.75,none,10000,random,5,16,128,0.0899745,0.0179949,0.0180105,5.64585e-05,1,0.0179748,1565,0,40,dynamic
2026-06-07-14:49:55,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,1,none,10000,random,5,16,128,0.124094,0.0248187,0.0248575,0.000143896,1,0.0247129,2806,0,40,dynamic
2026-06-07-14:49:55,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,1.5,none,10000,random,5,16,128,0.197145,0.0394289,0.0394761,0.000172648,1,0.0395186,6420,0,40,dynamic
2026-06-07-14:49:56,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,2,none,10000,random,5,16,128,0.273844,0.0547688,0.0548912,0.000332197,1,0.0549096,11588,0,40,dynamic
2026-06-07-14:49:56,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,3,none,10000,random,5,16,128,0.435621,0.0871243,0.0870851,0.000723086,1,0.0881854,26795,0,40,dynamic
2026-06-07-14:49:57,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,5,none,10000,random,5,16,128,0.778975,0.155795,0.155367,0.00140869,1,0.158594,77531,0,40,dynamic
2026-06-07-14:49:57,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,0.25,none,10000,random,5,16,128,0.0275066,0.00550131,0.00551016,1.19907e-05,1,0.00557026,230,0,40,dynamic
2026-06-07-14:49:57,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,0.5,none,10000,random,5,16,128,0.0581773,0.0116355,0.0116397,4.60957e-05,1,0.0115903,935,0,40,dynamic
2026-06-07-14:49:57,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,0.75,none,10000,random,5,16,128,0.0925035,0.0185007,0.018505,6.34324e-05,1,0.0184474,2133,0,40,dynamic
2026-06-07-14:49:57,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,1,none,10000,random,5,16,128,0.129546,0.0259093,0.0258804,0.000123448,1,0.0258372,3846,0,40,dynamic
2026-06-07-14:49:58,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,1.5,none,10000,random,5,16,128,0.21452,0.042904,0.0429088,0.000143986,1,0.0427633,8871,0,40,dynamic
2026-06-07-14:49:58,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,2,none,10000,random,5,16,128,0.310695,0.0621391,0.0620158,0.000344232,1,0.0624191,16104,0,40,dynamic
2026-06-07-14:49:59,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,3,none,10000,random,5,16,128,0.585039,0.117008,0.116815,0.000662978,1,0.116991,37568,0,40,dynamic
2026-06-07-14:50:01,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,5,none,10000,random,5,16,128,1.58178,0.316355,0.315656,0.00154905,1,0.315726,109232,0,40,dynamic
2026-06-07-14:50:01,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,0.25,none,10000,random,5,16,128,0.0286938,0.00573876,0.00535855,0.000666859,1,0.0060683,230,0,40,dynamic
2026-06-07-14:50:01,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,0.5,none,10000,random,5,16,128,0.0560237,0.0112047,0.0111721,9.99924e-05,1,0.0111811,935,0,40,dynamic
2026-06-07-14:50:01,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,0.75,none,10000,random,5,16,128,0.0877936,0.0175587,0.0175497,3.26184e-05,1,0.0174813,2133,0,40,dynamic
2026-06-07-14:50:01,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,1,none,10000,random,5,16,128,0.12226,0.0244521,0.0244475,9.80505e-05,1,0.0243872,3846,0,40,dynamic
2026-06-07-14:50:01,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,1.5,none,10000,random,5,16,128,0.195788,0.0391576,0.0392076,0.000139337,1,0.0391005,8871,0,40,dynamic
2026-06-07-14:50:02,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,2,none,10000,random,5,16,128,0.273594,0.0547187,0.0547561,0.000328096,1,0.0550956,16104,0,40,dynamic
2026-06-07-14:50:02,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,3,none,10000,random,5,16,128,0.445324,0.0890648,0.0891506,0.000427667,1,0.0894986,37568,0,40,dynamic
2026-06-07-14:50:03,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,cube,5,none,10000,random,5,16,128,0.811724,0.162345,0.162075,0.000862049,1,0.162673,109232,0,40,dynamic
2026-06-07-14:50:04,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,0.25,polar,10000,random,5,16,128,0.0247214,0.00494427,0.00491788,5.98304e-05,1,0.00931117,170,0,40,dynamic
2026-06-07-14:50:04,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,0.5,polar,10000,random,5,16,128,0.0572866,0.0114573,0.0114415,3.62476e-05,1,0.0114408,689,0,40,dynamic
2026-06-07-14:50:04,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,0.75,polar,10000,random,5,16,128,0.0942174,0.0188435,0.0188615,3.79268e-05,1,0.0188404,1565,0,40,dynamic
2026-06-07-14:50:05,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,1,polar,10000,random,5,16,128,0.134175,0.0268351,0.0268343,9.14451e-05,1,0.0269691,2806,0,40,dynamic
2026-06-07-14:50:05,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,1.5,polar,10000,random,5,16,128,0.222197,0.0444395,0.0444249,0.000243495,1,0.044714,6420,0,40,dynamic
2026-06-07-14:50:05,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,2,polar,10000,random,5,16,128,0.319516,0.0639033,0.0638371,0.000319514,1,0.0643899,11588,0,40,dynamic
2026-06-07-14:50:06,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,3,polar,10000,random,5,16,128,0.545461,0.109092,0.108881,0.000668894,1,0.110606,26795,0,40,dynamic
2026-06-07-14:50:07,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,sphere,5,polar,10000,random,5,16,128,1.34598,0.269196,0.269085,0.00117392,1,0.269711,77531,0,40,dynamic
2026-06-07-14:50:07,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,0.25,polar,10000,random,5,16,128,0.0244301,0.00488602,0.00491336,4.05166e-05,1,0.00544056,170,0,40,dynamic
2026-06-07-14:50:08,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,0.5,polar,10000,random,5,16,128,0.0540886,0.0108177,0.0107956,4.7307e-05,1,0.0108074,689,0,40,dynamic
2026-06-07-14:50:08,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,0.75,polar,10000,random,5,16,128,0.0867101,0.017342,0.0173476,4.20502e-05,1,0.0173249,1565,0,40,dynamic
2026-06-07-14:50:08,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,1,polar,10000,random,5,16,128,0.121584,0.0243168,0.0243395,6.29585e-05,1,0.024312,2806,0,40,dynamic
2026-06-07-14:50:08,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,1.5,polar,10000,random,5,16,128,0.196104,0.0392208,0.0391588,0.000343978,1,0.0392252,6420,0,40,dynamic
2026-06-07-14:50:08,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,2,polar,10000,random,5,16,128,0.273416,0.0546832,0.0546405,0.000252901,1,0.0548019,11588,0,40,dynamic
2026-06-07-14:50:09,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,3,polar,10000,random,5,16,128,0.441627,0.0883255,0.0884546,0.000480378,1,0.0888397,26795,0,40,dynamic
2026-06-07-14:50:10,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsStruct,sphere,5,polar,10000,random,5,16,128,0.799449,0.15989,0.159341,0.00112399,1,0.161893,77531,0,40,dynamic
2026-06-07-14:50:10,linOct,PointsAoS,MortonEncoder3D,59445106,neighborsPrune,cube,0.25,polar,10000,random,5,16,128,0.0272695,0.00545389,0.00545869,3.52318e-05,1,0.00555193,230,0,40,dynamic
