date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,threshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-06-07-14:44:38,linOct,PointsAoS,MortonEncoder3D,18496674,neighborsPrune,sphere,1,none,10000,random,5,100,512,0.0199055,0.0039811,0.00398314,1.60943e-05,1,0.00425873,24,0,40,dynamic
2026-06-07-14:44:38,linOct,PointsAoS,MortonEncoder3D,18496674,neighborsPrune,sphere,2,none,10000,random,5,100,512,0.0367808,0.00735616,0.00735331,0.000104908,1,0.00739726,122,0,40,dynamic
2026-06-07-14:44:38,linOct,PointsAoS,MortonEncoder3D,18496674,neighborsPrune,sphere,3,none,10000,random,5,100,512,0.0560297,0.0112059,0.0112427,0.000186319,1,0.0113087,319,0,40,dynamic
2026-06-07-14:44:38,linOct,PointsAoS,MortonEncoder3D,18496674,neighborsPrune,sphere,5,none,10000,random,5,100,512,0.102793,0.0205586,0.0204656,0.000410455,1,0.0212439,1069,0,40,dynamic
2026-06-07-14:44:38,linOct,PointsAoS,MortonEncoder3D,18496674,neighborsPrune,sphere,6,none,10000,random,5,100,512,0.125226,0.0250452,0.0250407,0.000336894,1,0.0253693,1639,0,40,dynamic
2026-06-07-14:44:38,linOct,PointsAoS,MortonEncoder3D,18496674,neighborsPrune,sphere,7,none,10000,random,5,100,512,0.149862,0.0299725,0.0299933,0.000323226,1,0.0303509,2348,0,40,dynamic
2026-06-07-14:44:38,linOct,PointsAoS,MortonEncoder3D,18496674,neighborsPrune,sphere,8,none,10000,random,5,100,512,0.176042,0.0352085,0.0352448,0.000241659,1,0.035498,3201,0,40,dynamic
2026-06-07-14:44:39,linOct,PointsAoS,MortonEncoder3D,18496674,neighborsPrune,sphere,10,none,10000,random,5,100,512,0.237017,0.0474034,0.0476233,0.000410516,1,0.0477521,5345,0,40,dynamic
2026-06-07-14:44:39,linOct,PointsAoS,MortonEncoder3D,18496674,neighborsStruct,sphere,1,none,10000,random,5,100,512,0.0151771,0.00303543,0.0030231,1.78138e-05,1,0.00311094,24,0,40,dynamic
2026-06-07-14:44:39,linOct,PointsAoS,MortonEncoder3D,18496674,neighborsStruct,sphere,2,none,10000,random,5,100,512,0.0283382,0.00566764,0.00566817,9.16369e-06,1,0.00566117,122,0,40,dynamic
2026-06-07-14:44:39,linOct,PointsAoS,MortonEncoder3D,18496674,neighborsStruct,sphere,3,none,10000,random,5,100,512,0.0448172,0.00896344,0.00896976,3.93358e-05,1,0.008861,319,0,40,dynamic
2026-06-07-14:44:39,linOct,PointsAoS,MortonEncoder3D,18496674,neighborsStruct,sphere,5,none,10000,random,5,100,512,0.0863231,0.0172646,0.0172778,6.33967e-05,1,0.0172041,1069,0,40,dynamic
2026-06-07-14:44:39,linOct,PointsAoS,MortonEncoder3D,18496674,neighborsStruct,sphere,6,none,10000,random,5,100,512,0.11018,0.022036,0.0220567,9.16336e-05,1,0.0218528,1639,0,40,dynamic
2026-06-07-14:44:39,linOct,PointsAoS,MortonEncoder3D,18496674,neighborsStruct,sphere,7,none,10000,random,5,100,512,0.135698,0.0271395,0.0271411,8.64984e-05,1,0.0271257,2348,0,40,dynamic
2026-06-07-14:44:39,linOct,PointsAoS,MortonEncoder3D,18496674,neighborsStruct,sphere,8,none,10000,random,5,100,512,0.162678,0.0325355,0.0326019,0.0001415,1,0.0324019,3201,0,40,dynamic
2026-06-07-14:44:40,linOct,PointsAoS,MortonEncoder3D,18496674,neighborsStruct,sphere,10,none,10000,random,5,100,512,0.218796,0.0437592,0.04384,0.000292247,1,0.0438338,5345,0,40,dynamic
2026-06-07-14:44:40,linOct,PointsAoS,MortonEncoder3D,18496674,neighborsPrune,cube,1,none,10000,random,5,100,512,0.0154883,0.00309767,0.00309409,1.59303e-05,1,0.00309138,39,0,40,dynamic
2026-06-07-14:44:40,linOct,PointsAoS,MortonEncoder3D,18496674,neighborsPrune,cube,2,none,10000,random,5,100,512,0.0303312,0.00606624,0.00606279,6.70858e-06,1,0.00606078,198,0,40,dynamic
2026-06-07-14:44:40,linOct,PointsAoS,MortonEncoder3D,18496674,neighborsPrune,cube,3,none,10000,random,5,100,512,0.0503342,0.0100668,0.0100665,2.45378e-05,1,0.00994345,518,0,40,dynamic
2026-06-07-14:44:40,linOct,PointsAoS,MortonEncoder3D,18496674,neighborsPrune,cube,5,none,10000,random,5,100,512,0.101397,0.0202795,0.0202979,6.79046e-05,1,0.0201828,1715,0,40,dynamic
