date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,threshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-06-07-17:22:08,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,0.25,none,10000,random,5,100,768,0.0743848,0.014877,0.014906,0.000606508,1,0.016746,1240,0,40,dynamic
2026-06-07-17:22:08,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,0.5,none,10000,random,5,100,768,0.197503,0.0395006,0.0393023,0.00309623,1,0.0823694,5020,0,40,dynamic
2026-06-07-17:22:08,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,0.75,none,10000,random,5,100,768,0.275268,0.0550536,0.0528742,0.00407707,1,0.0983373,11343,0,40,dynamic
2026-06-07-17:22:09,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,1,none,10000,random,5,100,768,0.394099,0.0788198,0.07915,0.000653258,1,0.0786667,20234,0,40,dynamic
2026-06-07-17:22:10,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,1.5,none,10000,random,5,100,768,0.777615,0.155523,0.156314,0.00122418,1,0.156632,45657,0,40,dynamic
2026-06-07-17:22:11,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,2,none,10000,random,5,100,768,1.34059,0.268118,0.26859,0.00369683,1,0.268009,80951,0,40,dynamic
2026-06-07-17:22:15,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,3,none,10000,random,5,100,768,3.03952,0.607905,0.6098,0.00354886,1,0.595796,179276,0,40,dynamic
2026-06-07-17:22:24,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,5,none,10000,random,5,100,768,7.69424,1.53885,1.53915,0.00875871,1,1.54776,472947,0,40,dynamic
2026-06-07-17:22:24,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsStruct,sphere,0.25,none,10000,random,5,100,768,0.0621985,0.0124397,0.0124414,9.07243e-05,1,0.012907,1240,0,40,dynamic
2026-06-07-17:22:25,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsStruct,sphere,0.5,none,10000,random,5,100,768,0.132784,0.0265568,0.0265259,0.000149478,1,0.0264836,5020,0,40,dynamic
2026-06-07-17:22:25,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsStruct,sphere,0.75,none,10000,random,5,100,768,0.209433,0.0418866,0.0419364,0.000304211,1,0.041955,11343,0,40,dynamic
