date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,threshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-06-07-17:42:08,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.005,none,10000,random,5,64,128,0.00791743,0.00158349,0.00156978,4.69834e-05,1,0.00234356,25,0,40,dynamic
2026-06-07-17:42:08,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.01,none,10000,random,5,64,128,0.0148587,0.00297175,0.00296873,9.25691e-06,1,0.00291729,70,0,40,dynamic
2026-06-07-17:42:08,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.025,none,10000,random,5,64,128,0.0377256,0.00754511,0.00753321,7.60292e-05,1,0.00752855,555,0,40,dynamic
2026-06-07-17:42:09,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.05,none,10000,random,5,64,128,0.0817295,0.0163459,0.0163255,0.000203366,1,0.0168632,2065,0,40,dynamic
2026-06-07-17:42:09,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.1,none,10000,random,5,64,128,0.191589,0.0383178,0.0383135,0.000577126,1,0.0391146,8553,0,40,dynamic
2026-06-07-17:42:09,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.15,none,10000,random,5,64,128,0.328305,0.0656611,0.0654775,0.000656288,1,0.06651,19064,0,40,dynamic
2026-06-07-17:42:10,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.2,none,10000,random,5,64,128,0.519976,0.103995,0.103963,0.000892854,1,0.104491,33083,0,40,dynamic
2026-06-07-17:42:11,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.3,none,10000,random,5,64,128,1.02744,0.205489,0.205534,0.00107524,1,0.202351,70814,0,40,dynamic
2026-06-07-17:42:11,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,sphere,0.005,none,10000,random,5,64,128,0.00697908,0.00139582,0.00139027,3.35803e-05,1,0.00197006,25,0,40,dynamic
2026-06-07-17:42:11,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,sphere,0.01,none,10000,random,5,64,128,0.012436,0.0024872,0.00249289,1.95912e-05,1,0.00243203,70,0,40,dynamic
2026-06-07-17:42:11,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,sphere,0.025,none,10000,random,5,64,128,0.0301247,0.00602493,0.00604066,4.20975e-05,1,0.00601344,555,0,40,dynamic
2026-06-07-17:42:11,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,sphere,0.05,none,10000,random,5,64,128,0.0647003,0.0129401,0.0129398,8.45255e-05,1,0.0129414,2065,0,40,dynamic
2026-06-07-17:42:11,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,sphere,0.1,none,10000,random,5,64,128,0.138312,0.0276625,0.0276723,0.000206574,1,0.0274711,8553,0,40,dynamic
2026-06-07-17:42:12,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,sphere,0.15,none,10000,random,5,64,128,0.203994,0.0407988,0.0407568,0.000198945,1,0.0408143,19064,0,40,dynamic
2026-06-07-17:42:12,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,sphere,0.2,none,10000,random,5,64,128,0.270423,0.0540846,0.053937,0.000438214,1,0.0535905,33083,0,40,dynamic
2026-06-07-17:42:12,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,sphere,0.3,none,10000,random,5,64,128,0.400215,0.0800429,0.0799194,0.000449439,1,0.0801391,70814,0,40,dynamic
2026-06-07-17:42:12,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,cube,0.005,none,10000,random,5,64,128,0.00680352,0.0013607,0.0013527,1.8786e-05,1,0.00143377,29,0,40,dynamic
2026-06-07-17:42:12,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,cube,0.01,none,10000,random,5,64,128,0.0141926,0.00283853,0.00284557,1.52381e-05,1,0.00278645,77,0,40,dynamic
2026-06-07-17:42:12,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,cube,0.025,none,10000,random,5,64,128,0.0320875,0.00641751,0.00641662,2.9827e-05,1,0.00639766,823,0,40,dynamic
2026-06-07-17:42:13,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,cube,0.05,none,10000,random,5,64,128,0.0813703,0.0162741,0.0162767,8.31048e-05,1,0.0161443,3264,0,40,dynamic
2026-06-07-17:42:13,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,cube,0.1,none,10000,random,5,64,128,0.212,0.0424001,0.0423379,0.000574384,1,0.0421399,12690,0,40,dynamic
2026-06-07-17:42:13,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,cube,0.15,none,10000,random,5,64,128,0.395451,0.0790903,0.0793469,0.00078881,1,0.079573,27459,0,40,dynamic
2026-06-07-17:42:14,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,cube,0.2,none,10000,random,5,64,128,0.641715,0.128343,0.128609,0.00079673,1,0.128804,46867,0,40,dynamic
2026-06-07-17:42:16,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,cube,0.3,none,10000,random,5,64,128,1.32735,0.26547,0.265352,0.00164409,1,0.262046,99747,0,40,dynamic
2026-06-07-17:42:16,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,cube,0.005,none,10000,random,5,64,128,0.00676281,0.00135256,0.00134752,2.83456e-05,1,0.00195494,29,0,40,dynamic
2026-06-07-17:42:16,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,cube,0.01,none,10000,random,5,64,128,0.0139328,0.00278655,0.00278743,1.14316e-05,1,0.0027514,77,0,40,dynamic
2026-06-07-17:42:16,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,cube,0.025,none,10000,random,5,64,128,0.0300713,0.00601425,0.00599867,2.89708e-05,1,0.00605187,823,0,40,dynamic
2026-06-07-17:42:16,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,cube,0.05,none,10000,random,5,64,128,0.0703273,0.0140655,0.014104,6.59539e-05,1,0.0139823,3264,0,40,dynamic
2026-06-07-17:42:16,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,cube,0.1,none,10000,random,5,64,128,0.145178,0.0290357,0.0290358,0.000200406,1,0.028449,12690,0,40,dynamic
2026-06-07-17:42:16,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,cube,0.15,none,10000,random,5,64,128,0.214258,0.0428517,0.0427302,0.000243939,1,0.0425489,27459,0,40,dynamic
2026-06-07-17:42:17,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,cube,0.2,none,10000,random,5,64,128,0.283475,0.056695,0.0566266,0.000185718,1,0.0564082,46867,0,40,dynamic
2026-06-07-17:42:17,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsStruct,cube,0.3,none,10000,random,5,64,128,0.417854,0.0835709,0.0835656,0.000316033,1,0.0831806,99747,0,40,dynamic
2026-06-07-17:42:17,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.005,polar,10000,random,5,64,128,0.00639053,0.00127811,0.00126276,2.57939e-05,1,0.00212465,25,0,40,dynamic
2026-06-07-17:42:17,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.01,polar,10000,random,5,64,128,0.0123612,0.00247224,0.00247772,1.69418e-05,1,0.00238039,70,0,40,dynamic
2026-06-07-17:42:17,linOct,PointsAoS,MortonEncoder3D,29697591,neighborsPrune,sphere,0.025,polar,10000,random,5,64,128,0.0337037,0.00674074,0.00673457,3.18893e-05,1,0.00671668,555,0,40,dynamic
