date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,threshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-06-07-18:34:05,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.005,none,10000,random,5,16,512,0.0255032,0.00510064,0.00508601,9.65601e-05,1,0.00586216,121,0,40,dynamic
2026-06-07-18:34:05,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.01,none,10000,random,5,16,512,0.0545492,0.0109098,0.010902,3.78884e-05,1,0.0107818,459,0,40,dynamic
2026-06-07-18:34:05,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.025,none,10000,random,5,16,512,0.191729,0.0383458,0.0383116,0.000126358,1,0.0386889,3219,0,40,dynamic
2026-06-07-18:34:06,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.05,none,10000,random,5,16,512,0.356784,0.0713568,0.0691794,0.00425626,1,0.0747199,12826,0,40,dynamic
2026-06-07-18:34:07,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.1,none,10000,random,5,16,512,0.891206,0.178241,0.178641,0.00251251,1,0.17711,50947,0,40,dynamic
2026-06-07-18:34:09,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.15,none,10000,random,5,16,512,1.80143,0.360285,0.362163,0.00693792,1,0.361981,112045,0,40,dynamic
2026-06-07-18:34:13,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.2,none,10000,random,5,16,512,2.87548,0.575096,0.576136,0.00289285,1,0.571317,193521,0,40,dynamic
2026-06-07-18:34:20,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsPrune,sphere,0.3,none,10000,random,5,16,512,5.9151,1.18302,1.18131,0.00901813,1,1.17245,411554,0,40,dynamic
2026-06-07-18:34:20,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsStruct,sphere,0.005,none,10000,random,5,16,512,0.0235014,0.00470029,0.00469514,4.44478e-05,1,0.0052423,121,0,40,dynamic
2026-06-07-18:34:20,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsStruct,sphere,0.01,none,10000,random,5,16,512,0.0485814,0.00971627,0.00973712,7.62868e-05,1,0.00961964,459,0,40,dynamic
2026-06-07-18:34:20,linOct,PointsAoS,MortonEncoder3D,73923965,neighborsStruct,sphere,0.025,none,10000,random,5,16,512,0.125794,0.0251587,0.0251053,0.00022227,1,0.0249672,3219,0,40,dynamic
