date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-04-01-15:04:15,linOct,PointsAoS,HilbertEncoder3D,10000000,neighbors,sphere,1,5000,sequential,1,0.00196618,0.00196618,0.00196618,0,0,6.91686e-310,216,0,16,dynamic
2026-04-01-15:04:15,linOct,PointsAoS,HilbertEncoder3D,10000000,neighbors,sphere,0,5000,sequential,1,0.00025484,0.00025484,0.00025484,0,0,6.91686e-310,0,0,16,dynamic
2026-04-01-15:04:15,linOct,PointsAoS,HilbertEncoder3D,10000000,neighbors,sphere,2,5000,sequential,1,0.00599414,0.00599414,0.00599414,0,0,6.91686e-310,1200,0,16,dynamic
2026-04-01-15:04:15,linOct,PointsAoS,HilbertEncoder3D,10000000,neighbors,sphere,0,5000,sequential,1,0.000147201,0.000147201,0.000147201,0,0,6.91686e-310,0,0,16,dynamic
2026-04-01-15:04:15,linOct,PointsAoS,HilbertEncoder3D,10000000,neighbors,sphere,3,5000,sequential,1,0.0272378,0.0272378,0.0272378,0,0,6.91686e-310,3888,0,16,dynamic
2026-04-01-15:04:16,linOct,PointsAoS,HilbertEncoder3D,10000000,neighbors,sphere,1,5000,sequential,1,0.0022102,0.0022102,0.0022102,0,0,6.91686e-310,216,0,16,dynamic
2026-04-01-15:04:16,linOct,PointsAoS,HilbertEncoder3D,10000000,neighbors,sphere,0,5000,sequential,1,0.00030488,0.00030488,0.00030488,0,0,6.91686e-310,0,0,16,dynamic
2026-04-01-15:04:16,linOct,PointsAoS,HilbertEncoder3D,10000000,neighbors,sphere,2,5000,sequential,1,0.00731622,0.00731622,0.00731622,0,0,6.91686e-310,1200,0,16,dynamic
2026-04-01-15:04:16,linOct,PointsAoS,HilbertEncoder3D,10000000,neighbors,sphere,0,5000,sequential,1,0.000377538,0.000377538,0.000377538,0,0,6.91686e-310,0,0,16,dynamic
2026-04-01-15:04:16,linOct,PointsAoS,HilbertEncoder3D,10000000,neighbors,sphere,3,5000,sequential,1,0.0197177,0.0197177,0.0197177,0,0,6.91686e-310,3888,0,16,dynamic
2026-04-01-15:04:16,linOct,PointsAoS,HilbertEncoder3D,10000000,neighbors,sphere,1,5000,sequential,1,0.0021066,0.0021066,0.0021066,0,0,6.91686e-310,216,0,16,dynamic
2026-04-01-15:04:16,linOct,PointsAoS,HilbertEncoder3D,10000000,neighbors,sphere,0,5000,sequential,1,0.00039138,0.00039138,0.00039138,0,0,6.91686e-310,0,0,16,dynamic
2026-04-01-15:04:16,linOct,PointsAoS,HilbertEncoder3D,10000000,neighbors,sphere,2,5000,sequential,1,0.00755419,0.00755419,0.00755419,0,0,6.91686e-310,1200,0,16,dynamic
2026-04-01-15:04:16,linOct,PointsAoS,HilbertEncoder3D,10000000,neighbors,sphere,0,5000,sequential,1,0.00033376,0.00033376,0.00033376,0,0,6.91686e-310,0,0,16,dynamic
2026-04-01-15:04:16,linOct,PointsAoS,HilbertEncoder3D,10000000,neighbors,sphere,3,5000,sequential,1,0.0197321,0.0197321,0.0197321,0,0,6.91686e-310,3888,0,16,dynamic
