leaf,kernel,mode,radius,count,total,key
509008,sphere,cylindrical,0.010000,2,120,0
509009,sphere,cylindrical,0.010000,0,0,0
508974,sphere,cylindrical,0.010000,0,47,2
957670,sphere,cylindrical,0.010000,0,3,2
957671,sphere,cylindrical,0.010000,0,0,0
957672,sphere,cylindrical,0.010000,4,36,0
957673,sphere,cylindrical,0.010000,28,30,1
957574,sphere,cylindrical,0.010000,0,0,0
1142548,sphere,cylindrical,0.010000,0,124,2
1142535,sphere,cylindrical,0.010000,12,104,0
251386,sphere,cylindrical,0.010000,0,0,0
251387,sphere,cylindrical,0.010000,17,17,0
251410,sphere,cylindrical,0.010000,0,0,0
251411,sphere,cylindrical,0.010000,0,0,0
251412,sphere,cylindrical,0.010000,0,0,0
251413,sphere,cylindrical,0.010000,0,0,0
251414,sphere,cylindrical,0.010000,42,82,0
251415,sphere,cylindrical,0.010000,0,0,0
251388,sphere,cylindrical,0.010000,0,0,0
251390,sphere,cylindrical,0.010000,0,0,0
251391,sphere,cylindrical,0.010000,0,0,0
251392,sphere,cylindrical,0.010000,11,11,0
251409,sphere,cylindrical,0.010000,11,11,0
251393,sphere,cylindrical,0.010000,0,0,0
251394,sphere,cylindrical,0.010000,1,1,0
251395,sphere,cylindrical,0.010000,16,84,0
251396,sphere,cylindrical,0.010000,0,0,0
251141,sphere,cylindrical,0.010000,0,106,2
250908,sphere,cylindrical,0.010000,0,0,0
250840,sphere,cylindrical,0.010000,0,95,1
250841,sphere,cylindrical,0.010000,9,51,1
250842,sphere,cylindrical,0.010000,0,0,0
249254,sphere,cylindrical,0.010000,0,0,0
249255,sphere,cylindrical,0.010000,0,0,0
249256,sphere,cylindrical,0.010000,0,0,0
249257,sphere,cylindrical,0.010000,0,0,0
249280,sphere,cylindrical,0.010000,0,5,2
249258,sphere,cylindrical,0.010000,0,83,2
249259,sphere,cylindrical,0.010000,0,86,2
885390,sphere,cylindrical,0.010000,0,78,0
884072,sphere,cylindrical,0.010000,0,43,2
884073,sphere,cylindrical,0.010000,9,12,0
884074,sphere,cylindrical,0.010000,5,39,0
884075,sphere,cylindrical,0.010000,0,10,2
884068,sphere,cylindrical,0.010000,0,2,2
884069,sphere,cylindrical,0.010000,7,54,0
884070,sphere,cylindrical,0.010000,6,25,0
884071,sphere,cylindrical,0.010000,0,24,2
938695,sphere,cylindrical,0.010000,0,0,0
938696,sphere,cylindrical,0.010000,5,55,0
938701,sphere,cylindrical,0.010000,0,43,0
938702,sphere,cylindrical,0.010000,0,0,0
738401,sphere,cylindrical,0.010000,0,14,0
738196,sphere,cylindrical,0.010000,7,91,0
738162,sphere,cylindrical,0.010000,8,21,0
738163,sphere,cylindrical,0.010000,0,29,2
736470,sphere,cylindrical,0.010000,0,116,2
736399,sphere,cylindrical,0.010000,0,38,2
736404,sphere,cylindrical,0.010000,0,57,2
736379,sphere,cylindrical,0.010000,11,95,0
736297,sphere,cylindrical,0.010000,0,10,0
736302,sphere,cylindrical,0.010000,13,38,0
736303,sphere,cylindrical,0.010000,0,53,1
208093,sphere,cylindrical,0.010000,0,0,0
208231,sphere,cylindrical,0.010000,1,1,0
208205,sphere,cylindrical,0.010000,0,0,0
208206,sphere,cylindrical,0.010000,0,0,0
208207,sphere,cylindrical,0.010000,116,116,0
208223,sphere,cylindrical,0.010000,0,0,0
208224,sphere,cylindrical,0.010000,0,0,0
208225,sphere,cylindrical,0.010000,0,0,0
208226,sphere,cylindrical,0.010000,0,0,0
208227,sphere,cylindrical,0.010000,23,24,0
208228,sphere,cylindrical,0.010000,1,1,0
