leaf,kernel,mode,radius,L,count,total,key
135867,sphere,spherical,2.000000,0.920227,8,89,0
135868,sphere,spherical,2.000000,0.460113,13,31,0
135869,sphere,spherical,2.000000,0.460113,5,6,0
135874,sphere,spherical,2.000000,0.460113,13,20,0
135875,sphere,spherical,2.000000,0.460113,10,25,0
135630,sphere,spherical,2.000000,0.920227,70,70,0
135631,sphere,spherical,2.000000,0.920227,7,7,0
135633,sphere,spherical,2.000000,0.920227,83,83,0
135636,sphere,spherical,2.000000,0.920227,0,26,0
135637,sphere,spherical,2.000000,0.920227,6,6,0
135622,sphere,spherical,2.000000,0.920227,50,50,0
135623,sphere,spherical,2.000000,0.920227,0,0,0
135624,sphere,spherical,2.000000,0.920227,0,0,0
135625,sphere,spherical,2.000000,0.920227,23,23,0
135626,sphere,spherical,2.000000,0.920227,105,105,0
135627,sphere,spherical,2.000000,0.920227,0,6,0
135628,sphere,spherical,2.000000,0.920227,4,4,0
135629,sphere,spherical,2.000000,0.920227,67,67,0
135620,sphere,spherical,2.000000,1.840453,0,114,0
135621,sphere,spherical,2.000000,1.840453,3,77,0
135599,sphere,spherical,2.000000,1.840453,6,94,0
135600,sphere,spherical,2.000000,0.920227,79,79,0
135603,sphere,spherical,2.000000,0.920227,26,26,0
135604,sphere,spherical,2.000000,0.920227,0,0,0
135607,sphere,spherical,2.000000,0.920227,0,0,0
135592,sphere,spherical,2.000000,0.920227,0,0,0
135593,sphere,spherical,2.000000,0.920227,4,4,0
135594,sphere,spherical,2.000000,0.920227,8,8,0
135595,sphere,spherical,2.000000,0.920227,14,14,0
135596,sphere,spherical,2.000000,0.920227,4,7,0
135597,sphere,spherical,2.000000,0.920227,0,0,0
135598,sphere,spherical,2.000000,0.920227,64,64,0
135577,sphere,spherical,2.000000,0.920227,0,0,0
135578,sphere,spherical,2.000000,0.920227,0,0,0
135587,sphere,spherical,2.000000,0.920227,63,63,0
135588,sphere,spherical,2.000000,0.920227,1,1,0
135589,sphere,spherical,2.000000,0.920227,2,2,0
135579,sphere,spherical,2.000000,0.460113,2,9,0
135580,sphere,spherical,2.000000,0.460113,0,3,0
135581,sphere,spherical,2.000000,0.460113,23,65,0
135582,sphere,spherical,2.000000,0.460113,4,26,0
135583,sphere,spherical,2.000000,0.460113,6,6,0
135584,sphere,spherical,2.000000,0.460113,53,53,0
135585,sphere,spherical,2.000000,0.460113,26,26,0
135586,sphere,spherical,2.000000,0.460113,14,14,0
135569,sphere,spherical,2.000000,0.460113,0,4,0
135570,sphere,spherical,2.000000,0.460113,2,2,0
135571,sphere,spherical,2.000000,0.460113,23,23,0
135572,sphere,spherical,2.000000,0.460113,25,118,0
135573,sphere,spherical,2.000000,0.460113,0,18,0
135574,sphere,spherical,2.000000,0.460113,0,0,0
135575,sphere,spherical,2.000000,0.460113,0,0,0
135576,sphere,spherical,2.000000,0.460113,0,2,0
135321,sphere,spherical,2.000000,0.920227,2,2,0
135322,sphere,spherical,2.000000,0.920227,0,0,0
135323,sphere,spherical,2.000000,0.920227,0,0,0
135324,sphere,spherical,2.000000,0.920227,75,75,0
135325,sphere,spherical,2.000000,0.920227,56,56,0
135326,sphere,spherical,2.000000,0.920227,1,1,0
135327,sphere,spherical,2.000000,0.920227,6,32,0
135328,sphere,spherical,2.000000,0.920227,11,11,0
135317,sphere,spherical,2.000000,0.920227,0,0,0
135319,sphere,spherical,2.000000,0.920227,0,0,0
135320,sphere,spherical,2.000000,0.920227,0,0,0
135312,sphere,spherical,2.000000,1.840453,0,116,0
135304,sphere,spherical,2.000000,0.920227,0,0,0
135307,sphere,spherical,2.000000,0.920227,0,0,0
135308,sphere,spherical,2.000000,0.920227,82,82,0
135311,sphere,spherical,2.000000,0.920227,1,1,0
135072,sphere,spherical,2.000000,0.460113,21,37,0
135075,sphere,spherical,2.000000,0.460113,11,11,0
135076,sphere,spherical,2.000000,0.460113,6,6,0
135079,sphere,spherical,2.000000,0.460113,44,63,0
135054,sphere,spherical,2.000000,0.920227,3,40,0
135055,sphere,spherical,2.000000,0.920227,24,47,0
135064,sphere,spherical,2.000000,0.460113,46,63,0
135067,sphere,spherical,2.000000,0.460113,24,24,0
135068,sphere,spherical,2.000000,0.460113,0,0,0
135071,sphere,spherical,2.000000,0.460113,47,54,0
135056,sphere,spherical,2.000000,0.460113,23,38,0
135059,sphere,spherical,2.000000,0.460113,4,25,0
135060,sphere,spherical,2.000000,0.460113,16,60,0
135063,sphere,spherical,2.000000,0.460113,9,42,0
134912,sphere,spherical,2.000000,0.920227,3,96,0
134913,sphere,spherical,2.000000,0.920227,10,103,0
134904,sphere,spherical,2.000000,0.460113,11,31,0
134907,sphere,spherical,2.000000,0.460113,10,38,0
134908,sphere,spherical,2.000000,0.460113,1,29,0
134911,sphere,spherical,2.000000,0.460113,2,9,0
134896,sphere,spherical,2.000000,0.460113,5,11,0
134899,sphere,spherical,2.000000,0.460113,3,43,0
134900,sphere,spherical,2.000000,0.460113,5,19,0
134903,sphere,spherical,2.000000,0.460113,16,22,0
134885,sphere,spherical,2.000000,1.840453,45,119,0
134892,sphere,spherical,2.000000,0.920227,1,40,0
134895,sphere,spherical,2.000000,0.920227,22,70,0
331877,sphere,spherical,2.000000,0.920227,20,77,0
328845,sphere,spherical,2.000000,1.840453,0,0,0
328585,sphere,spherical,2.000000,0.920227,0,0,0
328665,sphere,spherical,2.000000,0.920227,0,107,0
328841,sphere,spherical,2.000000,0.460113,0,0,0
328842,sphere,spherical,2.000000,0.460113,0,0,0
328843,sphere,spherical,2.000000,0.460113,0,0,0
328844,sphere,spherical,2.000000,0.460113,0,0,0
328710,sphere,spherical,2.000000,0.460113,34,34,0
328720,sphere,spherical,2.000000,0.460113,0,0,0
328722,sphere,spherical,2.000000,0.230057,14,46,0
328723,sphere,spherical,2.000000,0.230057,0,0,0
328724,sphere,spherical,2.000000,0.230057,0,0,0
328725,sphere,spherical,2.000000,0.230057,0,0,0
328726,sphere,spherical,2.000000,0.230057,3,3,0
328727,sphere,spherical,2.000000,0.115028,43,43,0
328728,sphere,spherical,2.000000,0.115028,41,41,0
328729,sphere,spherical,2.000000,0.115028,50,50,0
328730,sphere,spherical,2.000000,0.115028,56,56,0
328695,sphere,spherical,2.000000,0.230057,0,0,0
328708,sphere,spherical,2.000000,0.230057,98,98,0
328709,sphere,spherical,2.000000,0.230057,0,0,0
328700,sphere,spherical,2.000000,0.115028,24,24,0
328701,sphere,spherical,2.000000,0.115028,15,15,0
328702,sphere,spherical,2.000000,0.115028,0,0,0
328703,sphere,spherical,2.000000,0.115028,0,0,0
328439,sphere,spherical,2.000000,1.840453,35,35,0
328527,sphere,spherical,2.000000,0.920227,82,82,0
328566,sphere,spherical,2.000000,0.460113,0,0,0
328575,sphere,spherical,2.000000,0.460113,83,83,0
328576,sphere,spherical,2.000000,0.460113,0,0,0
328577,sphere,spherical,2.000000,0.460113,0,0,0
328578,sphere,spherical,2.000000,0.460113,0,0,0
328579,sphere,spherical,2.000000,0.460113,2,2,0
328580,sphere,spherical,2.000000,0.460113,0,0,0
328567,sphere,spherical,2.000000,0.230057,0,0,0
328568,sphere,spherical,2.000000,0.230057,0,0,0
328569,sphere,spherical,2.000000,0.230057,33,33,0
328570,sphere,spherical,2.000000,0.230057,65,65,0
328571,sphere,spherical,2.000000,0.230057,26,26,0
328573,sphere,spherical,2.000000,0.230057,0,0,0
328574,sphere,spherical,2.000000,0.230057,0,0,0
328558,sphere,spherical,2.000000,0.460113,107,107,0
328563,sphere,spherical,2.000000,0.460113,30,30,0
328553,sphere,spherical,2.000000,0.460113,0,0,0
328554,sphere,spherical,2.000000,0.460113,0,0,0
328555,sphere,spherical,2.000000,0.460113,0,0,0
328556,sphere,spherical,2.000000,0.460113,0,0,0
328539,sphere,spherical,2.000000,0.230057,66,66,0
328550,sphere,spherical,2.000000,0.230057,0,0,0
328551,sphere,spherical,2.000000,0.230057,0,0,0
328542,sphere,spherical,2.000000,0.115028,6,6,0
328543,sphere,spherical,2.000000,0.115028,57,57,0
