date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-12-10-04:21:34,ptrOct,PointsAoS,NoEncoding,12219779,neighboursPtr,Sphere,5,12219779,sequential,1,22.2755,22.2755,22.2755,0,1,22.3028,2772,0,40,dynamic
2025-12-10-03:46:41,ptrOct,PointsAoS,MortonEncoder3D,12219779,neighboursPtr,Sphere,5,12219779,sequential,1,15.7832,15.7832,15.7832,0,1,15.6788,2772,0,40,dynamic
2025-12-10-04:04:01,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,5,12219779,sequential,1,14.8379,14.8379,14.8379,0,1,14.8383,2772,0,40,dynamic
25-12-10-03:50:21,linOct,PointsAoS,MortonEncoder3D,12219779,neighbours,Sphere,5,12219779,sequential,1,14.2452,14.2452,14.2452,0,1,14.2487,2772,0,40,dynamic
2025-12-10-03:50:46,linOct,PointsAoS,MortonEncoder3D,12219779,neighboursPrune,Sphere,5,12219779,sequential,1,12.682,12.682,12.682,0,1,12.6949,2772,0,40,dynamic
2025-12-10-03:51:07,linOct,PointsAoS,MortonEncoder3D,12219779,neighboursStruct,Sphere,5,12219779,sequential,1,10.6308,10.6308,10.6308,0,1,10.6342,2772,0,40,dynamic
2025-12-10-04:07:30,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,5,12219779,sequential,1,13.7957,13.7957,13.7957,0,1,13.7946,2772,0,40,dynamic
2025-12-10-04:07:55,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,5,12219779,sequential,1,12.2468,12.2468,12.2468,0,1,12.2477,2772,0,40,dynamic
2025-12-10-04:08:15,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursStruct,Sphere,5,12219779,sequential,1,10.09,10.09,10.09,0,1,10.09,2772,0,40,dynamic
2025-12-10-04:24:06,uniOct,PointsAoS,NoEncoding,12219779,neighboursUnibn,Sphere,5,12219779,sequential,1,19.7162,19.7162,19.7162,0,1,19.7336,2772,0,40,dynamic
2025-12-10-03:55:18,uniOct,PointsAoS,MortonEncoder3D,12219779,neighboursUnibn,Sphere,5,12219779,sequential,1,11.6331,11.6331,11.6331,0,1,11.6311,2772,0,40,dynamic
2025-12-10-04:12:18,uniOct,PointsAoS,HilbertEncoder3D,12219779,neighboursUnibn,Sphere,5,12219779,sequential,1,11.4035,11.4035,11.4035,0,1,11.4131,2772,0,40,dynamic
