date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-12-10-06:27:13,ptrOct,PointsAoS,NoEncoding,10000000,neighboursPtr,Sphere,0.5,10000000,sequential,1,10.6802,10.6802,10.6802,0,1,10.6952,2050,0,40,dynamic
2025-12-10-04:35:40,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Sphere,0.5,10000000,sequential,1,7.98164,7.98164,7.98164,0,1,7.98574,2050,0,40,dynamic
2025-12-10-05:31:12,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.5,10000000,sequential,1,7.61133,7.61133,7.61133,0,1,7.60959,2050,0,40,dynamic
2025-12-10-04:48:46,linOct,PointsAoS,MortonEncoder3D,10000000,neighbours,Sphere,0.5,10000000,sequential,1,7.04145,7.04145,7.04145,0,1,7.04255,2050,0,40,dynamic
2025-12-10-04:50:24,linOct,PointsAoS,MortonEncoder3D,10000000,neighboursPrune,Sphere,0.5,10000000,sequential,1,6.51307,6.51307,6.51307,0,1,6.51176,2050,0,40,dynamic
2025-12-10-04:51:40,linOct,PointsAoS,MortonEncoder3D,10000000,neighboursStruct,Sphere,0.5,10000000,sequential,1,5.21856,5.21856,5.21856,0,1,5.21903,2050,0,40,dynamic
2025-12-10-05:43:52,linOct,PointsAoS,HilbertEncoder3D,10000000,neighbours,Sphere,0.5,10000000,sequential,1,6.87192,6.87192,6.87192,0,1,6.87194,2050,0,40,dynamic
2025-12-10-05:45:29,linOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPrune,Sphere,0.5,10000000,sequential,1,6.33561,6.33561,6.33561,0,1,6.33518,2050,0,40,dynamic
2025-12-10-05:46:42,linOct,PointsAoS,HilbertEncoder3D,10000000,neighboursStruct,Sphere,0.5,10000000,sequential,1,4.97097,4.97097,4.97097,0,1,4.97243,2050,0,40,dynamic
2025-12-10-06:36:49,uniOct,PointsAoS,NoEncoding,10000000,neighboursUnibn,Sphere,0.5,10000000,sequential,1,9.03221,9.03221,9.03221,0,1,9.03989,2050,0,40,dynamic
2025-12-10-05:03:56,uniOct,PointsAoS,MortonEncoder3D,10000000,neighboursUnibn,Sphere,0.5,10000000,sequential,1,6.57604,6.57604,6.57604,0,1,6.57654,2050,0,40,dynamic
2025-12-10-05:58:55,uniOct,PointsAoS,HilbertEncoder3D,10000000,neighboursUnibn,Sphere,0.5,10000000,sequential,1,6.42504,6.42504,6.42504,0,1,6.4244,2050,0,40,dynamic
2025-12-10-06:45:44,pclKD,PointsAoS,NoEncoding,10000000,neighboursPCLKD,Sphere,0.5,10000000,sequential,1,50.3454,50.3454,50.3454,0,1,50.3288,2050,0,40,dynamic
2025-12-10-05:11:27,pclKD,PointsAoS,MortonEncoder3D,10000000,neighboursPCLKD,Sphere,0.5,10000000,sequential,1,50.0962,50.0962,50.0962,0,1,50.0921,2050,0,40,dynamic
2025-12-10-06:06:23,pclKD,PointsAoS,HilbertEncoder3D,10000000,neighboursPCLKD,Sphere,0.5,10000000,sequential,1,50.0445,50.0445,50.0445,0,1,50.0324,2050,0,40,dynamic
