date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-12-11-09:23:26,ptrOct,PointsAoS,NoEncoding,10000000,neighboursPtr,Sphere,0.5,10000000,sequential,1,22.2912,22.2912,22.2912,0,1,22.5217,4978,0,40,dynamic
2025-12-10-08:07:51,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Sphere,0.5,10000000,sequential,1,15.7739,15.7739,15.7739,0,1,16.1462,4978,0,40,dynamic
2025-12-11-07:49:12,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.5,10000000,sequential,1,15.0498,15.0498,15.0498,0,1,15.1145,4978,0,40,dynamic
2025-12-10-08:14:00,linOct,PointsAoS,MortonEncoder3D,10000000,neighbours,Sphere,0.5,10000000,sequential,1,13.7132,13.7132,13.7132,0,1,13.7164,4978,0,40,dynamic
2025-12-10-08:18:18,linOct,PointsAoS,MortonEncoder3D,10000000,neighboursPrune,Sphere,0.5,10000000,sequential,1,11.6499,11.6499,11.6499,0,1,11.6506,4978,0,40,dynamic
2025-12-10-08:20:58,linOct,PointsAoS,MortonEncoder3D,10000000,neighboursStruct,Sphere,0.5,10000000,sequential,1,7.84453,7.84453,7.84453,0,1,7.84206,4978,0,40,dynamic
2025-12-11-08:33:40,linOct,PointsAoS,HilbertEncoder3D,10000000,neighbours,Sphere,0.5,10000000,sequential,1,13.3397,13.3397,13.3397,0,1,13.3404,4978,0,40,dynamic
2025-12-11-08:37:54,linOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPrune,Sphere,0.5,10000000,sequential,1,11.2428,11.2428,11.2428,0,1,11.2426,4978,0,40,dynamic
2025-12-11-08:40:29,linOct,PointsAoS,HilbertEncoder3D,10000000,neighboursStruct,Sphere,0.5,10000000,sequential,1,7.39681,7.39681,7.39681,0,1,7.39925,4978,0,40,dynamic
2025-12-11-09:32:13,uniOct,PointsAoS,NoEncoding,10000000,neighboursUnibn,Sphere,0.5,10000000,sequential,1,20.5293,20.5293,20.5293,0,1,20.5312,4978,0,40,dynamic
2025-12-10-08:22:14,uniOct,PointsAoS,MortonEncoder3D,10000000,neighboursUnibn,Sphere,0.5,10000000,sequential,1,12.1612,12.1612,12.1612,0,1,12.162,4978,0,40,dynamic
2025-12-11-09:13:07,uniOct,PointsAoS,HilbertEncoder3D,10000000,neighboursUnibn,Sphere,0.5,10000000,sequential,1,11.9066,11.9066,11.9066,0,1,11.9062,4978,0,40,dynamic
2025-12-11-07:35:48,pclKD,PointsAoS,NoEncoding,10000000,neighboursPCLKD,Sphere,0.5,10000000,sequential,1,131.568,131.568,131.568,0,1,131.642,4978,0,40,dynamic
2025-12-11-07:31:18,pclKD,PointsAoS,HilbertEncoder3D,10000000,neighboursPCLKD,Sphere,0.5,10000000,sequential,1,130.994,130.994,130.994,0,1,131.033,4978,0,40,dynamic
2025-12-11-07:26:50,pclKD,PointsAoS,MortonEncoder3D,10000000,neighboursPCLKD,Sphere,0.5,10000000,sequential,1,131.148,131.148,131.148,0,1,131.489,4978,0,40,dynamic
2025-12-11-09:37:13,pclOct,PointsAoS,NoEncoding,10000000,neighboursPCLOct,Sphere,0.5,10000000,sequential,1,27.552,27.552,27.552,0,1,27.5653,4978,0,40,dynamic
