date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-05-29-07:08:18,ptrOct,Point,NoEncoding,721810646,neighboursPtr,Sphere,0.05,721810646,sequential,1,182.111,182.111,182.111,0,0,6.94282e-310,198,0,40,dynamic
2025-05-29-07:19:15,ptrOct,Point,MortonEncoder3D,721810646,neighboursPtr,Sphere,0.05,721810646,sequential,1,166.168,166.168,166.168,0,0,6.94282e-310,198,0,40,dynamic
2025-05-29-07:36:54,ptrOct,Point,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.05,721810646,sequential,1,162.59,162.59,162.59,0,0,5.05923e-321,198,0,40,dynamic
2025-05-29-07:22:19,linOct,Point,MortonEncoder3D,721810646,neighbours,Sphere,0.05,721810646,sequential,1,158.103,158.103,158.103,0,0,0,198,0,40,dynamic
2025-05-29-07:24:58,linOct,Point,MortonEncoder3D,721810646,neighboursPtr,Sphere,0.05,721810646,sequential,1,158.503,158.503,158.503,0,0,4.94066e-323,198,0,40,dynamic
2025-05-29-07:27:49,linOct,Point,MortonEncoder3D,721810646,neighboursStruct,Sphere,0.05,721810646,sequential,1,171.217,171.217,171.217,0,0,4.94066e-323,198,0,40,dynamic
2025-05-29-07:40:02,linOct,Point,HilbertEncoder3D,721810646,neighbours,Sphere,0.05,721810646,sequential,1,157.994,157.994,157.994,0,0,0,198,0,40,dynamic
2025-05-29-07:42:42,linOct,Point,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.05,721810646,sequential,1,160.323,160.323,160.323,0,0,4.94066e-323,198,0,40,dynamic
2025-05-29-07:45:35,linOct,Point,HilbertEncoder3D,721810646,neighboursStruct,Sphere,0.05,721810646,sequential,1,172.585,172.585,172.585,0,0,4.94066e-323,198,0,40,dynamic
2025-12-11-10:42:50,uniOct,PointsAoS,NoEncoding,721810646,neighboursUnibn,Sphere,0.05,721810646,sequential,1,190.525,190.525,190.525,0,1,191.112,198,0,40,dynamic
2025-12-11-09:55:04,uniOct,PointsAoS,MortonEncoder3D,721810646,neighboursUnibn,Sphere,0.05,721810646,sequential,1,187.933,187.933,187.933,0,1,201.153,198,0,40,dynamic
2025-12-11-10:19:00,uniOct,PointsAoS,HilbertEncoder3D,721810646,neighboursUnibn,Sphere,0.05,721810646,sequential,1,192.81,192.81,192.81,0,1,186.168,198,0,40,dynamic
2025-12-11-10:58:15,pclOct,PointsAoS,NoEncoding,721810646,neighboursPCLOct,Sphere,0.05,721810646,sequential,1,351.992,351.992,351.992,0,1,311.13,486,0,40,dynamic
2025-12-11-10:08:27,pclOct,PointsAoS,MortonEncoder3D,721810646,neighboursPCLOct,Sphere,0.05,721810646,sequential,1,285.473,285.473,285.473,0,1,288.821,486,0,40,dynamic
2025-12-11-10:31:54,pclOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPCLOct,Sphere,0.05,721810646,sequential,1,277.118,277.118,277.118,0,1,279.858,486,0,40,dynamic
2025-12-10-01:32:38,nanoKD,PointsAoS,NoEncoding,721810646,neighboursNanoflann,Sphere,0.05,721810646,sequential,1,199.786,199.786,199.786,0,1,198.588,198,0,40,dynamic
2025-12-09-22:23:24,nanoKD,PointsAoS,MortonEncoder3D,721810646,neighboursNanoflann,Sphere,0.05,721810646,sequential,1,197.326,197.326,197.326,0,1,196.327,198,0,40,dynamic
2025-11-05-22:44:04,nanoKD,PointsAoS,HilbertEncoder3D,721810646,neighboursNanoflann,Sphere,0.05,721810646,sequential,1,226.44,226.44,226.44,0,1,218.034,198,0,40,dynamic
2025-12-10-02:45:46,picoTree,PointsAoS,NoEncoding,721810646,neighboursPico,Sphere,0.05,721810646,sequential,1,185.199,185.199,185.199,0,1,191.034,198,0,40,dynamic
2025-12-08-00:29:38,picoTree,PointsAoS,HilbertEncoder3D,721810646,neighboursPico,Sphere,0.05,721810646,sequential,1,185.388,185.388,185.388,0,1,169.905,198,0,40,dynamic
2025-12-10-00:25:03,picoTree,PointsAoS,MortonEncoder3D,721810646,neighboursPico,Sphere,0.05,721810646,sequential,1,177.402,177.402,177.402,0,1,172.798,198,0,40,dynamic
2025-12-10-18:23:06,ptrOct,PointsAoS,NoEncoding,721810646,neighboursPtr,Sphere,0.1,721810646,sequential,1,356.922,356.922,356.922,0,1,361.291,787,0,40,dynamic
2025-12-10-16:01:26,ptrOct,PointsAoS,MortonEncoder3D,721810646,neighboursPtr,Sphere,0.1,721810646,sequential,1,296.492,296.492,296.492,0,1,331.578,787,0,40,dynamic
2025-12-10-17:10:30,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.1,721810646,sequential,1,276.845,276.845,276.845,0,1,269.428,787,0,40,dynamic
2025-12-10-16:10:34,linOct,PointsAoS,MortonEncoder3D,721810646,neighbours,Sphere,0.1,721810646,sequential,1,254.372,254.372,254.372,0,1,265.231,787,0,40,dynamic
2025-12-10-16:18:35,linOct,PointsAoS,MortonEncoder3D,721810646,neighboursPrune,Sphere,0.1,721810646,sequential,1,236.596,236.596,236.596,0,1,244.351,787,0,40,dynamic
2025-12-10-16:25:18,linOct,PointsAoS,MortonEncoder3D,721810646,neighboursStruct,Sphere,0.1,721810646,sequential,1,205.849,205.849,205.849,0,1,197.274,787,0,40,dynamic
2025-12-10-17:19:18,linOct,PointsAoS,HilbertEncoder3D,721810646,neighbours,Sphere,0.1,721810646,sequential,1,248.85,248.85,248.85,0,1,248.517,787,0,40,dynamic
2025-12-10-17:27:03,linOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPrune,Sphere,0.1,721810646,sequential,1,234.403,234.403,234.403,0,1,230.673,787,0,40,dynamic
2025-12-10-17:33:30,linOct,PointsAoS,HilbertEncoder3D,721810646,neighboursStruct,Sphere,0.1,721810646,sequential,1,189.662,189.662,189.662,0,1,197.782,787,0,40,dynamic
