date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-05-28-20:49:54,ptrOct,Point,NoEncoding,29697591,neighboursPtr,Sphere,0.01,29697591,sequential,1,6.60645,6.60645,6.60645,0,0,6.92326e-310,69,0,40,dynamic
2025-05-28-21:13:11,ptrOct,Point,MortonEncoder3D,29697591,neighboursPtr,Sphere,0.01,29697591,sequential,1,5.66571,5.66571,5.66571,0,0,6.92331e-310,69,0,40,dynamic
2025-05-28-21:43:15,ptrOct,Point,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.01,29697591,sequential,1,5.70532,5.70532,5.70532,0,0,1.8349e-314,69,0,40,dynamic
2025-05-28-21:17:14,linOct,Point,MortonEncoder3D,29697591,neighbours,Sphere,0.01,29697591,sequential,1,5.46404,5.46404,5.46404,0,0,0,69,0,40,dynamic
2025-05-28-21:17:25,linOct,Point,MortonEncoder3D,29697591,neighboursPtr,Sphere,0.01,29697591,sequential,1,5.44109,5.44109,5.44109,0,0,4.94066e-323,69,0,40,dynamic
2025-05-28-21:17:36,linOct,Point,MortonEncoder3D,29697591,neighboursStruct,Sphere,0.01,29697591,sequential,1,5.39521,5.39521,5.39521,0,0,4.94066e-323,69,0,40,dynamic
2025-05-28-21:47:05,linOct,Point,HilbertEncoder3D,29697591,neighbours,Sphere,0.01,29697591,sequential,1,6.15121,6.15121,6.15121,0,0,0,69,0,40,dynamic
2025-05-28-21:47:18,linOct,Point,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.01,29697591,sequential,1,6.15482,6.15482,6.15482,0,0,4.94066e-323,69,0,40,dynamic
2025-05-28-21:47:30,linOct,Point,HilbertEncoder3D,29697591,neighboursStruct,Sphere,0.01,29697591,sequential,1,6.17949,6.17949,6.17949,0,0,4.94066e-323,69,0,40,dynamic
2025-05-28-20:54:22,unibnOctree,Point,NoEncoding,29697591,neighboursUnibn,Sphere,0.01,29697591,sequential,1,6.76069,6.76069,6.76069,0,0,-10.3345,69,0,40,dynamic
2025-05-28-21:24:52,unibnOctree,Point,MortonEncoder3D,29697591,neighboursUnibn,Sphere,0.01,29697591,sequential,1,6.18675,6.18675,6.18675,0,0,-10.3345,69,0,40,dynamic
2025-05-28-21:54:46,unibnOctree,Point,HilbertEncoder3D,29697591,neighboursUnibn,Sphere,0.01,29697591,sequential,1,6.70519,6.70519,6.70519,0,0,-10.3345,69,0,40,dynamic
2025-05-28-20:57:14,pclKD,PCLPointXYZ,NoEncoding,29697591,neighboursPclKD,Sphere,0.01,29697591,sequential,1,12.7969,12.7969,12.7969,0,0,-5.48746e+303,70,0,40,dynamic
2025-05-28-21:27:35,pclKD,PCLPointXYZ,MortonEncoder3D,29697591,neighboursPclKD,Sphere,0.01,29697591,sequential,1,12.6315,12.6315,12.6315,0,0,-5.48746e+303,70,0,40,dynamic
2025-05-28-21:57:29,pclKD,PCLPointXYZ,HilbertEncoder3D,29697591,neighboursPclKD,Sphere,0.01,29697591,sequential,1,12.7531,12.7531,12.7531,0,0,2.24743e-307,70,0,40,dynamic
2025-06-02-18:29:28,pclOct,PCLPointXYZ,NoEncoding,29697591,neighboursPclOct,Sphere,0.01,29697591,sequential,1,19.0876,19.0876,19.0876,0,0,0,70,0,40,dynamic
2025-06-02-18:33:30,pclOct,PCLPointXYZ,MortonEncoder3D,29697591,neighboursPclOct,Sphere,0.01,29697591,sequential,1,17.4303,17.4303,17.4303,0,0,1.17874e-319,70,0,40,dynamic
2025-06-02-18:36:46,pclOct,PCLPointXYZ,HilbertEncoder3D,29697591,neighboursPclOct,Sphere,0.01,29697591,sequential,1,17.0319,17.0319,17.0319,0,0,2.24743e-307,70,0,40,dynamic
2025-12-09-11:17:34,nanoKD,PointsAoS,NoEncoding,29697591,neighboursNanoflann,Sphere,0.01,29697591,sequential,1,6.06899,6.06899,6.06899,0,1,6.08218,69,0,40,dynamic
2025-11-05-19:46:39,nanoKD,PointsAoS,HilbertEncoder3D,29697591,neighboursNanoflann,Sphere,0.01,29697591,sequential,1,4.39547,4.39547,4.39547,0,1,4.42879,69,0,40,dynamic
2025-12-09-11:05:29,nanoKD,PointsAoS,MortonEncoder3D,29697591,neighboursNanoflann,Sphere,0.01,29697591,sequential,1,5.9788,5.9788,5.9788,0,1,6.05882,69,0,40,dynamic
2025-12-09-11:35:09,picoTree,PointsAoS,NoEncoding,29697591,neighboursPico,Sphere,0.01,29697591,sequential,1,4.24383,4.24383,4.24383,0,1,4.24514,69,0,40,dynamic
2025-12-09-11:09:33,picoTree,PointsAoS,MortonEncoder3D,29697591,neighboursPico,Sphere,0.01,29697591,sequential,1,5.87918,5.87918,5.87918,0,1,5.84645,69,0,40,dynamic
2025-12-07-21:50:29,picoTree,PointsAoS,HilbertEncoder3D,29697591,neighboursPico,Sphere,0.01,29697591,sequential,1,3.83624,3.83624,3.83624,0,1,3.96372,69,0,40,dynamic
2025-05-28-20:50:25,ptrOct,Point,NoEncoding,29697591,neighboursPtr,Sphere,0.05,29697591,sequential,1,24.9762,24.9762,24.9762,0,0,6.92326e-310,2048,0,40,dynamic
2025-05-28-21:13:40,ptrOct,Point,MortonEncoder3D,29697591,neighboursPtr,Sphere,0.05,29697591,sequential,1,23.2963,23.2963,23.2963,0,0,6.92331e-310,2048,0,40,dynamic
2025-05-28-21:43:43,ptrOct,Point,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.05,29697591,sequential,1,21.4854,21.4854,21.4854,0,0,1.83189e-314,2048,0,40,dynamic
2025-05-28-21:18:02,linOct,Point,MortonEncoder3D,29697591,neighbours,Sphere,0.05,29697591,sequential,1,19.9145,19.9145,19.9145,0,0,4.94066e-323,2048,0,40,dynamic
2025-05-28-21:18:42,linOct,Point,MortonEncoder3D,29697591,neighboursPtr,Sphere,0.05,29697591,sequential,1,17.7482,17.7482,17.7482,0,0,4.94066e-323,2048,0,40,dynamic
2025-05-28-21:19:18,linOct,Point,MortonEncoder3D,29697591,neighboursStruct,Sphere,0.05,29697591,sequential,1,13.7244,13.7244,13.7244,0,0,4.94066e-323,2048,0,40,dynamic
2025-05-28-21:47:57,linOct,Point,HilbertEncoder3D,29697591,neighbours,Sphere,0.05,29697591,sequential,1,20.1078,20.1078,20.1078,0,0,4.94066e-323,2048,0,40,dynamic
2025-05-28-21:48:38,linOct,Point,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.05,29697591,sequential,1,17.873,17.873,17.873,0,0,4.94066e-323,2048,0,40,dynamic
2025-05-28-21:49:14,linOct,Point,HilbertEncoder3D,29697591,neighboursStruct,Sphere,0.05,29697591,sequential,1,13.9939,13.9939,13.9939,0,0,4.94066e-323,2048,0,40,dynamic
2025-05-28-20:54:47,unibnOctree,Point,NoEncoding,29697591,neighboursUnibn,Sphere,0.05,29697591,sequential,1,17.9304,17.9304,17.9304,0,0,-10.3345,2048,0,40,dynamic
2025-05-28-21:25:15,unibnOctree,Point,MortonEncoder3D,29697591,neighboursUnibn,Sphere,0.05,29697591,sequential,1,16.5093,16.5093,16.5093,0,0,-10.3345,2048,0,40,dynamic
2025-05-28-21:55:10,unibnOctree,Point,HilbertEncoder3D,29697591,neighboursUnibn,Sphere,0.05,29697591,sequential,1,16.8074,16.8074,16.8074,0,0,-10.3345,2048,0,40,dynamic
2025-05-28-21:00:07,pclKD,PCLPointXYZ,NoEncoding,29697591,neighboursPclKD,Sphere,0.05,29697591,sequential,1,173.066,173.066,173.066,0,0,-5.48746e+303,2047,0,40,dynamic
