date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-11-05-17:37:21,ptrOct,PointsAoS,NoEncoding,429615314,neighboursPtr,Sphere,0.01,429615314,sequential,1,148.599,148.599,148.599,0,0,6.95259e-310,456,0,40,dynamic
2025-11-05-10:57:51,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Sphere,0.01,429615314,sequential,1,167.164,167.164,167.164,0,0,6.91741e-310,456,0,40,dynamic
2025-11-05-14:16:06,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.01,429615314,sequential,1,136.778,136.778,136.778,0,0,6.91741e-310,456,0,40,dynamic
2025-11-05-12:43:39,linOct,PointsAoS,MortonEncoder3D,429615314,neighbours,Sphere,0.01,429615314,sequential,1,124.208,124.208,124.208,0,0,1.64993e-313,456,0,40,dynamic
2025-12-11-11:45:17,linOct,PointsAoS,MortonEncoder3D,429615314,neighboursPrune,Sphere,0.01,429615314,sequential,1,119.437,119.437,119.437,0,1,109.964,456,0,40,dynamic
2025-12-11-11:48:37,linOct,PointsAoS,MortonEncoder3D,429615314,neighboursStruct,Sphere,0.01,429615314,sequential,1,97.5253,97.5253,97.5253,0,1,102.701,456,0,40,dynamic
2025-11-05-16:01:52,linOct,PointsAoS,HilbertEncoder3D,429615314,neighbours,Sphere,0.01,429615314,sequential,1,141.063,141.063,141.063,0,0,1.65893e-313,456,0,40,dynamic
2025-12-11-12:13:36,linOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPrune,Sphere,0.01,429615314,sequential,1,112.475,112.475,112.475,0,1,112.054,456,0,40,dynamic
2025-12-11-12:16:47,linOct,PointsAoS,HilbertEncoder3D,429615314,neighboursStruct,Sphere,0.01,429615314,sequential,1,95.3126,95.3126,95.3126,0,1,95.2638,456,0,40,dynamic
2025-12-11-12:45:46,uniOct,PointsAoS,NoEncoding,429615314,neighboursUnibn,Sphere,0.01,429615314,sequential,1,207.109,207.109,207.109,0,1,206.62,456,0,40,dynamic
2025-12-11-11:55:09,uniOct,PointsAoS,MortonEncoder3D,429615314,neighboursUnibn,Sphere,0.01,429615314,sequential,1,164.435,164.435,164.435,0,1,168.825,456,0,40,dynamic
2025-12-11-12:23:46,uniOct,PointsAoS,HilbertEncoder3D,429615314,neighboursUnibn,Sphere,0.01,429615314,sequential,1,179.819,179.819,179.819,0,1,180.405,456,0,40,dynamic
2025-12-11-12:52:51,nanoKD,PointsAoS,NoEncoding,429615314,neighboursNanoflann,Sphere,0.01,429615314,sequential,1,142.66,142.66,142.66,0,1,143.305,456,0,40,dynamic
2025-12-11-12:02:35,nanoKD,PointsAoS,MortonEncoder3D,429615314,neighboursNanoflann,Sphere,0.01,429615314,sequential,1,126.076,126.076,126.076,0,1,131.024,456,0,40,dynamic
2025-12-11-12:31:49,nanoKD,PointsAoS,HilbertEncoder3D,429615314,neighboursNanoflann,Sphere,0.01,429615314,sequential,1,126.458,126.458,126.458,0,1,126.437,456,0,40,dynamic
2025-12-11-12:58:10,picoTree,PointsAoS,NoEncoding,429615314,neighboursPico,Sphere,0.01,429615314,sequential,1,123.481,123.481,123.481,0,1,123.469,456,0,40,dynamic
2025-12-11-12:08:07,picoTree,PointsAoS,MortonEncoder3D,429615314,neighboursPico,Sphere,0.01,429615314,sequential,1,116.71,116.71,116.71,0,1,117.507,456,0,40,dynamic
2025-12-11-12:36:44,picoTree,PointsAoS,HilbertEncoder3D,429615314,neighboursPico,Sphere,0.01,429615314,sequential,1,115.235,115.235,115.235,0,1,114.311,456,0,40,dynamic
2025-12-10-14:05:38,ptrOct,PointsAoS,NoEncoding,429615314,neighboursPtr,Sphere,0.025,429615314,sequential,1,517.611,517.611,517.611,0,1,526.801,3711,0,40,dynamic
