date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-11-07-02:02:44,linOct,PointsAoS,HilbertEncoder3D,12219779,linOctKNN,KNN,5,12219779,sequential,1,2.6098,2.6098,2.6098,0,0,2.452e-316,5,0,40,dynamic
2025-11-07-02:02:47,linOct,PointsAoS,HilbertEncoder3D,12219779,linOctKNN,KNN,10,12219779,sequential,1,3.06341,3.06341,3.06341,0,0,2.452e-316,10,0,40,dynamic
2025-11-07-02:02:52,linOct,PointsAoS,HilbertEncoder3D,12219779,linOctKNN,KNN,25,12219779,sequential,1,4.40727,4.40727,4.40727,0,0,2.452e-316,25,0,40,dynamic
2025-11-07-02:02:58,linOct,PointsAoS,HilbertEncoder3D,12219779,linOctKNN,KNN,50,12219779,sequential,1,6.20075,6.20075,6.20075,0,0,2.452e-316,50,0,40,dynamic
2025-11-07-02:03:06,linOct,PointsAoS,HilbertEncoder3D,12219779,linOctKNN,KNN,75,12219779,sequential,1,7.74357,7.74357,7.74357,0,0,2.452e-316,75,0,40,dynamic
2025-11-07-02:03:15,linOct,PointsAoS,HilbertEncoder3D,12219779,linOctKNN,KNN,100,12219779,sequential,1,9.22788,9.22788,9.22788,0,0,2.452e-316,100,0,40,dynamic
2025-11-07-02:03:30,linOct,PointsAoS,HilbertEncoder3D,12219779,linOctKNN,KNN,200,12219779,sequential,1,14.8189,14.8189,14.8189,0,0,2.452e-316,200,0,40,dynamic
2025-11-07-02:03:50,linOct,PointsAoS,HilbertEncoder3D,12219779,linOctKNN,KNN,300,12219779,sequential,1,20.1168,20.1168,20.1168,0,0,2.452e-316,300,0,40,dynamic
2025-11-07-02:04:15,linOct,PointsAoS,HilbertEncoder3D,12219779,linOctKNN,KNN,400,12219779,sequential,1,25.2553,25.2553,25.2553,0,0,2.452e-316,400,0,40,dynamic
2025-11-07-02:04:45,linOct,PointsAoS,HilbertEncoder3D,12219779,linOctKNN,KNN,500,12219779,sequential,1,30.2702,30.2702,30.2702,0,0,2.452e-316,500,0,40,dynamic
2025-11-07-02:04:55,pclOct,PointsAoS,HilbertEncoder3D,12219779,pclOctKNN,KNN,5,12219779,sequential,1,3.30658,3.30658,3.30658,0,0,1.58101e-322,5,0,40,dynamic
2025-11-07-02:05:00,pclOct,PointsAoS,HilbertEncoder3D,12219779,pclOctKNN,KNN,10,12219779,sequential,1,4.46655,4.46655,4.46655,0,0,4.15015e-322,10,0,40,dynamic
2025-11-07-02:05:07,pclOct,PointsAoS,HilbertEncoder3D,12219779,pclOctKNN,KNN,25,12219779,sequential,1,7.57834,7.57834,7.57834,0,0,4.15015e-322,25,0,40,dynamic
2025-11-07-02:05:20,pclOct,PointsAoS,HilbertEncoder3D,12219779,pclOctKNN,KNN,50,12219779,sequential,1,12.6277,12.6277,12.6277,0,0,4.15015e-322,50,0,40,dynamic
2025-11-07-02:05:37,pclOct,PointsAoS,HilbertEncoder3D,12219779,pclOctKNN,KNN,75,12219779,sequential,1,17.1162,17.1162,17.1162,0,0,4.15015e-322,75,0,40,dynamic
2025-11-07-02:05:58,pclOct,PointsAoS,HilbertEncoder3D,12219779,pclOctKNN,KNN,100,12219779,sequential,1,21.3352,21.3352,21.3352,0,0,4.15015e-322,100,0,40,dynamic
