date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-11-05-23:45:09,linOct,PointsAoS,MortonEncoder3D,10000000,linOctKNN,KNN,5,10000000,sequential,1,2.14643,2.14643,2.14643,0,0,2.21512e-316,5,0,40,dynamic
2025-11-05-23:45:11,linOct,PointsAoS,MortonEncoder3D,10000000,linOctKNN,KNN,10,10000000,sequential,1,2.43143,2.43143,2.43143,0,0,2.24743e-307,10,0,40,dynamic
2025-11-05-23:45:15,linOct,PointsAoS,MortonEncoder3D,10000000,linOctKNN,KNN,25,10000000,sequential,1,3.24059,3.24059,3.24059,0,0,2.24743e-307,25,0,40,dynamic
2025-11-05-23:45:19,linOct,PointsAoS,MortonEncoder3D,10000000,linOctKNN,KNN,50,10000000,sequential,1,4.47622,4.47622,4.47622,0,0,2.24743e-307,50,0,40,dynamic
2025-11-05-23:45:25,linOct,PointsAoS,MortonEncoder3D,10000000,linOctKNN,KNN,75,10000000,sequential,1,5.59025,5.59025,5.59025,0,0,2.24743e-307,75,0,40,dynamic
2025-11-05-23:45:31,linOct,PointsAoS,MortonEncoder3D,10000000,linOctKNN,KNN,100,10000000,sequential,1,6.68217,6.68217,6.68217,0,0,2.24743e-307,100,0,40,dynamic
2025-11-05-23:45:42,linOct,PointsAoS,MortonEncoder3D,10000000,linOctKNN,KNN,200,10000000,sequential,1,10.7058,10.7058,10.7058,0,0,2.24743e-307,200,0,40,dynamic
2025-11-05-23:45:57,linOct,PointsAoS,MortonEncoder3D,10000000,linOctKNN,KNN,300,10000000,sequential,1,14.5931,14.5931,14.5931,0,0,2.24743e-307,300,0,40,dynamic
2025-11-05-23:46:15,linOct,PointsAoS,MortonEncoder3D,10000000,linOctKNN,KNN,400,10000000,sequential,1,18.3766,18.3766,18.3766,0,0,2.24743e-307,400,0,40,dynamic
2025-11-05-23:46:37,linOct,PointsAoS,MortonEncoder3D,10000000,linOctKNN,KNN,500,10000000,sequential,1,22.1999,22.1999,22.1999,0,0,2.24743e-307,500,0,40,dynamic
2025-11-05-23:46:43,pclOct,PointsAoS,MortonEncoder3D,10000000,pclOctKNN,KNN,5,10000000,sequential,1,2.62733,2.62733,2.62733,0,0,1.58101e-322,5,0,40,dynamic
2025-11-05-23:46:46,pclOct,PointsAoS,MortonEncoder3D,10000000,pclOctKNN,KNN,10,10000000,sequential,1,2.78562,2.78562,2.78562,0,0,2.24743e-307,10,0,40,dynamic
2025-11-05-23:46:50,pclOct,PointsAoS,MortonEncoder3D,10000000,pclOctKNN,KNN,25,10000000,sequential,1,3.65364,3.65364,3.65364,0,0,2.24743e-307,25,0,40,dynamic
2025-11-05-23:46:55,pclOct,PointsAoS,MortonEncoder3D,10000000,pclOctKNN,KNN,50,10000000,sequential,1,5.09529,5.09529,5.09529,0,0,2.24743e-307,50,0,40,dynamic
2025-11-05-23:47:01,pclOct,PointsAoS,MortonEncoder3D,10000000,pclOctKNN,KNN,75,10000000,sequential,1,6.39871,6.39871,6.39871,0,0,2.24743e-307,75,0,40,dynamic
2025-11-05-23:47:09,pclOct,PointsAoS,MortonEncoder3D,10000000,pclOctKNN,KNN,100,10000000,sequential,1,7.77948,7.77948,7.77948,0,0,2.24743e-307,100,0,40,dynamic
2025-11-05-23:47:22,pclOct,PointsAoS,MortonEncoder3D,10000000,pclOctKNN,KNN,200,10000000,sequential,1,13.4806,13.4806,13.4806,0,0,2.24743e-307,200,0,40,dynamic
2025-11-05-23:47:42,pclOct,PointsAoS,MortonEncoder3D,10000000,pclOctKNN,KNN,300,10000000,sequential,1,19.7669,19.7669,19.7669,0,0,2.24743e-307,300,0,40,dynamic
2025-11-05-23:48:08,pclOct,PointsAoS,MortonEncoder3D,10000000,pclOctKNN,KNN,400,10000000,sequential,1,25.8456,25.8456,25.8456,0,0,2.24743e-307,400,0,40,dynamic
2025-11-05-23:48:41,pclOct,PointsAoS,MortonEncoder3D,10000000,pclOctKNN,KNN,500,10000000,sequential,1,32.9592,32.9592,32.9592,0,0,2.24743e-307,500,0,40,dynamic
2025-11-05-23:48:49,pclKD,PointsAoS,MortonEncoder3D,10000000,pclKdKNN,KNN,5,10000000,sequential,1,3.53595,3.53595,3.53595,0,0,1.80927e-320,5,0,40,dynamic
2025-11-05-23:48:53,pclKD,PointsAoS,MortonEncoder3D,10000000,pclKdKNN,KNN,10,10000000,sequential,1,3.57367,3.57367,3.57367,0,0,2.24743e-307,10,0,40,dynamic
2025-11-05-23:48:57,pclKD,PointsAoS,MortonEncoder3D,10000000,pclKdKNN,KNN,25,10000000,sequential,1,3.70295,3.70295,3.70295,0,0,2.24743e-307,25,0,40,dynamic
