date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-11-06-12:11:55,linOct,PointsAoS,HilbertEncoder3D,429615314,linOctKNN,KNN,5,429615314,sequential,1,84.6009,84.6009,84.6009,0,0,6.92768e-310,5,0,40,dynamic
2025-11-06-12:13:36,linOct,PointsAoS,HilbertEncoder3D,429615314,linOctKNN,KNN,10,429615314,sequential,1,101.339,101.339,101.339,0,0,6.92768e-310,10,0,40,dynamic
2025-11-06-12:15:46,linOct,PointsAoS,HilbertEncoder3D,429615314,linOctKNN,KNN,25,429615314,sequential,1,129.362,129.362,129.362,0,0,6.92768e-310,25,0,40,dynamic
2025-11-06-12:18:38,linOct,PointsAoS,HilbertEncoder3D,429615314,linOctKNN,KNN,50,429615314,sequential,1,172.724,172.724,172.724,0,0,6.92768e-310,50,0,40,dynamic
2025-11-06-12:22:13,linOct,PointsAoS,HilbertEncoder3D,429615314,linOctKNN,KNN,75,429615314,sequential,1,214.537,214.537,214.537,0,0,6.92768e-310,75,0,40,dynamic
2025-11-06-12:26:21,linOct,PointsAoS,HilbertEncoder3D,429615314,linOctKNN,KNN,100,429615314,sequential,1,248.607,248.607,248.607,0,0,6.92768e-310,100,0,40,dynamic
2025-11-06-12:33:13,linOct,PointsAoS,HilbertEncoder3D,429615314,linOctKNN,KNN,200,429615314,sequential,1,411.735,411.735,411.735,0,0,6.92768e-310,200,0,40,dynamic
2025-11-06-12:42:33,linOct,PointsAoS,HilbertEncoder3D,429615314,linOctKNN,KNN,300,429615314,sequential,1,560.205,560.205,560.205,0,0,6.92768e-310,300,0,40,dynamic
2025-11-06-12:54:24,linOct,PointsAoS,HilbertEncoder3D,429615314,linOctKNN,KNN,400,429615314,sequential,1,711.026,711.026,711.026,0,0,6.92768e-310,400,0,40,dynamic
2025-11-06-13:08:50,linOct,PointsAoS,HilbertEncoder3D,429615314,linOctKNN,KNN,500,429615314,sequential,1,865.628,865.628,865.628,0,0,6.92768e-310,500,0,40,dynamic
2025-11-06-13:47:48,pclOct,PointsAoS,HilbertEncoder3D,429615314,pclOctKNN,KNN,5,429615314,sequential,1,2221.98,2221.98,2221.98,0,0,1.25,5,0,40,dynamic
2025-11-06-14:25:43,pclOct,PointsAoS,HilbertEncoder3D,429615314,pclOctKNN,KNN,10,429615314,sequential,1,2275.35,2275.35,2275.35,0,0,1.25,10,0,40,dynamic
2025-11-06-15:05:58,pclOct,PointsAoS,HilbertEncoder3D,429615314,pclOctKNN,KNN,25,429615314,sequential,1,2415.63,2415.63,2415.63,0,0,1.25,25,0,40,dynamic
2025-11-06-15:49:56,pclOct,PointsAoS,HilbertEncoder3D,429615314,pclOctKNN,KNN,50,429615314,sequential,1,2637.9,2637.9,2637.9,0,0,1.25,50,0,40,dynamic
