date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-07-12-13:13:29,pclOct,Point,NoEncoding,12219779,pclOctKNN,KNN,5,10000,random,5,0.0256338,0.00512676,0.00512832,0.000170233,1,0.0116942,5,0,40,dynamic
2025-07-12-13:13:29,pclOct,Point,NoEncoding,12219779,pclOctKNN,KNN,10,10000,random,5,0.0398603,0.00797207,0.00790943,0.000138554,1,0.00754384,10,0,40,dynamic
2025-07-12-13:13:29,pclOct,Point,NoEncoding,12219779,pclOctKNN,KNN,25,10000,random,5,0.0748871,0.0149774,0.0148592,0.000288737,1,0.014494,25,0,40,dynamic
2025-07-12-13:13:29,pclOct,Point,NoEncoding,12219779,pclOctKNN,KNN,50,10000,random,5,0.123769,0.0247538,0.0246589,0.000261242,1,0.0242322,50,0,40,dynamic
2025-07-12-13:13:29,pclOct,Point,NoEncoding,12219779,pclOctKNN,KNN,75,10000,random,5,0.174853,0.0349707,0.0349649,0.000156926,1,0.0346064,75,0,40,dynamic
2025-07-12-13:13:30,pclOct,Point,NoEncoding,12219779,pclOctKNN,KNN,100,10000,random,5,0.223853,0.0447707,0.0448064,9.24625e-05,1,0.044378,100,0,40,dynamic
2025-07-12-13:13:30,pclOct,Point,NoEncoding,12219779,pclOctKNN,KNN,200,10000,random,5,0.416471,0.0832941,0.0825268,0.00110763,1,0.0811172,200,0,40,dynamic
2025-07-12-13:13:31,pclOct,Point,NoEncoding,12219779,pclOctKNN,KNN,300,10000,random,5,0.59244,0.118488,0.118691,0.000255396,1,0.117556,300,0,40,dynamic
2025-07-12-13:13:32,pclOct,Point,NoEncoding,12219779,pclOctKNN,KNN,400,10000,random,5,0.783899,0.15678,0.155255,0.00298981,1,0.157057,400,0,40,dynamic
2025-07-12-13:13:33,pclOct,Point,NoEncoding,12219779,pclOctKNN,KNN,500,10000,random,5,0.945691,0.189138,0.188219,0.00212098,1,0.189051,500,0,40,dynamic
2025-07-12-13:13:34,pclOct,Point,NoEncoding,12219779,pclOctKNN,KNN,600,10000,random,5,1.13312,0.226624,0.225781,0.00232147,1,0.225814,600,0,40,dynamic
2025-07-12-13:13:36,pclOct,Point,NoEncoding,12219779,pclOctKNN,KNN,700,10000,random,5,1.31276,0.262551,0.262468,0.00108676,1,0.298121,700,0,40,dynamic
