date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-07-12-13:11:16,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,5,10000,random,5,0.0450062,0.00900124,0.00914745,0.000528721,1,0.0171932,5,0,40,dynamic
2025-07-12-13:11:16,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,10,10000,random,5,0.0490765,0.0098153,0.00989201,0.000181802,1,0.00936141,10,0,40,dynamic
2025-07-12-13:11:16,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,25,10000,random,5,0.0395265,0.00790529,0.00776514,0.000241836,1,0.00967151,25,0,40,dynamic
2025-07-12-13:11:16,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,50,10000,random,5,0.0551411,0.0110282,0.0110113,9.74881e-05,1,0.0111013,50,0,40,dynamic
2025-07-12-13:11:16,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,75,10000,random,5,0.0697706,0.0139541,0.013924,9.69894e-05,1,0.0140376,75,0,40,dynamic
2025-07-12-13:11:16,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,100,10000,random,5,0.0842111,0.0168422,0.0167809,0.000152069,1,0.016795,100,0,40,dynamic
2025-07-12-13:11:17,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,200,10000,random,5,0.191481,0.0382962,0.0322954,0.0120393,1,0.0280214,200,0,40,dynamic
2025-07-12-13:11:17,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,300,10000,random,5,0.201667,0.0403334,0.0391637,0.0019985,1,0.0439747,300,0,40,dynamic
2025-07-12-13:11:17,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,400,10000,random,5,0.249736,0.0499472,0.0494349,0.00102571,1,0.0531281,400,0,40,dynamic
2025-07-12-13:11:17,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,500,10000,random,5,0.305056,0.0610112,0.0605456,0.000665522,1,0.0610992,500,0,40,dynamic
2025-07-12-13:11:18,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,600,10000,random,5,0.358079,0.0716158,0.071802,0.000401249,1,0.0718868,600,0,40,dynamic
2025-07-12-13:11:18,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,700,10000,random,5,0.425387,0.0850774,0.0840869,0.00217692,1,0.0828441,700,0,40,dynamic
2025-07-12-13:11:19,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,800,10000,random,5,0.476605,0.0953209,0.0955315,0.00138618,1,0.0958853,800,0,40,dynamic
2025-07-12-13:11:20,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,900,10000,random,5,0.531591,0.106318,0.105966,0.00166424,1,0.108775,900,0,40,dynamic
2025-07-12-13:11:20,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,1000,10000,random,5,0.584021,0.116804,0.116646,0.000394965,1,0.117825,1000,0,40,dynamic
2025-07-12-13:11:21,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,1250,10000,random,5,0.751557,0.150311,0.147681,0.00531841,1,0.148938,1250,0,40,dynamic
2025-07-12-13:11:22,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,1500,10000,random,5,0.903185,0.180637,0.180939,0.000861307,1,0.181563,1500,0,40,dynamic
2025-07-12-13:11:24,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,1750,10000,random,5,1.07503,0.215006,0.214444,0.00193418,1,0.218936,1750,0,40,dynamic
2025-07-12-13:11:25,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,2000,10000,random,5,1.26679,0.253359,0.24981,0.00707747,1,0.252887,2000,0,40,dynamic
2025-07-12-13:11:31,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,5,10000,random,5,0.0297169,0.00594338,0.00619654,0.00055774,1,0.00438912,5,0,40,dynamic
2025-07-12-13:11:31,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,10,10000,random,5,0.0321383,0.00642765,0.00642532,2.59077e-05,1,0.00613162,10,0,40,dynamic
2025-07-12-13:11:31,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,25,10000,random,5,0.0316496,0.00632992,0.00712777,0.00104276,1,0.00684517,25,0,40,dynamic
2025-07-12-13:11:31,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,50,10000,random,5,0.0199997,0.00399995,0.0039922,2.45616e-05,1,0.00375956,50,0,40,dynamic
2025-07-12-13:11:31,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,75,10000,random,5,0.0264841,0.00529682,0.00530521,2.52521e-05,1,0.00510783,75,0,40,dynamic
2025-07-12-13:11:31,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,100,10000,random,5,0.0329258,0.00658515,0.00658952,3.47503e-05,1,0.00654827,100,0,40,dynamic
2025-07-12-13:11:31,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,200,10000,random,5,0.0679128,0.0135826,0.0135374,0.000143056,1,0.0136009,200,0,40,dynamic
2025-07-12-13:11:31,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,300,10000,random,5,0.0914927,0.0182985,0.0182252,0.000132296,1,0.0182395,300,0,40,dynamic
2025-07-12-13:11:31,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,400,10000,random,5,0.118596,0.0237192,0.0236688,0.000172477,1,0.0236464,400,0,40,dynamic
2025-07-12-13:11:31,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,500,10000,random,5,0.14651,0.029302,0.0292826,0.000145893,1,0.0295372,500,0,40,dynamic
2025-07-12-13:11:32,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,600,10000,random,5,0.174603,0.0349206,0.0348236,0.00019532,1,0.0350817,600,0,40,dynamic
2025-07-12-13:11:32,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,700,10000,random,5,0.202457,0.0404915,0.0403854,0.000216436,1,0.0405666,700,0,40,dynamic
2025-07-12-13:11:32,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,800,10000,random,5,0.235659,0.0471317,0.046803,0.000880544,1,0.0465435,800,0,40,dynamic
2025-07-12-13:11:32,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,900,10000,random,5,0.272498,0.0544997,0.0551831,0.00105569,1,0.0522317,900,0,40,dynamic
2025-07-12-13:11:33,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,1000,10000,random,5,0.29068,0.0581361,0.0580708,0.000312434,1,0.0588065,1000,0,40,dynamic
2025-07-12-13:11:33,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,1250,10000,random,5,0.362577,0.0725154,0.0725562,0.000225913,1,0.072682,1250,0,40,dynamic
2025-07-12-13:11:34,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,1500,10000,random,5,0.435592,0.0871184,0.0871399,0.000496149,1,0.0870822,1500,0,40,dynamic
2025-07-12-13:11:34,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,1750,10000,random,5,0.510004,0.102001,0.101888,0.000340161,1,0.101902,1750,0,40,dynamic
2025-07-12-13:11:35,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,2000,10000,random,5,0.586429,0.117286,0.117174,0.0004266,1,0.117232,2000,0,40,dynamic
2025-07-12-13:11:38,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,5,10000,random,5,0.0217902,0.00435805,0.00433544,6.44143e-05,1,0.00558731,5,0,40,dynamic
2025-07-12-13:11:38,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,10,10000,random,5,0.0266381,0.00532763,0.00533188,3.29219e-05,1,0.00529256,10,0,40,dynamic
2025-07-12-13:11:38,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,25,10000,random,5,0.0379229,0.00758458,0.00759107,3.76242e-05,1,0.00759177,25,0,40,dynamic
2025-07-12-13:11:38,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,50,10000,random,5,0.0542707,0.0108541,0.0108534,3.89201e-05,1,0.0108811,50,0,40,dynamic
2025-07-12-13:11:38,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,75,10000,random,5,0.0676951,0.013539,0.013548,8.62649e-05,1,0.0135723,75,0,40,dynamic
2025-07-12-13:11:38,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,100,10000,random,5,0.088628,0.0177256,0.0165584,0.0016468,1,0.0164369,100,0,40,dynamic
2025-07-12-13:11:38,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,200,10000,random,5,0.142913,0.0285827,0.0285794,0.000113632,1,0.03063,200,0,40,dynamic
2025-07-12-13:11:39,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,300,10000,random,5,0.212197,0.0424395,0.0424992,0.000196075,1,0.0422978,300,0,40,dynamic
2025-07-12-13:11:39,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,400,10000,random,5,0.296444,0.0592889,0.0588213,0.000912275,1,0.0583981,400,0,40,dynamic
2025-07-12-13:11:39,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,500,10000,random,5,0.391983,0.0783966,0.0771139,0.00225087,1,0.0816093,500,0,40,dynamic
2025-07-12-13:11:40,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,600,10000,random,5,0.490539,0.0981078,0.0983207,0.000576478,1,0.0976939,600,0,40,dynamic
2025-07-12-13:11:41,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,700,10000,random,5,0.604367,0.120873,0.121115,0.000589829,1,0.120361,700,0,40,dynamic
2025-07-12-13:11:42,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,800,10000,random,5,0.736039,0.147208,0.146744,0.00150889,1,0.145788,800,0,40,dynamic
2025-07-12-13:11:43,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,900,10000,random,5,0.878894,0.175779,0.174566,0.00182326,1,0.173641,900,0,40,dynamic
2025-07-12-13:11:44,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,1000,10000,random,5,1.0271,0.205421,0.205129,0.00178914,1,0.208281,1000,0,40,dynamic
2025-07-12-13:11:46,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,1250,10000,random,5,1.47469,0.294937,0.295011,0.000796208,1,0.293798,1250,0,40,dynamic
2025-07-12-13:11:48,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,1500,10000,random,5,1.99645,0.39929,0.39957,0.000391164,1,0.404899,1500,0,40,dynamic
2025-07-12-13:11:51,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,1750,10000,random,5,2.6073,0.521461,0.520279,0.00291037,1,0.517023,1750,0,40,dynamic
2025-07-12-13:11:55,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,2000,10000,random,5,3.28436,0.656871,0.655802,0.00444617,1,0.65194,2000,0,40,dynamic
2025-07-12-13:11:57,linOct,Point,MortonEncoder3D,10000000,linOctKNN,KNN,5,10000,random,5,0.0213121,0.00426242,0.00317415,0.00160018,1,0.00487875,5,0,40,dynamic
2025-07-12-13:11:57,linOct,Point,MortonEncoder3D,10000000,linOctKNN,KNN,10,10000,random,5,0.019334,0.00386679,0.0038575,3.62914e-05,1,0.00380562,10,0,40,dynamic
2025-07-12-13:11:57,linOct,Point,MortonEncoder3D,10000000,linOctKNN,KNN,25,10000,random,5,0.025561,0.00511221,0.0051109,4.01674e-05,1,0.00591358,25,0,40,dynamic
2025-07-12-13:11:57,linOct,Point,MortonEncoder3D,10000000,linOctKNN,KNN,50,10000,random,5,0.034037,0.0068074,0.00681135,3.09986e-05,1,0.00684432,50,0,40,dynamic
2025-07-12-13:11:57,linOct,Point,MortonEncoder3D,10000000,linOctKNN,KNN,75,10000,random,5,0.0409934,0.00819867,0.00818791,2.09293e-05,1,0.00833112,75,0,40,dynamic
2025-07-12-13:11:58,linOct,Point,MortonEncoder3D,10000000,linOctKNN,KNN,100,10000,random,5,0.0472355,0.00944711,0.00945418,1.68732e-05,1,0.00952641,100,0,40,dynamic
2025-07-12-13:11:58,linOct,Point,MortonEncoder3D,10000000,linOctKNN,KNN,200,10000,random,5,0.0711399,0.014228,0.014235,5.09181e-05,1,0.0143391,200,0,40,dynamic
2025-07-12-13:11:58,linOct,Point,MortonEncoder3D,10000000,linOctKNN,KNN,300,10000,random,5,0.0946919,0.0189384,0.0186027,0.000626035,1,0.0190909,300,0,40,dynamic
