date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-07-12-13:16:47,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,5,10000,random,5,0.0315879,0.00631758,0.0063001,5.17694e-05,1,0.00722023,5,0,40,dynamic
2025-07-12-13:16:47,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,10,10000,random,5,0.0373592,0.00747184,0.0074773,2.29424e-05,1,0.00743825,10,0,40,dynamic
2025-07-12-13:16:47,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,25,10000,random,5,0.0500574,0.0100115,0.0100197,3.63444e-05,1,0.00993076,25,0,40,dynamic
2025-07-12-13:16:47,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,50,10000,random,5,0.0683818,0.0136764,0.0136781,4.048e-05,1,0.0136662,50,0,40,dynamic
2025-07-12-13:16:47,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,75,10000,random,5,0.115168,0.0230337,0.0169378,0.0122205,1,0.0170449,75,0,40,dynamic
2025-07-12-13:16:47,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,100,10000,random,5,0.0992109,0.0198422,0.019809,6.9346e-05,1,0.0256931,100,0,40,dynamic
2025-07-12-13:16:48,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,200,10000,random,5,0.159833,0.0319667,0.0319701,6.5967e-05,1,0.032196,200,0,40,dynamic
2025-07-12-13:16:48,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,300,10000,random,5,0.222175,0.0444351,0.0444162,0.000160809,1,0.0520846,300,0,40,dynamic
2025-07-12-13:16:48,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,400,10000,random,5,0.280588,0.0561175,0.0555921,0.00100284,1,0.0561901,400,0,40,dynamic
2025-07-12-13:16:49,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,500,10000,random,5,0.343461,0.0686921,0.067351,0.00235991,1,0.0697366,500,0,40,dynamic
2025-07-12-13:16:49,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,600,10000,random,5,0.393053,0.0786106,0.0785502,0.000153871,1,0.0795249,600,0,40,dynamic
2025-07-12-13:16:50,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,700,10000,random,5,0.464625,0.092925,0.0905716,0.00487295,1,0.091179,700,0,40,dynamic
2025-07-12-13:16:50,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,800,10000,random,5,0.530114,0.106023,0.106906,0.00242425,1,0.10324,800,0,40,dynamic
2025-07-12-13:16:51,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,900,10000,random,5,0.575179,0.115036,0.115046,0.000135793,1,0.115715,900,0,40,dynamic
2025-07-12-13:16:52,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,1000,10000,random,5,0.641598,0.12832,0.128341,0.000565821,1,0.128732,1000,0,40,dynamic
2025-07-12-13:16:53,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,1250,10000,random,5,0.807376,0.161475,0.161572,0.000464862,1,0.162525,1250,0,40,dynamic
2025-07-12-13:16:54,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,1500,10000,random,5,0.984349,0.19687,0.197098,0.000669402,1,0.197374,1500,0,40,dynamic
2025-07-12-13:16:55,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,1750,10000,random,5,1.20582,0.241164,0.244623,0.00768311,1,0.234064,1750,0,40,dynamic
2025-07-12-13:16:57,pclOct,Point,NoEncoding,10000000,pclOctKNN,KNN,2000,10000,random,5,1.36679,0.273357,0.273545,0.000877435,1,0.275761,2000,0,40,dynamic
2025-07-12-13:17:03,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,5,10000,random,5,0.00958516,0.00191703,0.00189742,3.15154e-05,1,0.0022043,5,0,40,dynamic
2025-07-12-13:17:03,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,10,10000,random,5,0.011345,0.00226901,0.00225672,2.12553e-05,1,0.00206204,10,0,40,dynamic
2025-07-12-13:17:03,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,25,10000,random,5,0.0152856,0.00305712,0.00304884,2.42591e-05,1,0.00277437,25,0,40,dynamic
2025-07-12-13:17:03,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,50,10000,random,5,0.0214,0.00428001,0.00428457,8.82332e-06,1,0.0040266,50,0,40,dynamic
2025-07-12-13:17:03,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,75,10000,random,5,0.0280997,0.00561994,0.00561878,2.74913e-05,1,0.00549028,75,0,40,dynamic
2025-07-12-13:17:03,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,100,10000,random,5,0.034965,0.006993,0.00698436,1.85534e-05,1,0.00691155,100,0,40,dynamic
2025-07-12-13:17:03,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,200,10000,random,5,0.0734637,0.0146927,0.0141511,0.000850376,1,0.0141626,200,0,40,dynamic
2025-07-12-13:17:03,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,300,10000,random,5,0.0947863,0.0189573,0.0188655,0.000202174,1,0.0189693,300,0,40,dynamic
2025-07-12-13:17:03,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,400,10000,random,5,0.122789,0.0245579,0.0244968,0.000123902,1,0.0245614,400,0,40,dynamic
2025-07-12-13:17:04,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,500,10000,random,5,0.15084,0.030168,0.0301709,7.73334e-05,1,0.0302691,500,0,40,dynamic
2025-07-12-13:17:04,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,600,10000,random,5,0.179515,0.0359029,0.0358841,7.74036e-05,1,0.0359924,600,0,40,dynamic
2025-07-12-13:17:04,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,700,10000,random,5,0.215389,0.0430777,0.0417398,0.00273676,1,0.0474064,700,0,40,dynamic
2025-07-12-13:17:04,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,800,10000,random,5,0.238822,0.0477643,0.0477702,5.48315e-05,1,0.0478952,800,0,40,dynamic
2025-07-12-13:17:05,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,900,10000,random,5,0.268172,0.0536344,0.0535827,0.000119128,1,0.0537059,900,0,40,dynamic
2025-07-12-13:17:05,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,1000,10000,random,5,0.296537,0.0593073,0.0593051,0.000108271,1,0.0595264,1000,0,40,dynamic
2025-07-12-13:17:05,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,1250,10000,random,5,0.376483,0.0752966,0.0745096,0.00113227,1,0.074377,1250,0,40,dynamic
2025-07-12-13:17:06,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,1500,10000,random,5,0.44552,0.0891039,0.0890498,0.000119866,1,0.0891677,1500,0,40,dynamic
2025-07-12-13:17:07,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,1750,10000,random,5,0.522334,0.104467,0.10449,0.000106508,1,0.104453,1750,0,40,dynamic
2025-07-12-13:17:07,pclKD,Point,NoEncoding,10000000,pclKdKNN,KNN,2000,10000,random,5,0.60094,0.120188,0.120008,0.000542873,1,0.120023,2000,0,40,dynamic
2025-07-12-13:17:11,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,5,10000,random,5,0.0427364,0.00854727,0.00896493,0.000925191,1,0.00797971,5,0,40,dynamic
2025-07-12-13:17:11,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,10,10000,random,5,0.0495058,0.00990116,0.0099282,5.47798e-05,1,0.00982208,10,0,40,dynamic
2025-07-12-13:17:11,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,25,10000,random,5,0.0376858,0.00753717,0.0075033,6.82103e-05,1,0.00960104,25,0,40,dynamic
2025-07-12-13:17:11,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,50,10000,random,5,0.052771,0.0105542,0.0105446,4.3509e-05,1,0.0106507,50,0,40,dynamic
2025-07-12-13:17:11,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,75,10000,random,5,0.0659871,0.0131974,0.013187,2.65801e-05,1,0.0132742,75,0,40,dynamic
2025-07-12-13:17:11,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,100,10000,random,5,0.0806441,0.0161288,0.016134,3.1659e-05,1,0.0161777,100,0,40,dynamic
2025-07-12-13:17:11,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,200,10000,random,5,0.146835,0.029367,0.0293242,0.000105972,1,0.0296325,200,0,40,dynamic
2025-07-12-13:17:11,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,300,10000,random,5,0.222829,0.0445658,0.044501,0.000185471,1,0.0448063,300,0,40,dynamic
2025-07-12-13:17:12,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,400,10000,random,5,0.316334,0.0632668,0.0622946,0.00144396,1,0.0623467,400,0,40,dynamic
2025-07-12-13:17:12,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,500,10000,random,5,0.410577,0.0821153,0.082071,0.000405221,1,0.0823964,500,0,40,dynamic
2025-07-12-13:17:13,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,600,10000,random,5,0.520445,0.104089,0.103916,0.000442407,1,0.104372,600,0,40,dynamic
2025-07-12-13:17:14,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,700,10000,random,5,0.645509,0.129102,0.129035,0.000686151,1,0.128947,700,0,40,dynamic
2025-07-12-13:17:15,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,800,10000,random,5,0.779042,0.155808,0.155768,0.000709066,1,0.155765,800,0,40,dynamic
2025-07-12-13:17:16,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,900,10000,random,5,0.928686,0.185737,0.185532,0.000861452,1,0.186322,900,0,40,dynamic
2025-07-12-13:17:17,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,1000,10000,random,5,1.09004,0.218008,0.217612,0.00126712,1,0.217191,1000,0,40,dynamic
2025-07-12-13:17:19,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,1250,10000,random,5,1.55493,0.310986,0.31074,0.00114835,1,0.310853,1250,0,40,dynamic
2025-07-12-13:17:21,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,1500,10000,random,5,2.10966,0.421932,0.421604,0.00064603,1,0.421455,1500,0,40,dynamic
2025-07-12-13:17:25,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,1750,10000,random,5,2.7412,0.548241,0.547558,0.00193093,1,0.548869,1750,0,40,dynamic
2025-07-12-13:17:29,nanoKD,Point,NoEncoding,10000000,nanoflannKNN,KNN,2000,10000,random,5,3.46242,0.692484,0.692928,0.0015959,1,0.69299,2000,0,40,dynamic
2025-07-12-13:17:31,linOct,Point,MortonEncoder3D,10000000,linOctKNN,KNN,5,10000,random,5,0.0373764,0.00747528,0.0074741,3.54463e-05,1,0.00757383,5,0,40,dynamic
2025-07-12-13:17:31,linOct,Point,MortonEncoder3D,10000000,linOctKNN,KNN,10,10000,random,5,0.0384429,0.00768857,0.00811238,0.000849504,1,0.00772714,10,0,40,dynamic
2025-07-12-13:17:31,linOct,Point,MortonEncoder3D,10000000,linOctKNN,KNN,25,10000,random,5,0.0384519,0.00769038,0.00746869,0.00160861,1,0.00911393,25,0,40,dynamic
2025-07-12-13:17:31,linOct,Point,MortonEncoder3D,10000000,linOctKNN,KNN,50,10000,random,5,0.033427,0.0066854,0.00668886,1.49329e-05,1,0.0065854,50,0,40,dynamic
2025-07-12-13:17:31,linOct,Point,MortonEncoder3D,10000000,linOctKNN,KNN,75,10000,random,5,0.0404528,0.00809057,0.00808945,2.68639e-05,1,0.00805684,75,0,40,dynamic
2025-07-12-13:17:31,linOct,Point,MortonEncoder3D,10000000,linOctKNN,KNN,100,10000,random,5,0.0468361,0.00936721,0.00936855,1.6375e-05,1,0.00934829,100,0,40,dynamic
2025-07-12-13:17:31,linOct,Point,MortonEncoder3D,10000000,linOctKNN,KNN,200,10000,random,5,0.0702273,0.0140455,0.0140604,2.72815e-05,1,0.0140887,200,0,40,dynamic
2025-07-12-13:17:32,linOct,Point,MortonEncoder3D,10000000,linOctKNN,KNN,300,10000,random,5,0.0919134,0.0183827,0.0183803,1.63368e-05,1,0.0184043,300,0,40,dynamic
2025-07-12-13:17:32,linOct,Point,MortonEncoder3D,10000000,linOctKNN,KNN,400,10000,random,5,0.113122,0.0226245,0.0226218,1.42202e-05,1,0.0226459,400,0,40,dynamic
2025-07-12-13:17:32,linOct,Point,MortonEncoder3D,10000000,linOctKNN,KNN,500,10000,random,5,0.144838,0.0289676,0.0290203,0.00194718,1,0.0268367,500,0,40,dynamic
