date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-07-12-14:03:38,pclOct,Point,NoEncoding,721810646,pclOctKNN,KNN,5,10000,random,5,0.150403,0.0300806,0.0317987,0.00474817,1,0.0394904,5,0,40,dynamic
2025-07-12-14:03:38,pclOct,Point,NoEncoding,721810646,pclOctKNN,KNN,10,10000,random,5,0.122038,0.0244076,0.0245139,0.00055107,1,0.0225495,10,0,40,dynamic
2025-07-12-14:03:38,pclOct,Point,NoEncoding,721810646,pclOctKNN,KNN,25,10000,random,5,0.131203,0.0262406,0.0266992,0.00093396,1,0.0265028,25,0,40,dynamic
2025-07-12-14:03:38,pclOct,Point,NoEncoding,721810646,pclOctKNN,KNN,50,10000,random,5,0.139179,0.0278358,0.0279913,0.000320262,1,0.0280938,50,0,40,dynamic
2025-07-12-14:03:39,pclOct,Point,NoEncoding,721810646,pclOctKNN,KNN,75,10000,random,5,0.143791,0.0287582,0.0292646,0.00242698,1,0.0309525,75,0,40,dynamic
2025-07-12-14:03:39,pclOct,Point,NoEncoding,721810646,pclOctKNN,KNN,100,10000,random,5,0.143346,0.0286692,0.0289758,0.000911063,1,0.0283725,100,0,40,dynamic
2025-07-12-14:03:39,pclOct,Point,NoEncoding,721810646,pclOctKNN,KNN,200,10000,random,5,0.199814,0.0399629,0.0408946,0.00219636,1,0.0411006,200,0,40,dynamic
2025-07-12-14:03:39,pclOct,Point,NoEncoding,721810646,pclOctKNN,KNN,300,10000,random,5,0.241992,0.0483985,0.0493438,0.00201579,1,0.0492472,300,0,40,dynamic
2025-07-12-14:03:40,pclOct,Point,NoEncoding,721810646,pclOctKNN,KNN,400,10000,random,5,0.287775,0.057555,0.0584174,0.00188322,1,0.0576953,400,0,40,dynamic
2025-07-12-14:03:40,pclOct,Point,NoEncoding,721810646,pclOctKNN,KNN,500,10000,random,5,0.335453,0.0670906,0.0678342,0.00168236,1,0.0673,500,0,40,dynamic
2025-07-12-14:03:41,pclOct,Point,NoEncoding,721810646,pclOctKNN,KNN,600,10000,random,5,0.386525,0.077305,0.0773483,0.00054484,1,0.0766757,600,0,40,dynamic
2025-07-12-14:03:41,pclOct,Point,NoEncoding,721810646,pclOctKNN,KNN,700,10000,random,5,0.434176,0.0868352,0.0874232,0.00152496,1,0.0893508,700,0,40,dynamic
2025-07-12-14:03:42,pclOct,Point,NoEncoding,721810646,pclOctKNN,KNN,800,10000,random,5,0.487231,0.0974462,0.098014,0.00141198,1,0.0970344,800,0,40,dynamic
2025-07-12-14:03:42,pclOct,Point,NoEncoding,721810646,pclOctKNN,KNN,900,10000,random,5,0.545011,0.109002,0.109227,0.00173024,1,0.108148,900,0,40,dynamic
2025-07-12-14:03:43,pclOct,Point,NoEncoding,721810646,pclOctKNN,KNN,1000,10000,random,5,0.603844,0.120769,0.121171,0.00143964,1,0.11985,1000,0,40,dynamic
2025-07-12-14:03:44,pclOct,Point,NoEncoding,721810646,pclOctKNN,KNN,1250,10000,random,5,0.802138,0.160428,0.161692,0.00624523,1,0.167467,1250,0,40,dynamic
2025-07-12-14:03:45,pclOct,Point,NoEncoding,721810646,pclOctKNN,KNN,1500,10000,random,5,0.924265,0.184853,0.185839,0.00248227,1,0.183712,1500,0,40,dynamic
2025-07-12-14:03:46,pclOct,Point,NoEncoding,721810646,pclOctKNN,KNN,1750,10000,random,5,1.114,0.222801,0.218573,0.00629905,1,0.216051,1750,0,40,dynamic
2025-07-12-14:03:48,pclOct,Point,NoEncoding,721810646,pclOctKNN,KNN,2000,10000,random,5,1.3041,0.260819,0.261993,0.00606919,1,0.253677,2000,0,40,dynamic
2025-07-12-14:10:31,pclKD,Point,NoEncoding,721810646,pclKdKNN,KNN,5,10000,random,5,0.0176817,0.00353635,0.00297049,0.00118057,1,0.0116349,5,0,40,dynamic
2025-07-12-14:10:31,pclKD,Point,NoEncoding,721810646,pclKdKNN,KNN,10,10000,random,5,0.0167827,0.00335654,0.00331783,9.5026e-05,1,0.00291965,10,0,40,dynamic
2025-07-12-14:10:31,pclKD,Point,NoEncoding,721810646,pclKdKNN,KNN,25,10000,random,5,0.0205722,0.00411443,0.0040565,9.05334e-05,1,0.00363696,25,0,40,dynamic
2025-07-12-14:10:31,pclKD,Point,NoEncoding,721810646,pclKdKNN,KNN,50,10000,random,5,0.0273339,0.00546679,0.00543463,7.60246e-05,1,0.00511521,50,0,40,dynamic
2025-07-12-14:10:31,pclKD,Point,NoEncoding,721810646,pclKdKNN,KNN,75,10000,random,5,0.035776,0.00715521,0.00714286,5.81246e-05,1,0.0068533,75,0,40,dynamic
2025-07-12-14:10:31,pclKD,Point,NoEncoding,721810646,pclKdKNN,KNN,100,10000,random,5,0.0447532,0.00895065,0.00894823,3.50802e-05,1,0.00872421,100,0,40,dynamic
2025-07-12-14:10:31,pclKD,Point,NoEncoding,721810646,pclKdKNN,KNN,200,10000,random,5,0.0923803,0.0184761,0.0184131,9.39723e-05,1,0.0183497,200,0,40,dynamic
2025-07-12-14:10:32,pclKD,Point,NoEncoding,721810646,pclKdKNN,KNN,300,10000,random,5,0.121072,0.0242144,0.0237548,0.000972136,1,0.0236964,300,0,40,dynamic
2025-07-12-14:10:32,pclKD,Point,NoEncoding,721810646,pclKdKNN,KNN,400,10000,random,5,0.152963,0.0305926,0.0305622,9.83563e-05,1,0.0331896,400,0,40,dynamic
2025-07-12-14:10:32,pclKD,Point,NoEncoding,721810646,pclKdKNN,KNN,500,10000,random,5,0.187926,0.0375851,0.0375542,0.000113822,1,0.0374907,500,0,40,dynamic
2025-07-12-14:10:32,pclKD,Point,NoEncoding,721810646,pclKdKNN,KNN,600,10000,random,5,0.223152,0.0446304,0.0445651,0.000119911,1,0.0444549,600,0,40,dynamic
2025-07-12-14:10:33,pclKD,Point,NoEncoding,721810646,pclKdKNN,KNN,700,10000,random,5,0.258277,0.0516554,0.0516341,0.000101823,1,0.051426,700,0,40,dynamic
2025-07-12-14:10:33,pclKD,Point,NoEncoding,721810646,pclKdKNN,KNN,800,10000,random,5,0.294175,0.0588349,0.0587581,0.000175056,1,0.0587492,800,0,40,dynamic
2025-07-12-14:10:33,pclKD,Point,NoEncoding,721810646,pclKdKNN,KNN,900,10000,random,5,0.334003,0.0668005,0.0661305,0.00116347,1,0.0656697,900,0,40,dynamic
2025-07-12-14:10:34,pclKD,Point,NoEncoding,721810646,pclKdKNN,KNN,1000,10000,random,5,0.363918,0.0727837,0.0726886,0.000173322,1,0.072626,1000,0,40,dynamic
2025-07-12-14:10:34,pclKD,Point,NoEncoding,721810646,pclKdKNN,KNN,1250,10000,random,5,0.451631,0.0903262,0.0902582,0.000212597,1,0.0903039,1250,0,40,dynamic
2025-07-12-14:10:35,pclKD,Point,NoEncoding,721810646,pclKdKNN,KNN,1500,10000,random,5,0.541048,0.10821,0.108256,0.000423398,1,0.107991,1500,0,40,dynamic
2025-07-12-14:10:36,pclKD,Point,NoEncoding,721810646,pclKdKNN,KNN,1750,10000,random,5,0.628968,0.125794,0.125739,0.000332102,1,0.125836,1750,0,40,dynamic
2025-07-12-14:10:37,pclKD,Point,NoEncoding,721810646,pclKdKNN,KNN,2000,10000,random,5,0.720611,0.144122,0.144274,0.00051575,1,0.144025,2000,0,40,dynamic
2025-07-12-14:15:30,nanoKD,Point,NoEncoding,721810646,nanoflannKNN,KNN,5,10000,random,5,0.0562113,0.0112423,0.0114592,0.0014556,1,0.0133512,5,0,40,dynamic
2025-07-12-14:15:30,nanoKD,Point,NoEncoding,721810646,nanoflannKNN,KNN,10,10000,random,5,0.0480365,0.0096073,0.0096419,8.43127e-05,1,0.009507,10,0,40,dynamic
