date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-07-12-13:19:06,pclOct,Point,NoEncoding,29697591,pclOctKNN,KNN,5,10000,random,5,0.17224,0.0344479,0.0340604,0.000954387,1,0.0545614,5,0,40,dynamic
2025-07-12-13:19:07,pclOct,Point,NoEncoding,29697591,pclOctKNN,KNN,10,10000,random,5,0.176616,0.0353233,0.0346209,0.00131066,1,0.0349955,10,0,40,dynamic
2025-07-12-13:19:07,pclOct,Point,NoEncoding,29697591,pclOctKNN,KNN,25,10000,random,5,0.183391,0.0366782,0.0366612,0.000299679,1,0.0368686,25,0,40,dynamic
2025-07-12-13:19:07,pclOct,Point,NoEncoding,29697591,pclOctKNN,KNN,50,10000,random,5,0.197169,0.0394337,0.039536,0.000194393,1,0.0394061,50,0,40,dynamic
2025-07-12-13:19:07,pclOct,Point,NoEncoding,29697591,pclOctKNN,KNN,75,10000,random,5,0.208222,0.0416444,0.0416346,0.000295644,1,0.0421381,75,0,40,dynamic
2025-07-12-13:19:08,pclOct,Point,NoEncoding,29697591,pclOctKNN,KNN,100,10000,random,5,0.220334,0.0440667,0.0442926,0.000547161,1,0.0439635,100,0,40,dynamic
2025-07-12-13:19:08,pclOct,Point,NoEncoding,29697591,pclOctKNN,KNN,200,10000,random,5,0.264851,0.0529703,0.0531424,0.000350199,1,0.0535669,200,0,40,dynamic
2025-07-12-13:19:08,pclOct,Point,NoEncoding,29697591,pclOctKNN,KNN,300,10000,random,5,0.311354,0.0622707,0.0625234,0.000581071,1,0.063101,300,0,40,dynamic
2025-07-12-13:19:09,pclOct,Point,NoEncoding,29697591,pclOctKNN,KNN,400,10000,random,5,0.353611,0.0707222,0.0709209,0.000537346,1,0.0713395,400,0,40,dynamic
2025-07-12-13:19:09,pclOct,Point,NoEncoding,29697591,pclOctKNN,KNN,500,10000,random,5,0.414864,0.0829728,0.0809914,0.00495816,1,0.0814293,500,0,40,dynamic
2025-07-12-13:19:10,pclOct,Point,NoEncoding,29697591,pclOctKNN,KNN,600,10000,random,5,0.449184,0.0898368,0.0884691,0.00217287,1,0.0933529,600,0,40,dynamic
2025-07-12-13:19:10,pclOct,Point,NoEncoding,29697591,pclOctKNN,KNN,700,10000,random,5,0.491861,0.0983722,0.0985926,0.000744693,1,0.0986767,700,0,40,dynamic
2025-07-12-13:19:11,pclOct,Point,NoEncoding,29697591,pclOctKNN,KNN,800,10000,random,5,0.544141,0.108828,0.10884,0.000853045,1,0.108836,800,0,40,dynamic
2025-07-12-13:19:12,pclOct,Point,NoEncoding,29697591,pclOctKNN,KNN,900,10000,random,5,0.597981,0.119596,0.119389,0.00168587,1,0.11936,900,0,40,dynamic
2025-07-12-13:19:12,pclOct,Point,NoEncoding,29697591,pclOctKNN,KNN,1000,10000,random,5,0.662169,0.132434,0.132933,0.00106786,1,0.132722,1000,0,40,dynamic
2025-07-12-13:19:13,pclOct,Point,NoEncoding,29697591,pclOctKNN,KNN,1250,10000,random,5,0.810567,0.162113,0.162752,0.00147723,1,0.165446,1250,0,40,dynamic
2025-07-12-13:19:15,pclOct,Point,NoEncoding,29697591,pclOctKNN,KNN,1500,10000,random,5,0.975545,0.195109,0.195506,0.00175431,1,0.194771,1500,0,40,dynamic
2025-07-12-13:19:16,pclOct,Point,NoEncoding,29697591,pclOctKNN,KNN,1750,10000,random,5,1.14505,0.229011,0.229789,0.00215752,1,0.228329,1750,0,40,dynamic
2025-07-12-13:19:18,pclOct,Point,NoEncoding,29697591,pclOctKNN,KNN,2000,10000,random,5,1.33171,0.266342,0.267666,0.00256542,1,0.265694,2000,0,40,dynamic
2025-07-12-13:19:32,pclKD,Point,NoEncoding,29697591,pclKdKNN,KNN,5,10000,random,5,0.00972725,0.00194545,0.00193361,3.63401e-05,1,0.00233083,5,0,40,dynamic
2025-07-12-13:19:32,pclKD,Point,NoEncoding,29697591,pclKdKNN,KNN,10,10000,random,5,0.0113144,0.00226289,0.00225653,2.00264e-05,1,0.00204593,10,0,40,dynamic
2025-07-12-13:19:32,pclKD,Point,NoEncoding,29697591,pclKdKNN,KNN,25,10000,random,5,0.0151642,0.00303285,0.00301255,4.49995e-05,1,0.00274893,25,0,40,dynamic
2025-07-12-13:19:33,pclKD,Point,NoEncoding,29697591,pclKdKNN,KNN,50,10000,random,5,0.0212733,0.00425465,0.00423753,4.44389e-05,1,0.00397514,50,0,40,dynamic
2025-07-12-13:19:33,pclKD,Point,NoEncoding,29697591,pclKdKNN,KNN,75,10000,random,5,0.0281059,0.00562117,0.0056115,2.40226e-05,1,0.00543472,75,0,40,dynamic
