date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-07-12-13:26:01,pclOct,Point,NoEncoding,429615314,pclOctKNN,KNN,5,10000,random,5,1.24671,0.249342,0.249699,0.00334724,1,0.434938,5,0,40,dynamic
2025-07-12-13:26:03,pclOct,Point,NoEncoding,429615314,pclOctKNN,KNN,10,10000,random,5,1.27091,0.254183,0.253575,0.00216111,1,0.252415,10,0,40,dynamic
2025-07-12-13:26:04,pclOct,Point,NoEncoding,429615314,pclOctKNN,KNN,25,10000,random,5,1.29238,0.258476,0.258519,0.00259459,1,0.25548,25,0,40,dynamic
2025-07-12-13:26:06,pclOct,Point,NoEncoding,429615314,pclOctKNN,KNN,50,10000,random,5,1.31937,0.263874,0.26275,0.0032194,1,0.261732,50,0,40,dynamic
2025-07-12-13:26:07,pclOct,Point,NoEncoding,429615314,pclOctKNN,KNN,75,10000,random,5,1.34378,0.268756,0.268623,0.00266227,1,0.266112,75,0,40,dynamic
2025-07-12-13:26:09,pclOct,Point,NoEncoding,429615314,pclOctKNN,KNN,100,10000,random,5,1.36469,0.272937,0.271968,0.00335254,1,0.270333,100,0,40,dynamic
2025-07-12-13:26:11,pclOct,Point,NoEncoding,429615314,pclOctKNN,KNN,200,10000,random,5,1.42919,0.285838,0.284365,0.00254417,1,0.28483,200,0,40,dynamic
2025-07-12-13:26:12,pclOct,Point,NoEncoding,429615314,pclOctKNN,KNN,300,10000,random,5,1.49497,0.298994,0.299289,0.00220337,1,0.298359,300,0,40,dynamic
2025-07-12-13:26:14,pclOct,Point,NoEncoding,429615314,pclOctKNN,KNN,400,10000,random,5,1.55878,0.311756,0.311946,0.00320503,1,0.309996,400,0,40,dynamic
2025-07-12-13:26:16,pclOct,Point,NoEncoding,429615314,pclOctKNN,KNN,500,10000,random,5,1.63246,0.326493,0.324931,0.00315097,1,0.323689,500,0,40,dynamic
2025-07-12-13:26:18,pclOct,Point,NoEncoding,429615314,pclOctKNN,KNN,600,10000,random,5,1.7054,0.34108,0.340669,0.00325276,1,0.338861,600,0,40,dynamic
2025-07-12-13:26:20,pclOct,Point,NoEncoding,429615314,pclOctKNN,KNN,700,10000,random,5,1.78172,0.356344,0.355466,0.00371811,1,0.35247,700,0,40,dynamic
2025-07-12-13:26:23,pclOct,Point,NoEncoding,429615314,pclOctKNN,KNN,800,10000,random,5,1.86394,0.372788,0.371418,0.00495304,1,0.374762,800,0,40,dynamic
2025-07-12-13:26:25,pclOct,Point,NoEncoding,429615314,pclOctKNN,KNN,900,10000,random,5,1.95194,0.390389,0.389975,0.00384652,1,0.387726,900,0,40,dynamic
2025-07-12-13:26:27,pclOct,Point,NoEncoding,429615314,pclOctKNN,KNN,1000,10000,random,5,2.06594,0.413188,0.412911,0.00387218,1,0.411582,1000,0,40,dynamic
2025-07-12-13:26:30,pclOct,Point,NoEncoding,429615314,pclOctKNN,KNN,1250,10000,random,5,2.32504,0.465008,0.465114,0.0038902,1,0.464772,1250,0,40,dynamic
2025-07-12-13:26:33,pclOct,Point,NoEncoding,429615314,pclOctKNN,KNN,1500,10000,random,5,2.62953,0.525906,0.523572,0.00546544,1,0.524892,1500,0,40,dynamic
2025-07-12-13:26:37,pclOct,Point,NoEncoding,429615314,pclOctKNN,KNN,1750,10000,random,5,3.1477,0.629541,0.619052,0.0191286,1,0.590303,1750,0,40,dynamic
2025-07-12-13:26:41,pclOct,Point,NoEncoding,429615314,pclOctKNN,KNN,2000,10000,random,5,3.3364,0.66728,0.664778,0.00935929,1,0.666753,2000,0,40,dynamic
2025-07-12-13:30:37,pclKD,Point,NoEncoding,429615314,pclKdKNN,KNN,5,10000,random,5,0.0704675,0.0140935,0.0165068,0.00407597,1,0.0230795,5,0,40,dynamic
2025-07-12-13:30:37,pclKD,Point,NoEncoding,429615314,pclKdKNN,KNN,10,10000,random,5,0.0361753,0.00723506,0.00730468,0.00133785,1,0.00703975,10,0,40,dynamic
2025-07-12-13:30:37,pclKD,Point,NoEncoding,429615314,pclKdKNN,KNN,25,10000,random,5,0.0415789,0.00831577,0.00842102,0.000320166,1,0.0078759,25,0,40,dynamic
2025-07-12-13:30:37,pclKD,Point,NoEncoding,429615314,pclKdKNN,KNN,50,10000,random,5,0.0469871,0.00939743,0.00955633,0.000348438,1,0.00911681,50,0,40,dynamic
2025-07-12-13:30:37,pclKD,Point,NoEncoding,429615314,pclKdKNN,KNN,75,10000,random,5,0.0525901,0.010518,0.0106696,0.000271625,1,0.0102073,75,0,40,dynamic
2025-07-12-13:30:37,pclKD,Point,NoEncoding,429615314,pclKdKNN,KNN,100,10000,random,5,0.0591564,0.0118313,0.0119306,0.000252908,1,0.0116131,100,0,40,dynamic
2025-07-12-13:30:37,pclKD,Point,NoEncoding,429615314,pclKdKNN,KNN,200,10000,random,5,0.0973264,0.0194653,0.019796,0.000846457,1,0.0195869,200,0,40,dynamic
2025-07-12-13:30:37,pclKD,Point,NoEncoding,429615314,pclKdKNN,KNN,300,10000,random,5,0.137425,0.027485,0.0279897,0.000960557,1,0.0264687,300,0,40,dynamic
2025-07-12-13:30:38,pclKD,Point,NoEncoding,429615314,pclKdKNN,KNN,400,10000,random,5,0.170638,0.0341276,0.0345614,0.000990634,1,0.0345371,400,0,40,dynamic
2025-07-12-13:30:38,pclKD,Point,NoEncoding,429615314,pclKdKNN,KNN,500,10000,random,5,0.198708,0.0397417,0.0392065,0.00105489,1,0.0409338,500,0,40,dynamic
2025-07-12-13:30:38,pclKD,Point,NoEncoding,429615314,pclKdKNN,KNN,600,10000,random,5,0.241142,0.0482284,0.0508263,0.00407573,1,0.050643,600,0,40,dynamic
2025-07-12-13:30:39,pclKD,Point,NoEncoding,429615314,pclKdKNN,KNN,700,10000,random,5,0.244759,0.0489518,0.0492384,0.0013536,1,0.0491836,700,0,40,dynamic
2025-07-12-13:30:39,pclKD,Point,NoEncoding,429615314,pclKdKNN,KNN,800,10000,random,5,0.277428,0.0554856,0.0558022,0.00109695,1,0.05559,800,0,40,dynamic
2025-07-12-13:30:39,pclKD,Point,NoEncoding,429615314,pclKdKNN,KNN,900,10000,random,5,0.30928,0.0618559,0.0622313,0.000918438,1,0.0623297,900,0,40,dynamic
2025-07-12-13:30:40,pclKD,Point,NoEncoding,429615314,pclKdKNN,KNN,1000,10000,random,5,0.340531,0.0681062,0.0684603,0.000802359,1,0.0685306,1000,0,40,dynamic
2025-07-12-13:30:40,pclKD,Point,NoEncoding,429615314,pclKdKNN,KNN,1250,10000,random,5,0.431592,0.0863185,0.086931,0.00161535,1,0.0899235,1250,0,40,dynamic
2025-07-12-13:30:41,pclKD,Point,NoEncoding,429615314,pclKdKNN,KNN,1500,10000,random,5,0.510962,0.102192,0.102925,0.00134865,1,0.102675,1500,0,40,dynamic
2025-07-12-13:30:42,pclKD,Point,NoEncoding,429615314,pclKdKNN,KNN,1750,10000,random,5,0.612357,0.122471,0.123186,0.0022834,1,0.121029,1750,0,40,dynamic
2025-07-12-13:30:42,pclKD,Point,NoEncoding,429615314,pclKdKNN,KNN,2000,10000,random,5,0.677001,0.1354,0.135978,0.0011222,1,0.136804,2000,0,40,dynamic
2025-07-12-13:34:15,nanoKD,Point,NoEncoding,429615314,nanoflannKNN,KNN,5,10000,random,5,0.0587349,0.011747,0.0127287,0.00323353,1,0.0161114,5,0,40,dynamic
2025-07-12-13:34:15,nanoKD,Point,NoEncoding,429615314,nanoflannKNN,KNN,10,10000,random,5,0.030399,0.00607981,0.00608398,6.63142e-05,1,0.00617309,10,0,40,dynamic
2025-07-12-13:34:15,nanoKD,Point,NoEncoding,429615314,nanoflannKNN,KNN,25,10000,random,5,0.0379258,0.00758515,0.00767747,0.000195965,1,0.0076687,25,0,40,dynamic
2025-07-12-13:34:15,nanoKD,Point,NoEncoding,429615314,nanoflannKNN,KNN,50,10000,random,5,0.0483041,0.00966083,0.00976235,0.000270245,1,0.0098661,50,0,40,dynamic
2025-07-12-13:34:15,nanoKD,Point,NoEncoding,429615314,nanoflannKNN,KNN,75,10000,random,5,0.057775,0.011555,0.0116318,0.000308059,1,0.011737,75,0,40,dynamic
2025-07-12-13:34:15,nanoKD,Point,NoEncoding,429615314,nanoflannKNN,KNN,100,10000,random,5,0.0680219,0.0136044,0.0136075,0.000334032,1,0.0138263,100,0,40,dynamic
2025-07-12-13:34:15,nanoKD,Point,NoEncoding,429615314,nanoflannKNN,KNN,200,10000,random,5,0.124897,0.0249795,0.0255531,0.0011855,1,0.0262184,200,0,40,dynamic
2025-07-12-13:34:16,nanoKD,Point,NoEncoding,429615314,nanoflannKNN,KNN,300,10000,random,5,0.192764,0.0385529,0.0390667,0.00112474,1,0.0394928,300,0,40,dynamic
2025-07-12-13:34:16,nanoKD,Point,NoEncoding,429615314,nanoflannKNN,KNN,400,10000,random,5,0.275931,0.0551861,0.0556395,0.00114682,1,0.0561279,400,0,40,dynamic
2025-07-12-13:34:17,nanoKD,Point,NoEncoding,429615314,nanoflannKNN,KNN,500,10000,random,5,0.378428,0.0756856,0.075456,0.00139448,1,0.0760911,500,0,40,dynamic
2025-07-12-13:34:17,nanoKD,Point,NoEncoding,429615314,nanoflannKNN,KNN,600,10000,random,5,0.493785,0.0987569,0.098523,0.00124675,1,0.0981045,600,0,40,dynamic
2025-07-12-13:34:18,nanoKD,Point,NoEncoding,429615314,nanoflannKNN,KNN,700,10000,random,5,0.624031,0.124806,0.125174,0.00152289,1,0.124581,700,0,40,dynamic
2025-07-12-13:34:19,nanoKD,Point,NoEncoding,429615314,nanoflannKNN,KNN,800,10000,random,5,0.769673,0.153935,0.153844,0.00187611,1,0.157317,800,0,40,dynamic
2025-07-12-13:34:20,nanoKD,Point,NoEncoding,429615314,nanoflannKNN,KNN,900,10000,random,5,0.940763,0.188153,0.188366,0.00134901,1,0.18721,900,0,40,dynamic
2025-07-12-13:34:21,nanoKD,Point,NoEncoding,429615314,nanoflannKNN,KNN,1000,10000,random,5,1.12521,0.225042,0.224174,0.00197693,1,0.222152,1000,0,40,dynamic
