date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-11-05-10:57:51,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Sphere,0.01,429615314,sequential,1,167.164,167.164,167.164,0,0,6.91741e-310,456,0,40,dynamic
2025-11-05-11:03:48,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Sphere,0.02,429615314,sequential,1,357.102,357.102,357.102,0,0,2.24743e-307,2217,0,40,dynamic
2025-11-05-11:14:58,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Sphere,0.03,429615314,sequential,1,669.87,669.87,669.87,0,0,2.24743e-307,5124,0,40,dynamic
2025-11-05-11:44:05,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Sphere,0.05,429615314,sequential,1,1747.36,1747.36,1747.36,0,0,2.24743e-307,14526,0,40,dynamic
2025-11-05-11:46:29,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Cube,0.01,429615314,sequential,1,143.972,143.972,143.972,0,0,2.24743e-307,502,0,40,dynamic
2025-11-05-11:52:34,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Cube,0.02,429615314,sequential,1,364.987,364.987,364.987,0,0,2.24743e-307,2656,0,40,dynamic
2025-11-05-12:04:29,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Cube,0.03,429615314,sequential,1,715.098,715.098,715.098,0,0,2.24743e-307,6372,0,40,dynamic
2025-11-05-12:41:10,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Cube,0.05,429615314,sequential,1,2200.99,2200.99,2200.99,0,0,2.24743e-307,21426,0,40,dynamic
2025-11-05-12:43:39,linOct,PointsAoS,MortonEncoder3D,429615314,neighbours,Sphere,0.01,429615314,sequential,1,124.208,124.208,124.208,0,0,1.64993e-313,456,0,40,dynamic
2025-11-05-12:48:40,linOct,PointsAoS,MortonEncoder3D,429615314,neighbours,Sphere,0.02,429615314,sequential,1,301.185,301.185,301.185,0,0,2.24743e-307,2217,0,40,dynamic
2025-11-05-12:58:10,linOct,PointsAoS,MortonEncoder3D,429615314,neighbours,Sphere,0.03,429615314,sequential,1,569.74,569.74,569.74,0,0,2.24743e-307,5124,0,40,dynamic
