date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-11-19-09:52:52,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.1,12219779,sequential,1,10.2946,10.2946,10.2946,0,0,6.91926e-310,1,0,1,dynamic
2025-11-19-09:53:08,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.25,12219779,sequential,1,16.0645,16.0645,16.0645,0,0,6.89913e-310,5,0,1,dynamic
2025-11-19-09:53:35,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.5,12219779,sequential,1,26.6596,26.6596,26.6596,0,0,6.89913e-310,20,0,1,dynamic
2025-11-19-09:54:26,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,1,12219779,sequential,1,51.0517,51.0517,51.0517,0,0,6.89913e-310,87,0,1,dynamic
2025-11-19-09:56:26,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,2,12219779,sequential,1,119.809,119.809,119.809,0,0,6.89913e-310,375,0,1,dynamic
2025-11-19-09:56:31,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.1,12219779,sequential,1,5.97683,5.97683,5.97683,0,0,6.89913e-310,1,0,2,dynamic
2025-11-19-09:56:40,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.25,12219779,sequential,1,8.99558,8.99558,8.99558,0,0,6.89913e-310,5,0,2,dynamic
2025-11-19-09:56:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.5,12219779,sequential,1,14.5309,14.5309,14.5309,0,0,6.89913e-310,20,0,2,dynamic
2025-11-19-09:57:22,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,1,12219779,sequential,1,27.0008,27.0008,27.0008,0,0,6.89913e-310,87,0,2,dynamic
2025-11-19-09:58:25,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,2,12219779,sequential,1,62.5348,62.5348,62.5348,0,0,6.89913e-310,375,0,2,dynamic
2025-11-19-09:58:28,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.1,12219779,sequential,1,3.44625,3.44625,3.44625,0,0,6.89913e-310,1,0,4,dynamic
2025-11-19-09:58:33,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.25,12219779,sequential,1,4.85905,4.85905,4.85905,0,0,6.89913e-310,5,0,4,dynamic
2025-11-19-09:58:40,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.5,12219779,sequential,1,7.61131,7.61131,7.61131,0,0,6.89913e-310,20,0,4,dynamic
2025-11-19-09:58:54,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,1,12219779,sequential,1,13.909,13.909,13.909,0,0,6.89913e-310,87,0,4,dynamic
2025-11-19-09:59:26,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,2,12219779,sequential,1,32.0277,32.0277,32.0277,0,0,6.89913e-310,375,0,4,dynamic
2025-11-19-09:59:30,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.1,12219779,sequential,1,3.39444,3.39444,3.39444,0,0,6.89913e-310,1,0,8,dynamic
2025-11-19-09:59:33,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.25,12219779,sequential,1,3.14607,3.14607,3.14607,0,0,6.89913e-310,5,0,8,dynamic
2025-11-19-09:59:37,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.5,12219779,sequential,1,4.00498,4.00498,4.00498,0,0,6.89913e-310,20,0,8,dynamic
2025-11-19-09:59:44,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,1,12219779,sequential,1,7.12767,7.12767,7.12767,0,0,6.89913e-310,87,0,8,dynamic
2025-11-19-10:00:00,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,2,12219779,sequential,1,16.356,16.356,16.356,0,0,6.89913e-310,375,0,8,dynamic
2025-11-19-10:00:03,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.1,12219779,sequential,1,2.81586,2.81586,2.81586,0,0,6.89913e-310,1,0,16,dynamic
2025-11-19-10:00:06,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.25,12219779,sequential,1,2.83844,2.83844,2.83844,0,0,6.89913e-310,5,0,16,dynamic
2025-11-19-10:00:09,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.5,12219779,sequential,1,2.73449,2.73449,2.73449,0,0,6.89913e-310,20,0,16,dynamic
2025-11-19-10:00:13,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,1,12219779,sequential,1,3.71698,3.71698,3.71698,0,0,6.89913e-310,87,0,16,dynamic
2025-11-19-10:00:21,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,2,12219779,sequential,1,8.40328,8.40328,8.40328,0,0,6.89913e-310,375,0,16,dynamic
2025-11-19-10:00:23,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.1,12219779,sequential,1,2.50049,2.50049,2.50049,0,0,6.89913e-310,1,0,24,dynamic
2025-11-19-10:00:26,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.25,12219779,sequential,1,2.54263,2.54263,2.54263,0,0,6.89913e-310,5,0,24,dynamic
2025-11-19-10:00:29,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.5,12219779,sequential,1,2.61785,2.61785,2.61785,0,0,6.89913e-310,20,0,24,dynamic
2025-11-19-10:00:31,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,1,12219779,sequential,1,2.75974,2.75974,2.75974,0,0,6.89913e-310,87,0,24,dynamic
2025-11-19-10:00:37,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,2,12219779,sequential,1,5.72975,5.72975,5.72975,0,0,6.89913e-310,375,0,24,dynamic
2025-11-19-10:00:39,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.1,12219779,sequential,1,2.30597,2.30597,2.30597,0,0,6.89913e-310,1,0,32,dynamic
2025-11-19-10:00:42,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.25,12219779,sequential,1,2.34737,2.34737,2.34737,0,0,6.89913e-310,5,0,32,dynamic
2025-11-19-10:00:44,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.5,12219779,sequential,1,2.46379,2.46379,2.46379,0,0,6.89913e-310,20,0,32,dynamic
2025-11-19-10:00:47,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,1,12219779,sequential,1,2.58151,2.58151,2.58151,0,0,6.89913e-310,87,0,32,dynamic
2025-11-19-10:00:51,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,2,12219779,sequential,1,4.40202,4.40202,4.40202,0,0,6.89913e-310,375,0,32,dynamic
2025-11-19-10:00:53,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.1,12219779,sequential,1,1.39578,1.39578,1.39578,0,0,6.89913e-310,1,0,40,dynamic
2025-11-19-10:00:54,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.25,12219779,sequential,1,1.47619,1.47619,1.47619,0,0,6.89913e-310,5,0,40,dynamic
2025-11-19-10:00:56,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.5,12219779,sequential,1,1.62294,1.62294,1.62294,0,0,6.89913e-310,20,0,40,dynamic
2025-11-19-10:00:58,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,1,12219779,sequential,1,1.94243,1.94243,1.94243,0,0,6.89913e-310,87,0,40,dynamic
2025-11-19-10:01:01,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,2,12219779,sequential,1,3.57886,3.57886,3.57886,0,0,6.89913e-310,375,0,40,dynamic
2025-11-19-10:01:13,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.1,12219779,sequential,1,11.2117,11.2117,11.2117,0,0,1.8326e-315,1,0,1,dynamic
2025-11-19-10:01:30,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.25,12219779,sequential,1,16.8258,16.8258,16.8258,0,0,1.83233e-315,5,0,1,dynamic
2025-11-19-10:01:57,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.5,12219779,sequential,1,27.1474,27.1474,27.1474,0,0,1.83233e-315,20,0,1,dynamic
2025-11-19-10:02:47,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,1,12219779,sequential,1,50.2419,50.2419,50.2419,0,0,1.83233e-315,87,0,1,dynamic
2025-11-19-10:04:43,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,2,12219779,sequential,1,115.689,115.689,115.689,0,0,1.83233e-315,375,0,1,dynamic
2025-11-19-10:04:50,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.1,12219779,sequential,1,6.81189,6.81189,6.81189,0,0,1.83233e-315,1,0,2,dynamic
2025-11-19-10:04:59,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.25,12219779,sequential,1,9.75411,9.75411,9.75411,0,0,1.83233e-315,5,0,2,dynamic
2025-11-19-10:05:14,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.5,12219779,sequential,1,15.1271,15.1271,15.1271,0,0,1.83233e-315,20,0,2,dynamic
2025-11-19-10:05:41,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,1,12219779,sequential,1,27.0474,27.0474,27.0474,0,0,1.83233e-315,87,0,2,dynamic
2025-11-19-10:06:43,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,2,12219779,sequential,1,61.9206,61.9206,61.9206,0,0,1.83233e-315,375,0,2,dynamic
2025-11-19-10:06:47,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.1,12219779,sequential,1,3.78684,3.78684,3.78684,0,0,1.83233e-315,1,0,4,dynamic
2025-11-19-10:06:52,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.25,12219779,sequential,1,5.23418,5.23418,5.23418,0,0,1.83233e-315,5,0,4,dynamic
2025-11-19-10:07:00,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.5,12219779,sequential,1,7.95308,7.95308,7.95308,0,0,1.83233e-315,20,0,4,dynamic
2025-11-19-10:07:14,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,1,12219779,sequential,1,14.051,14.051,14.051,0,0,1.83233e-315,87,0,4,dynamic
2025-11-19-10:07:47,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,2,12219779,sequential,1,32.1212,32.1212,32.1212,0,0,1.83233e-315,375,0,4,dynamic
2025-11-19-10:07:49,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.1,12219779,sequential,1,2.62892,2.62892,2.62892,0,0,1.83233e-315,1,0,8,dynamic
2025-11-19-10:07:52,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.25,12219779,sequential,1,2.8987,2.8987,2.8987,0,0,1.83233e-315,5,0,8,dynamic
2025-11-19-10:07:56,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.5,12219779,sequential,1,4.15731,4.15731,4.15731,0,0,1.83233e-315,20,0,8,dynamic
2025-11-19-10:08:03,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,1,12219779,sequential,1,7.24268,7.24268,7.24268,0,0,1.83233e-315,87,0,8,dynamic
2025-11-19-10:08:20,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,2,12219779,sequential,1,16.3857,16.3857,16.3857,0,0,1.83233e-315,375,0,8,dynamic
2025-11-19-10:08:23,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.1,12219779,sequential,1,2.90134,2.90134,2.90134,0,0,1.83233e-315,1,0,16,dynamic
2025-11-19-10:08:26,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.25,12219779,sequential,1,2.94548,2.94548,2.94548,0,0,1.83233e-315,5,0,16,dynamic
2025-11-19-10:08:28,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.5,12219779,sequential,1,2.8207,2.8207,2.8207,0,0,1.83233e-315,20,0,16,dynamic
2025-11-19-10:08:32,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,1,12219779,sequential,1,3.83853,3.83853,3.83853,0,0,1.83233e-315,87,0,16,dynamic
2025-11-19-10:08:41,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,2,12219779,sequential,1,8.48338,8.48338,8.48338,0,0,1.83233e-315,375,0,16,dynamic
2025-11-19-10:08:43,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.1,12219779,sequential,1,2.31804,2.31804,2.31804,0,0,1.83233e-315,1,0,24,dynamic
2025-11-19-10:08:45,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.25,12219779,sequential,1,2.33836,2.33836,2.33836,0,0,1.83233e-315,5,0,24,dynamic
2025-11-19-10:08:48,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.5,12219779,sequential,1,2.32154,2.32154,2.32154,0,0,1.83233e-315,20,0,24,dynamic
2025-11-19-10:08:51,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,1,12219779,sequential,1,2.77987,2.77987,2.77987,0,0,1.83233e-315,87,0,24,dynamic
2025-11-19-10:08:56,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,2,12219779,sequential,1,5.77612,5.77612,5.77612,0,0,1.83233e-315,375,0,24,dynamic
2025-11-19-10:08:59,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.1,12219779,sequential,1,2.18281,2.18281,2.18281,0,0,1.83233e-315,1,0,32,dynamic
2025-11-19-10:09:01,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.25,12219779,sequential,1,2.21286,2.21286,2.21286,0,0,1.83233e-315,5,0,32,dynamic
2025-11-19-10:09:03,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.5,12219779,sequential,1,2.31592,2.31592,2.31592,0,0,1.83233e-315,20,0,32,dynamic
2025-11-19-10:09:05,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,1,12219779,sequential,1,2.38293,2.38293,2.38293,0,0,1.83233e-315,87,0,32,dynamic
2025-11-19-10:09:10,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,2,12219779,sequential,1,4.42144,4.42144,4.42144,0,0,1.83233e-315,375,0,32,dynamic
2025-11-19-10:09:11,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.1,12219779,sequential,1,1.40366,1.40366,1.40366,0,0,1.83233e-315,1,0,40,dynamic
2025-11-19-10:09:13,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.25,12219779,sequential,1,1.48045,1.48045,1.48045,0,0,1.83233e-315,5,0,40,dynamic
2025-11-19-10:09:14,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.5,12219779,sequential,1,1.61573,1.61573,1.61573,0,0,1.83233e-315,20,0,40,dynamic
2025-11-19-10:09:16,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,1,12219779,sequential,1,1.92315,1.92315,1.92315,0,0,1.83233e-315,87,0,40,dynamic
2025-11-19-10:09:20,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,2,12219779,sequential,1,3.57873,3.57873,3.57873,0,0,1.83233e-315,375,0,40,dynamic
2025-11-19-10:09:32,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.1,12219779,sequential,1,12.461,12.461,12.461,0,0,1.83233e-315,1,0,1,dynamic
2025-11-19-10:09:51,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.25,12219779,sequential,1,18.4077,18.4077,18.4077,0,0,5.51007e-310,5,0,1,dynamic
2025-11-19-10:10:20,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.5,12219779,sequential,1,28.9486,28.9486,28.9486,0,0,5.51007e-310,20,0,1,dynamic
2025-11-19-10:11:11,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,1,12219779,sequential,1,51.7078,51.7078,51.7078,0,0,5.51007e-310,87,0,1,dynamic
2025-11-19-10:13:05,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,2,12219779,sequential,1,113.746,113.746,113.746,0,0,5.51007e-310,375,0,1,dynamic
2025-11-19-10:13:12,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.1,12219779,sequential,1,7.21333,7.21333,7.21333,0,0,5.51007e-310,1,0,2,dynamic
2025-11-19-10:13:23,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.25,12219779,sequential,1,10.3248,10.3248,10.3248,0,0,5.51007e-310,5,0,2,dynamic
2025-11-19-10:13:39,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.5,12219779,sequential,1,15.8381,15.8381,15.8381,0,0,5.51007e-310,20,0,2,dynamic
2025-11-19-10:14:06,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,1,12219779,sequential,1,27.7116,27.7116,27.7116,0,0,5.51007e-310,87,0,2,dynamic
2025-11-19-10:15:06,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,2,12219779,sequential,1,59.6828,59.6828,59.6828,0,0,5.51007e-310,375,0,2,dynamic
2025-11-19-10:15:10,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.1,12219779,sequential,1,3.85284,3.85284,3.85284,0,0,5.51007e-310,1,0,4,dynamic
2025-11-19-10:15:15,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.25,12219779,sequential,1,5.45774,5.45774,5.45774,0,0,5.51007e-310,5,0,4,dynamic
2025-11-19-10:15:24,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.5,12219779,sequential,1,8.30703,8.30703,8.30703,0,0,5.51007e-310,20,0,4,dynamic
2025-11-19-10:15:38,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,1,12219779,sequential,1,14.5033,14.5033,14.5033,0,0,5.51007e-310,87,0,4,dynamic
2025-11-19-10:16:09,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,2,12219779,sequential,1,31.1537,31.1537,31.1537,0,0,5.51007e-310,375,0,4,dynamic
2025-11-19-10:16:12,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.1,12219779,sequential,1,2.60015,2.60015,2.60015,0,0,5.51007e-310,1,0,8,dynamic
2025-11-19-10:16:15,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.25,12219779,sequential,1,3.0109,3.0109,3.0109,0,0,5.51007e-310,5,0,8,dynamic
2025-11-19-10:16:19,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.5,12219779,sequential,1,4.3588,4.3588,4.3588,0,0,5.51007e-310,20,0,8,dynamic
2025-11-19-10:16:27,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,1,12219779,sequential,1,7.53011,7.53011,7.53011,0,0,5.51007e-310,87,0,8,dynamic
2025-11-19-10:16:43,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,2,12219779,sequential,1,16.1503,16.1503,16.1503,0,0,5.51007e-310,375,0,8,dynamic
2025-11-19-10:16:46,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.1,12219779,sequential,1,2.85716,2.85716,2.85716,0,0,5.51007e-310,1,0,16,dynamic
2025-11-19-10:16:49,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.25,12219779,sequential,1,2.86625,2.86625,2.86625,0,0,5.51007e-310,5,0,16,dynamic
2025-11-19-10:16:51,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.5,12219779,sequential,1,2.80002,2.80002,2.80002,0,0,5.51007e-310,20,0,16,dynamic
2025-11-19-10:16:55,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,1,12219779,sequential,1,3.99662,3.99662,3.99662,0,0,5.51007e-310,87,0,16,dynamic
2025-11-19-10:17:04,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,2,12219779,sequential,1,8.38651,8.38651,8.38651,0,0,5.51007e-310,375,0,16,dynamic
2025-11-19-10:17:06,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.1,12219779,sequential,1,2.52904,2.52904,2.52904,0,0,5.51007e-310,1,0,24,dynamic
2025-11-19-10:17:09,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.25,12219779,sequential,1,2.58783,2.58783,2.58783,0,0,5.51007e-310,5,0,24,dynamic
2025-11-19-10:17:12,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.5,12219779,sequential,1,2.70045,2.70045,2.70045,0,0,5.51007e-310,20,0,24,dynamic
2025-11-19-10:17:14,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,1,12219779,sequential,1,2.93175,2.93175,2.93175,0,0,5.51007e-310,87,0,24,dynamic
2025-11-19-10:17:20,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,2,12219779,sequential,1,5.73587,5.73587,5.73587,0,0,5.51007e-310,375,0,24,dynamic
2025-11-19-10:17:22,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.1,12219779,sequential,1,2.17945,2.17945,2.17945,0,0,5.51007e-310,1,0,32,dynamic
2025-11-19-10:17:25,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.25,12219779,sequential,1,2.21835,2.21835,2.21835,0,0,5.51007e-310,5,0,32,dynamic
2025-11-19-10:17:27,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.5,12219779,sequential,1,2.3475,2.3475,2.3475,0,0,5.51007e-310,20,0,32,dynamic
2025-11-19-10:17:30,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,1,12219779,sequential,1,2.55235,2.55235,2.55235,0,0,5.51007e-310,87,0,32,dynamic
2025-11-19-10:17:34,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,2,12219779,sequential,1,4.38019,4.38019,4.38019,0,0,5.51007e-310,375,0,32,dynamic
2025-11-19-10:17:35,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.1,12219779,sequential,1,1.40765,1.40765,1.40765,0,0,5.51007e-310,1,0,40,dynamic
2025-11-19-10:17:37,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.25,12219779,sequential,1,1.48311,1.48311,1.48311,0,0,5.51007e-310,5,0,40,dynamic
2025-11-19-10:17:38,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,0.5,12219779,sequential,1,1.61871,1.61871,1.61871,0,0,5.51007e-310,20,0,40,dynamic
2025-11-19-10:17:40,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,1,12219779,sequential,1,1.93216,1.93216,1.93216,0,0,5.51007e-310,87,0,40,dynamic
2025-11-19-10:17:44,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPrune,Sphere,2,12219779,sequential,1,3.55501,3.55501,3.55501,0,0,5.51007e-310,375,0,40,dynamic
2025-11-19-10:17:56,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursStruct,Sphere,0.1,12219779,sequential,1,11.7493,11.7493,11.7493,0,0,5.51007e-310,1,0,1,dynamic
2025-11-19-10:18:13,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursStruct,Sphere,0.25,12219779,sequential,1,17.261,17.261,17.261,0,0,1.81464e-306,5,0,1,dynamic
2025-11-19-10:18:40,linOct,PointsAoS,HilbertEncoder3D,12219779,neighboursStruct,Sphere,0.5,12219779,sequential,1,27.3758,27.3758,27.3758,0,0,1.81464e-306,20,0,1,dynamic
