date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-11-18-12:18:57,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.1,10000000,sequential,1,35.4805,35.4805,35.4805,0,0,6.92459e-310,82,0,1,dynamic
2025-11-18-12:20:33,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.25,10000000,sequential,1,95.9632,95.9632,95.9632,0,0,6.89913e-310,513,0,1,dynamic
2025-11-18-12:25:15,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.5,10000000,sequential,1,281.603,281.603,281.603,0,0,6.89913e-310,2050,0,1,dynamic
2025-11-18-12:42:01,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,1,10000000,sequential,1,1005.93,1005.93,1005.93,0,0,6.89913e-310,8241,0,1,dynamic
2025-11-18-13:52:46,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,2,10000000,sequential,1,4245.22,4245.22,4245.22,0,0,6.89913e-310,32611,0,1,dynamic
2025-11-18-13:53:04,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.1,10000000,sequential,1,18.5267,18.5267,18.5267,0,0,6.89913e-310,82,0,2,dynamic
2025-11-18-13:53:54,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.25,10000000,sequential,1,49.8265,49.8265,49.8265,0,0,6.89913e-310,513,0,2,dynamic
2025-11-18-13:56:16,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.5,10000000,sequential,1,142.133,142.133,142.133,0,0,6.89913e-310,2050,0,2,dynamic
2025-11-18-14:03:52,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,1,10000000,sequential,1,455.447,455.447,455.447,0,0,6.89913e-310,8241,0,2,dynamic
2025-11-18-14:30:22,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,2,10000000,sequential,1,1590.38,1590.38,1590.38,0,0,6.89913e-310,32611,0,2,dynamic
2025-11-18-14:30:32,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.1,10000000,sequential,1,9.44085,9.44085,9.44085,0,0,6.89913e-310,82,0,4,dynamic
2025-11-18-14:30:57,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.25,10000000,sequential,1,25.31,25.31,25.31,0,0,6.89913e-310,513,0,4,dynamic
2025-11-18-14:32:09,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.5,10000000,sequential,1,71.7117,71.7117,71.7117,0,0,6.89913e-310,2050,0,4,dynamic
2025-11-18-14:35:58,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,1,10000000,sequential,1,228.957,228.957,228.957,0,0,6.89913e-310,8241,0,4,dynamic
2025-11-18-14:49:02,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,2,10000000,sequential,1,783.914,783.914,783.914,0,0,6.89913e-310,32611,0,4,dynamic
2025-11-18-14:49:06,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.1,10000000,sequential,1,4.93034,4.93034,4.93034,0,0,6.89913e-310,82,0,8,dynamic
2025-11-18-14:49:19,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.25,10000000,sequential,1,12.9373,12.9373,12.9373,0,0,6.89913e-310,513,0,8,dynamic
2025-11-18-14:49:56,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.5,10000000,sequential,1,36.2264,36.2264,36.2264,0,0,6.89913e-310,2050,0,8,dynamic
2025-11-18-14:51:50,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,1,10000000,sequential,1,114.691,114.691,114.691,0,0,6.89913e-310,8241,0,8,dynamic
2025-11-18-14:58:20,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,2,10000000,sequential,1,389.377,389.377,389.377,0,0,6.89913e-310,32611,0,8,dynamic
2025-11-18-14:58:22,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.1,10000000,sequential,1,2.70001,2.70001,2.70001,0,0,6.89913e-310,82,0,16,dynamic
2025-11-18-14:58:29,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.25,10000000,sequential,1,6.64647,6.64647,6.64647,0,0,6.89913e-310,513,0,16,dynamic
2025-11-18-14:58:47,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.5,10000000,sequential,1,18.3096,18.3096,18.3096,0,0,6.89913e-310,2050,0,16,dynamic
