date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-11-11-22:43:15,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.1,10000000,sequential,1,36.7813,36.7813,36.7813,0,0,6.9088e-310,82,0,1,dynamic
2025-11-11-22:44:53,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.25,10000000,sequential,1,98.1089,98.1089,98.1089,0,0,6.89913e-310,513,0,1,dynamic
2025-11-11-22:49:40,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.5,10000000,sequential,1,286.44,286.44,286.44,0,0,6.89913e-310,2050,0,1,dynamic
2025-11-11-23:06:30,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,1,10000000,sequential,1,1010.39,1010.39,1010.39,0,0,6.89913e-310,8241,0,1,dynamic
2025-11-12-00:16:53,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,2,10000000,sequential,1,4222.58,4222.58,4222.58,0,0,6.89913e-310,32611,0,1,dynamic
2025-11-12-00:17:11,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.1,10000000,sequential,1,18.6389,18.6389,18.6389,0,0,6.89913e-310,82,0,2,dynamic
2025-11-12-00:18:02,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.25,10000000,sequential,1,50.5946,50.5946,50.5946,0,0,6.89913e-310,513,0,2,dynamic
2025-11-12-00:20:25,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.5,10000000,sequential,1,143.539,143.539,143.539,0,0,6.89913e-310,2050,0,2,dynamic
2025-11-12-00:28:03,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,1,10000000,sequential,1,457.401,457.401,457.401,0,0,6.89913e-310,8241,0,2,dynamic
2025-11-12-00:54:42,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,2,10000000,sequential,1,1599.45,1599.45,1599.45,0,0,6.89913e-310,32611,0,2,dynamic
2025-11-12-00:54:52,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.1,10000000,sequential,1,9.68502,9.68502,9.68502,0,0,6.89913e-310,82,0,4,dynamic
2025-11-12-00:55:18,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.25,10000000,sequential,1,26.0748,26.0748,26.0748,0,0,6.89913e-310,513,0,4,dynamic
2025-11-12-00:56:31,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.5,10000000,sequential,1,73.182,73.182,73.182,0,0,6.89913e-310,2050,0,4,dynamic
2025-11-12-01:00:23,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,1,10000000,sequential,1,231.992,231.992,231.992,0,0,6.89913e-310,8241,0,4,dynamic
2025-11-12-01:13:34,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,2,10000000,sequential,1,791.155,791.155,791.155,0,0,6.89913e-310,32611,0,4,dynamic
2025-11-12-01:13:39,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.1,10000000,sequential,1,5.00249,5.00249,5.00249,0,0,6.89913e-310,82,0,8,dynamic
2025-11-12-01:13:53,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.25,10000000,sequential,1,13.2279,13.2279,13.2279,0,0,6.89913e-310,513,0,8,dynamic
