date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-11-18-11:30:52,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.1,5000,random,3,0.0727005,0.0242335,0.0240067,0.000491457,1,0.023419,1,0,1,dynamic
2025-11-18-11:30:53,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.25,5000,random,3,0.0943166,0.0314389,0.0311511,0.000480503,1,0.0313328,5,0,1,dynamic
2025-11-18-11:30:53,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.5,5000,random,3,0.13948,0.0464934,0.0460845,0.000765292,1,0.0462102,20,0,1,dynamic
2025-11-18-11:30:53,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,1,5000,random,3,0.24576,0.08192,0.0816113,0.000517555,1,0.0809549,87,0,1,dynamic
2025-11-18-11:30:54,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,2,5000,random,3,0.55075,0.183583,0.183158,0.000649175,1,0.182081,374,0,1,dynamic
2025-11-18-11:30:54,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.1,5000,random,3,0.0355969,0.0118656,0.011837,4.96424e-05,1,0.0126691,1,0,2,dynamic
2025-11-18-11:30:54,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.25,5000,random,3,0.0486702,0.0162234,0.0162578,7.18164e-05,1,0.0162069,5,0,2,dynamic
2025-11-18-11:30:54,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.5,5000,random,3,0.0728037,0.0242679,0.02441,0.000389146,1,0.0240089,20,0,2,dynamic
2025-11-18-11:30:54,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,1,5000,random,3,0.126117,0.0420389,0.0420744,6.25196e-05,1,0.0422246,87,0,2,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,2,5000,random,3,0.28036,0.0934535,0.0932766,0.000264008,1,0.0934645,374,0,2,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.1,5000,random,3,0.0182367,0.00607892,0.00607899,2.5725e-05,1,0.00646247,1,0,4,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.25,5000,random,3,0.0245904,0.00819681,0.00819172,8.32395e-06,1,0.00798329,5,0,4,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.5,5000,random,3,0.035945,0.0119817,0.0119641,2.58309e-05,1,0.0118553,20,0,4,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,1,5000,random,3,0.0627091,0.020903,0.0208103,0.000173415,1,0.0209356,87,0,4,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,2,5000,random,3,0.138403,0.0461345,0.0462236,0.00021243,1,0.0463358,374,0,4,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.1,5000,random,3,0.00918615,0.00306205,0.00308814,5.52523e-05,1,0.00341671,1,0,8,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.25,5000,random,3,0.0123228,0.0041076,0.00413616,4.61295e-05,1,0.00396183,5,0,8,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.5,5000,random,3,0.0181413,0.0060471,0.00607608,4.45009e-05,1,0.00588169,20,0,8,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,1,5000,random,3,0.0318024,0.0106008,0.0106508,0.000125082,1,0.0104441,87,0,8,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,2,5000,random,3,0.0699673,0.0233224,0.023377,0.000112764,1,0.0233883,374,0,8,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.1,5000,random,3,0.00493858,0.00164619,0.00166698,3.64945e-05,1,0.00213302,1,0,16,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.25,5000,random,3,0.0067388,0.00224627,0.00225245,2.42507e-05,1,0.0020362,5,0,16,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.5,5000,random,3,0.0102375,0.0034125,0.00342299,2.91602e-05,1,0.00322763,20,0,16,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,1,5000,random,3,0.0180875,0.00602916,0.00604034,4.1562e-05,1,0.00597126,87,0,16,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,2,5000,random,3,0.0403985,0.0134662,0.0135088,0.000100844,1,0.0134619,374,0,16,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.1,5000,random,3,0.0038536,0.00128454,0.00130441,3.10918e-05,1,0.00178586,1,0,24,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.25,5000,random,3,0.00525694,0.00175231,0.00177254,4.04441e-05,1,0.00158859,5,0,24,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.5,5000,random,3,0.00801045,0.00267015,0.002704,5.92445e-05,1,0.00251369,20,0,24,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,1,5000,random,3,0.0146553,0.00488511,0.00490872,7.68434e-05,1,0.00478518,87,0,24,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,2,5000,random,3,0.0326173,0.0108724,0.0109179,0.000123102,1,0.010925,374,0,24,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.1,5000,random,3,0.00354137,0.00118046,0.00119252,2.89656e-05,1,0.0016773,1,0,32,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.25,5000,random,3,0.0047286,0.0015762,0.00160613,4.37957e-05,1,0.00144303,5,0,32,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.5,5000,random,3,0.00735044,0.00245015,0.00250143,8.67902e-05,1,0.00344532,20,0,32,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,1,5000,random,3,0.0134912,0.00449706,0.00455196,9.73205e-05,1,0.00432744,87,0,32,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,2,5000,random,3,0.0308828,0.0102943,0.0103977,0.000169085,1,0.010138,374,0,32,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.1,5000,random,3,0.0227148,0.00757159,0.00758407,4.00922e-05,1,0.00734468,1,0,40,dynamic
2025-11-18-11:30:55,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.25,5000,random,3,0.0108749,0.00362497,0.00152275,0.00303992,1,0.00748373,5,0,40,dynamic
2025-11-18-11:30:56,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.5,5000,random,3,0.0149597,0.00498658,0.0042986,0.00264396,1,0.00642649,20,0,40,dynamic
2025-11-18-11:30:56,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,1,5000,random,3,0.012521,0.00417366,0.00425028,0.000116773,1,0.0044943,87,0,40,dynamic
2025-11-18-11:30:56,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,2,5000,random,3,0.0298288,0.00994292,0.00980213,0.000271582,1,0.00948281,374,0,40,dynamic
2025-11-18-11:30:56,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.1,5000,random,3,0.0592542,0.0197514,0.0198848,0.000332891,1,0.0194805,1,0,1,dynamic
2025-11-18-11:30:56,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.25,5000,random,3,0.0824303,0.0274768,0.0276214,0.000230384,1,0.0258403,5,0,1,dynamic
2025-11-18-11:30:56,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.5,5000,random,3,0.119516,0.0398386,0.0399087,0.000245315,1,0.0390591,20,0,1,dynamic
2025-11-18-11:30:57,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,1,5000,random,3,0.195064,0.0650215,0.0651792,0.000589716,1,0.0644788,87,0,1,dynamic
2025-11-18-11:30:57,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,2,5000,random,3,0.392834,0.130945,0.130947,0.000505211,1,0.130363,374,0,1,dynamic
2025-11-18-11:30:57,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.1,5000,random,3,0.0323565,0.0107855,0.0108529,0.000269149,1,0.0115931,1,0,2,dynamic
2025-11-18-11:30:57,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.25,5000,random,3,0.0435077,0.0145026,0.0145439,0.000215821,1,0.0123453,5,0,2,dynamic
2025-11-18-11:30:57,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.5,5000,random,3,0.0615646,0.0205215,0.0206456,0.000218925,1,0.0190338,20,0,2,dynamic
2025-11-18-11:30:57,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,1,5000,random,3,0.0989347,0.0329782,0.0330859,0.000289511,1,0.0324118,87,0,2,dynamic
2025-11-18-11:30:58,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,2,5000,random,3,0.197723,0.0659078,0.0659466,0.000473446,1,0.065745,374,0,2,dynamic
2025-11-18-11:30:58,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.1,5000,random,3,0.0158632,0.00528774,0.0053641,0.000147491,1,0.00547705,1,0,4,dynamic
2025-11-18-11:30:58,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.25,5000,random,3,0.0212217,0.00707389,0.00715538,0.00014243,1,0.00625367,5,0,4,dynamic
2025-11-18-11:30:58,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.5,5000,random,3,0.0302212,0.0100737,0.010162,0.000133134,1,0.00964174,20,0,4,dynamic
2025-11-18-11:30:58,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,1,5000,random,3,0.0490238,0.0163413,0.0164689,0.000189561,1,0.016101,87,0,4,dynamic
2025-11-18-11:30:58,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,2,5000,random,3,0.0977092,0.0325697,0.0326434,0.000216092,1,0.0326645,374,0,4,dynamic
2025-11-18-11:30:58,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.1,5000,random,3,0.00788577,0.00262859,0.0027051,0.000114269,1,0.00288068,1,0,8,dynamic
2025-11-18-11:30:58,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.25,5000,random,3,0.0103183,0.00343942,0.00350948,0.000102333,1,0.00305115,5,0,8,dynamic
2025-11-18-11:30:58,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.5,5000,random,3,0.01485,0.00495001,0.00502659,0.000126971,1,0.00463204,20,0,8,dynamic
2025-11-18-11:30:58,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,1,5000,random,3,0.024225,0.00807502,0.00813921,0.000123484,1,0.00783951,87,0,8,dynamic
2025-11-18-11:30:58,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,2,5000,random,3,0.0490405,0.0163468,0.0163863,0.000142096,1,0.0161836,374,0,8,dynamic
2025-11-18-11:30:58,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.1,5000,random,3,0.00395292,0.00131764,0.00137242,8.75523e-05,1,0.00179302,1,0,16,dynamic
2025-11-18-11:30:58,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.25,5000,random,3,0.00523838,0.00174613,0.00179064,6.3284e-05,1,0.00150764,5,0,16,dynamic
2025-11-18-11:30:58,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.5,5000,random,3,0.007576,0.00252533,0.00255422,6.4684e-05,1,0.00228864,20,0,16,dynamic
2025-11-18-11:30:58,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,1,5000,random,3,0.0124347,0.0041449,0.00418009,6.48186e-05,1,0.00395967,87,0,16,dynamic
2025-11-18-11:30:58,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,2,5000,random,3,0.0257812,0.00859372,0.00865622,9.28542e-05,1,0.00846914,374,0,16,dynamic
2025-11-18-11:30:58,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.1,5000,random,3,0.00287061,0.000956871,0.000982911,4.91992e-05,1,0.00143062,1,0,24,dynamic
2025-11-18-11:30:58,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.25,5000,random,3,0.00363269,0.0012109,0.00124437,5.0185e-05,1,0.00106088,5,0,24,dynamic
2025-11-18-11:30:58,linOct,PointsAoS,HilbertEncoder3D,12219779,neighbours,Sphere,0.5,5000,random,3,0.00529757,0.00176586,0.00179288,4.48805e-05,1,0.00156852,20,0,24,dynamic
