date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-11-19-09:26:24,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.1,5000,random,3,0.194995,0.0649982,0.0646463,0.00178263,1,0.0604749,84,0,1,dynamic
2025-11-19-09:26:24,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.25,5000,random,3,0.511326,0.170442,0.170055,0.00249555,1,0.170618,526,0,1,dynamic
2025-11-19-09:26:26,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.5,5000,random,3,1.3606,0.453533,0.452379,0.00490953,1,0.45951,2104,0,1,dynamic
2025-11-19-09:26:32,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,1,5000,random,3,4.47125,1.49042,1.489,0.018565,1,1.51595,8456,0,1,dynamic
2025-11-19-09:26:53,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,2,5000,random,3,15.2017,5.06722,5.08724,0.0785459,1,5.16533,33418,0,1,dynamic
2025-11-19-09:26:53,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.1,5000,random,3,0.100599,0.0335329,0.0336003,0.000157012,1,0.034991,84,0,2,dynamic
2025-11-19-09:26:53,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.25,5000,random,3,0.257483,0.0858278,0.0857572,0.00106718,1,0.0872226,526,0,2,dynamic
2025-11-19-09:26:54,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.5,5000,random,3,0.683191,0.22773,0.2271,0.00249579,1,0.231082,2104,0,2,dynamic
2025-11-19-09:26:57,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,1,5000,random,3,2.14695,0.715649,0.714473,0.00695022,1,0.727623,8456,0,2,dynamic
2025-11-19-09:27:07,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,2,5000,random,3,7.40594,2.46865,2.47328,0.0275329,1,2.51766,33418,0,2,dynamic
