date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-11-18-11:31:13,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.1,5000,random,3,0.276705,0.0922349,0.091956,0.00124204,1,0.0865335,187,0,1,dynamic
2025-11-18-11:31:14,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.25,5000,random,3,0.885972,0.295324,0.295382,0.00170451,1,0.292473,1222,0,1,dynamic
2025-11-18-11:31:18,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.5,5000,random,3,2.76075,0.920251,0.915639,0.0103724,1,0.926914,4963,0,1,dynamic
2025-11-18-11:31:31,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,1,5000,random,3,9.85109,3.2837,3.26764,0.0532617,1,3.28195,20053,0,1,dynamic
2025-11-18-11:32:20,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,2,5000,random,3,36.7982,12.2661,12.2301,0.206236,1,12.2283,80195,0,1,dynamic
2025-11-18-11:32:20,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.1,5000,random,3,0.136698,0.0455661,0.0454584,0.000407813,1,0.0464251,187,0,2,dynamic
2025-11-18-11:32:21,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.25,5000,random,3,0.432079,0.144026,0.143227,0.00133446,1,0.144245,1222,0,2,dynamic
2025-11-18-11:32:23,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.5,5000,random,3,1.28318,0.427728,0.425158,0.00422103,1,0.426899,4963,0,2,dynamic
2025-11-18-11:32:28,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,1,5000,random,3,4.33928,1.44643,1.433,0.0224332,1,1.46239,20053,0,2,dynamic
2025-11-18-11:32:51,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,2,5000,random,3,16.5977,5.53257,5.47696,0.0949482,1,5.61273,80195,0,2,dynamic
