date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-11-18-12:12:46,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.01,5000,random,3,0.10681,0.0356035,0.0344825,0.00229526,1,0.0352628,7,0,1,dynamic
2025-11-18-12:12:46,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.05,5000,random,3,0.294592,0.0981974,0.0986145,0.00335125,1,0.0950539,182,0,1,dynamic
2025-11-18-12:12:47,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.1,5000,random,3,0.664816,0.221605,0.222927,0.00327103,1,0.213482,723,0,1,dynamic
2025-11-18-12:12:50,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.2,5000,random,3,1.80333,0.60111,0.602326,0.00570696,1,0.575999,2825,0,1,dynamic
2025-11-18-12:12:50,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.01,5000,random,3,0.055775,0.0185917,0.0185769,4.36657e-05,1,0.0195918,7,0,2,dynamic
2025-11-18-12:12:50,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.05,5000,random,3,0.152323,0.0507744,0.0504255,0.000734763,1,0.0505323,182,0,2,dynamic
2025-11-18-12:12:50,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.1,5000,random,3,0.34185,0.11395,0.11382,0.00212018,1,0.111475,723,0,2,dynamic
2025-11-18-12:12:52,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.2,5000,random,3,0.927538,0.309179,0.309761,0.00582879,1,0.301623,2825,0,2,dynamic
2025-11-18-12:12:52,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.01,5000,random,3,0.0283389,0.00944631,0.00944015,3.91736e-05,1,0.00999759,7,0,4,dynamic
2025-11-18-12:12:52,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.05,5000,random,3,0.0774282,0.0258094,0.0257184,0.00037602,1,0.0253526,182,0,4,dynamic
2025-11-18-12:12:52,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.1,5000,random,3,0.174922,0.0583073,0.0583117,0.000903447,1,0.0571151,723,0,4,dynamic
2025-11-18-12:12:53,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.2,5000,random,3,0.471968,0.157323,0.157291,0.00275735,1,0.154351,2825,0,4,dynamic
2025-11-18-12:12:53,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.01,5000,random,3,0.014859,0.00495299,0.00497318,5.43052e-05,1,0.00549805,7,0,8,dynamic
2025-11-18-12:12:53,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.05,5000,random,3,0.0407154,0.0135718,0.0135179,0.000195008,1,0.0132015,182,0,8,dynamic
2025-11-18-12:12:53,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.1,5000,random,3,0.0915115,0.0305038,0.0301786,0.00100086,1,0.0299318,723,0,8,dynamic
2025-11-18-12:12:53,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.2,5000,random,3,0.247399,0.0824665,0.0818521,0.002623,1,0.0800265,2825,0,8,dynamic
2025-11-18-12:12:53,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.01,5000,random,3,0.0079593,0.0026531,0.00265773,3.84479e-05,1,0.00329645,7,0,16,dynamic
2025-11-18-12:12:53,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.05,5000,random,3,0.0227431,0.00758105,0.00751683,0.000206833,1,0.00733014,182,0,16,dynamic
2025-11-18-12:12:53,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.1,5000,random,3,0.0523192,0.0174397,0.0171544,0.000739664,1,0.0168162,723,0,16,dynamic
2025-11-18-12:12:54,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.2,5000,random,3,0.141205,0.0470683,0.0464488,0.00172339,1,0.04592,2825,0,16,dynamic
