date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-11-18-11:37:22,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.01,5000,random,3,0.190625,0.0635417,0.0631958,0.00255073,1,0.0616826,67,0,1,dynamic
2025-11-18-11:37:24,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.05,5000,random,3,1.3953,0.465099,0.464465,0.00649133,1,0.474018,2057,0,1,dynamic
2025-11-18-11:37:30,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.1,5000,random,3,4.47143,1.49048,1.49216,0.0164801,1,1.56486,8673,0,1,dynamic
2025-11-18-11:37:51,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.2,5000,random,3,15.87,5.29,5.25367,0.0583905,1,5.37145,33376,0,1,dynamic
2025-11-18-11:37:51,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.01,5000,random,3,0.0989045,0.0329682,0.0327074,0.000380245,1,0.0338827,67,0,2,dynamic
2025-11-18-11:37:52,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.05,5000,random,3,0.699518,0.233173,0.231904,0.00216551,1,0.235954,2057,0,2,dynamic
2025-11-18-11:37:55,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.1,5000,random,3,2.23427,0.744758,0.744009,0.00584995,1,0.756714,8673,0,2,dynamic
2025-11-18-11:38:05,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.2,5000,random,3,7.60215,2.53405,2.51601,0.0337563,1,2.5818,33376,0,2,dynamic
2025-11-18-11:38:05,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.01,5000,random,3,0.0486775,0.0162258,0.0163416,0.00022933,1,0.0163577,67,0,4,dynamic
2025-11-18-11:38:06,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.05,5000,random,3,0.344657,0.114886,0.114352,0.000814276,1,0.117567,2057,0,4,dynamic
