date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-11-18-11:44:24,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.01,5000,random,3,0.561448,0.187149,0.180232,0.0112881,1,0.177658,460,0,1,dynamic
2025-11-18-11:44:34,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.05,5000,random,3,7.20729,2.40243,2.39057,0.0442028,1,2.28088,14603,0,1,dynamic
2025-11-18-11:45:10,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.1,5000,random,3,26.961,8.98701,9.01622,0.0730458,1,8.88773,59022,0,1,dynamic
2025-11-18-11:47:26,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.2,5000,random,3,102.272,34.0905,34.0422,0.14786,1,33.9364,233662,0,1,dynamic
2025-11-18-11:47:26,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.01,5000,random,3,0.3017,0.100567,0.10102,0.000941653,1,0.101913,460,0,2,dynamic
2025-11-18-11:47:31,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.05,5000,random,3,3.59779,1.19926,1.2038,0.014742,1,1.20629,14603,0,2,dynamic
2025-11-18-11:47:48,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.1,5000,random,3,12.919,4.30635,4.3181,0.0491986,1,4.32659,59022,0,2,dynamic
2025-11-18-11:48:55,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.2,5000,random,3,50.187,16.729,16.7345,0.104433,1,16.7642,233662,0,2,dynamic
2025-11-18-11:48:56,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.01,5000,random,3,0.153342,0.0511138,0.0510374,0.000474033,1,0.0516113,460,0,4,dynamic
2025-11-18-11:48:58,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.05,5000,random,3,1.83631,0.612104,0.613128,0.00785187,1,0.615565,14603,0,4,dynamic
