date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-11-11-21:57:10,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.1,5000,random,3,0.100201,0.0334004,0.0362468,0.00747797,1,0.0468156,1,0,1,dynamic
2025-11-11-21:57:10,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.25,5000,random,3,0.0834022,0.0278007,0.0291224,0.00231416,1,0.0303396,5,0,1,dynamic
2025-11-11-21:57:11,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.5,5000,random,3,0.122186,0.0407286,0.0425319,0.00308963,1,0.0442148,20,0,1,dynamic
2025-11-11-21:57:11,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,1,5000,random,3,0.211441,0.0704805,0.0727696,0.00468362,1,0.0769791,87,0,1,dynamic
2025-11-11-21:57:12,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,2,5000,random,3,0.551152,0.183717,0.155094,0.0438542,1,0.160975,374,0,1,dynamic
2025-11-11-21:57:12,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.1,5000,random,3,0.059114,0.0197047,0.0225517,0.00526377,1,0.026313,1,0,2,dynamic
2025-11-11-21:57:12,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.25,5000,random,3,0.0597298,0.0199099,0.02131,0.00234678,1,0.0204064,5,0,2,dynamic
2025-11-11-21:57:12,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.5,5000,random,3,0.0855559,0.0285186,0.0306896,0.00312275,1,0.029968,20,0,2,dynamic
2025-11-11-21:57:12,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,1,5000,random,3,0.148212,0.049404,0.0523417,0.00525821,1,0.0535528,87,0,2,dynamic
2025-11-11-21:57:12,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,2,5000,random,3,0.306861,0.102287,0.104314,0.0064705,1,0.112357,374,0,2,dynamic
2025-11-11-21:57:12,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.1,5000,random,3,0.0179085,0.00596949,0.00595931,5.60432e-05,1,0.00644307,1,0,4,dynamic
2025-11-11-21:57:12,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.25,5000,random,3,0.0243649,0.00812163,0.00810497,5.89431e-05,1,0.00779657,5,0,4,dynamic
2025-11-11-21:57:13,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,0.5,5000,random,3,0.0355187,0.0118396,0.0118281,4.8976e-05,1,0.0116182,20,0,4,dynamic
2025-11-11-21:57:13,ptrOct,PointsAoS,HilbertEncoder3D,12219779,neighboursPtr,Sphere,1,5000,random,3,0.0620417,0.0206806,0.0207304,0.00014123,1,0.0207614,87,0,4,dynamic
