date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-11-11-21:51:27,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.1,5000,random,3,0.137985,0.045995,0.0465803,0.00342774,1,0.0598876,84,0,1,dynamic
2025-11-11-21:51:27,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.25,5000,random,3,0.299762,0.0999208,0.099394,0.000806685,1,0.104231,526,0,1,dynamic
2025-11-11-21:51:28,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.5,5000,random,3,0.897923,0.299308,0.317787,0.0268643,1,0.255103,2104,0,1,dynamic
2025-11-11-21:51:32,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,1,5000,random,3,2.66047,0.886824,0.871597,0.0357262,1,0.877029,8456,0,1,dynamic
2025-11-11-21:51:43,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,2,5000,random,3,8.63219,2.8774,2.83527,0.0721117,1,3.01511,33418,0,1,dynamic
2025-11-11-21:51:43,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.1,5000,random,3,0.0569623,0.0189874,0.0188587,0.000368402,1,0.019493,84,0,2,dynamic
2025-11-11-21:51:44,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.25,5000,random,3,0.201381,0.0671271,0.0696136,0.00382086,1,0.0503476,526,0,2,dynamic
2025-11-11-21:51:44,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.5,5000,random,3,0.605754,0.201918,0.188969,0.0190294,1,0.200302,2104,0,2,dynamic
2025-11-11-21:51:47,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,1,5000,random,3,1.99563,0.66521,0.628398,0.0612351,1,0.666351,8456,0,2,dynamic
2025-11-11-21:51:56,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,2,5000,random,3,6.88616,2.29539,2.29592,0.00338762,1,2.45199,33418,0,2,dynamic
