date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-11-11-21:57:30,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.1,5000,random,3,0.179427,0.0598089,0.060869,0.00334887,1,0.0788149,187,0,1,dynamic
2025-11-11-21:57:30,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.25,5000,random,3,0.52494,0.17498,0.168712,0.00888877,1,0.171604,1222,0,1,dynamic
2025-11-11-21:57:33,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.5,5000,random,3,1.66059,0.55353,0.536517,0.0258685,1,0.630877,4963,0,1,dynamic
2025-11-11-21:57:41,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,1,5000,random,3,6.0273,2.0091,2.04269,0.0732828,1,2.07381,20053,0,1,dynamic
2025-11-11-21:58:08,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,2,5000,random,3,20.6314,6.87712,6.79118,0.139347,1,6.95565,80195,0,1,dynamic
2025-11-11-21:58:08,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.1,5000,random,3,0.117773,0.0392578,0.0387849,0.00077405,1,0.0366598,187,0,2,dynamic
2025-11-11-21:58:09,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.25,5000,random,3,0.38624,0.128747,0.128395,0.000786395,1,0.127215,1222,0,2,dynamic
2025-11-11-21:58:11,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.5,5000,random,3,1.19993,0.399976,0.389571,0.0199349,1,0.382506,4963,0,2,dynamic
2025-11-11-21:58:16,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,1,5000,random,3,3.90773,1.30258,1.28992,0.0257979,1,1.31973,20053,0,2,dynamic
2025-11-11-21:58:37,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,2,5000,random,3,16.0257,5.3419,5.40502,0.166286,1,5.14474,80195,0,2,dynamic
2025-11-11-21:58:37,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.1,5000,random,3,0.0605302,0.0201767,0.0200801,0.00027199,1,0.0209636,187,0,4,dynamic
2025-11-11-21:58:37,ptrOct,PointsAoS,HilbertEncoder3D,10000000,neighboursPtr,Sphere,0.25,5000,random,3,0.200766,0.0669221,0.0660852,0.00159578,1,0.0629934,1222,0,4,dynamic
