date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-11-11-22:37:33,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.01,5000,random,3,0.397339,0.132446,0.147578,0.0792433,1,0.321809,7,0,1,dynamic
2025-11-11-22:37:34,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.05,5000,random,3,0.256794,0.085598,0.0893627,0.00561084,1,0.0923209,182,0,1,dynamic
2025-11-11-22:37:35,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.1,5000,random,3,0.545841,0.181947,0.183511,0.00824029,1,0.181166,723,0,1,dynamic
2025-11-11-22:37:37,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.2,5000,random,3,1.46725,0.489082,0.494349,0.014329,1,0.48384,2825,0,1,dynamic
2025-11-11-22:37:37,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.01,5000,random,3,0.0629218,0.0209739,0.02018,0.0037477,1,0.0798154,7,0,2,dynamic
2025-11-11-22:37:37,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.05,5000,random,3,0.141306,0.0471019,0.0463424,0.00183764,1,0.0482299,182,0,2,dynamic
2025-11-11-22:37:37,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.1,5000,random,3,0.307923,0.102641,0.102106,0.00161688,1,0.097739,723,0,2,dynamic
2025-11-11-22:37:38,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.2,5000,random,3,0.829379,0.27646,0.277192,0.00230396,1,0.264633,2825,0,2,dynamic
2025-11-11-22:37:38,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.01,5000,random,3,0.0245201,0.00817338,0.00817005,9.27312e-05,1,0.046969,7,0,4,dynamic
2025-11-11-22:37:39,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.05,5000,random,3,0.0682811,0.0227604,0.0228081,0.000831345,1,0.0219089,182,0,4,dynamic
2025-11-11-22:37:39,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.1,5000,random,3,0.160308,0.053436,0.0534461,0.000407313,1,0.0514411,723,0,4,dynamic
2025-11-11-22:37:39,ptrOct,PointsAoS,HilbertEncoder3D,721810646,neighboursPtr,Sphere,0.2,5000,random,3,0.457148,0.152383,0.15151,0.00180642,1,0.145462,2825,0,4,dynamic
