date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-11-11-22:03:09,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.01,5000,random,3,0.173795,0.0579317,0.0623185,0.0147077,1,0.290493,67,0,1,dynamic
2025-11-11-22:03:11,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.05,5000,random,3,1.87003,0.623342,0.618046,0.0148881,1,0.413775,2057,0,1,dynamic
2025-11-11-22:03:18,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.1,5000,random,3,3.46455,1.15485,1.11301,0.0694247,1,2.81148,8673,0,1,dynamic
2025-11-11-22:03:31,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.2,5000,random,3,10.1626,3.38752,3.38523,0.0574468,1,3.58494,33376,0,1,dynamic
2025-11-11-22:03:31,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.01,5000,random,3,0.0840337,0.0280112,0.0284922,0.000942019,1,0.0272245,67,0,2,dynamic
2025-11-11-22:03:32,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.05,5000,random,3,0.644514,0.214838,0.212249,0.00885326,1,0.190783,2057,0,2,dynamic
2025-11-11-22:03:35,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.1,5000,random,3,1.98695,0.662316,0.63033,0.0474456,1,0.657764,8673,0,2,dynamic
2025-11-11-22:03:44,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.2,5000,random,3,6.80748,2.26916,2.19921,0.116917,1,2.3918,33376,0,2,dynamic
2025-11-11-22:03:44,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.01,5000,random,3,0.0447379,0.0149126,0.0159331,0.00190246,1,0.0150551,67,0,4,dynamic
2025-11-11-22:03:45,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.05,5000,random,3,0.325797,0.108599,0.10788,0.00131723,1,0.0914612,2057,0,4,dynamic
2025-11-11-22:03:46,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.1,5000,random,3,1.32333,0.441112,0.438645,0.0389304,1,0.374065,8673,0,4,dynamic
2025-11-11-22:03:52,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.2,5000,random,3,4.06913,1.35638,1.37365,0.068915,1,1.35888,33376,0,4,dynamic
2025-11-11-22:03:52,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.01,5000,random,3,0.0304784,0.0101595,0.0111341,0.00198165,1,0.0131639,67,0,8,dynamic
2025-11-11-22:03:52,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.05,5000,random,3,0.176192,0.0587306,0.0600766,0.00207815,1,0.0631473,2057,0,8,dynamic
2025-11-11-22:03:53,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.1,5000,random,3,0.598577,0.199526,0.200949,0.00270389,1,0.211626,8673,0,8,dynamic
2025-11-11-22:03:55,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.2,5000,random,3,1.90647,0.635489,0.633053,0.00376445,1,0.661353,33376,0,8,dynamic
2025-11-11-22:03:55,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.01,5000,random,3,0.0131384,0.00437947,0.00441099,4.94505e-05,1,0.00518851,67,0,16,dynamic
2025-11-11-22:03:56,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.05,5000,random,3,0.0923075,0.0307692,0.0307041,9.454e-05,1,0.031484,2057,0,16,dynamic
2025-11-11-22:03:56,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.1,5000,random,3,0.332156,0.110719,0.111197,0.00308875,1,0.103878,8673,0,16,dynamic
2025-11-11-22:03:58,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.2,5000,random,3,1.26105,0.420349,0.415733,0.0140208,1,0.401499,33376,0,16,dynamic
2025-11-11-22:03:58,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.01,5000,random,3,0.0141055,0.00470183,0.00481551,0.000165374,1,0.00583904,67,0,24,dynamic
2025-11-11-22:03:58,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.05,5000,random,3,0.107072,0.0356905,0.035642,0.00141036,1,0.0338719,2057,0,24,dynamic
2025-11-11-22:03:58,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.1,5000,random,3,0.306422,0.102141,0.102534,0.00152023,1,0.108498,8673,0,24,dynamic
2025-11-11-22:04:00,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.2,5000,random,3,1.01536,0.338455,0.338621,0.000959434,1,0.357319,33376,0,24,dynamic
2025-11-11-22:04:00,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.01,5000,random,3,0.0108115,0.00360384,0.00361092,1.51293e-05,1,0.00496759,67,0,32,dynamic
2025-11-11-22:04:00,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.05,5000,random,3,0.0810185,0.0270062,0.0270186,0.000100044,1,0.0267847,2057,0,32,dynamic
2025-11-11-22:04:00,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.1,5000,random,3,0.273773,0.0912577,0.0917745,0.00193703,1,0.091368,8673,0,32,dynamic
2025-11-11-22:04:01,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.2,5000,random,3,0.994061,0.331354,0.33016,0.00197133,1,0.334382,33376,0,32,dynamic
2025-11-11-22:04:01,ptrOct,PointsAoS,HilbertEncoder3D,29697591,neighboursPtr,Sphere,0.01,5000,random,3,0.0232617,0.00775388,0.00774339,2.61986e-05,1,0.0081036,67,0,40,dynamic
