date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-11-11-22:10:15,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.01,5000,random,3,1.26907,0.423024,0.552961,0.21668,1,0.625632,460,0,1,dynamic
2025-11-11-22:10:28,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.05,5000,random,3,8.57283,2.85761,3.09116,0.826346,1,4.89166,14603,0,1,dynamic
2025-11-11-22:10:56,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.1,5000,random,3,19.5915,6.5305,6.74096,0.421707,1,7.86205,59022,0,1,dynamic
2025-11-11-22:12:23,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.2,5000,random,3,64.7833,21.5944,21.4279,0.386655,1,22.8175,233662,0,1,dynamic
2025-11-11-22:12:24,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.01,5000,random,3,0.242614,0.0808712,0.081329,0.00358693,1,0.073565,460,0,2,dynamic
2025-11-11-22:12:28,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.05,5000,random,3,3.27002,1.09001,1.0872,0.0659079,1,0.906316,14603,0,2,dynamic
2025-11-11-22:12:43,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.1,5000,random,3,11.8648,3.95493,3.94707,0.0549636,1,3.92719,59022,0,2,dynamic
2025-11-11-22:13:56,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.2,5000,random,3,57.2463,19.0821,19.2925,0.429213,1,15.6471,233662,0,2,dynamic
2025-11-11-22:13:57,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.01,5000,random,3,0.167069,0.0556897,0.0607721,0.00920932,1,0.051133,460,0,4,dynamic
2025-11-11-22:13:59,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.05,5000,random,3,2.07771,0.692571,0.704453,0.037792,1,0.630994,14603,0,4,dynamic
2025-11-11-22:14:10,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.1,5000,random,3,8.16228,2.72076,2.738,0.103169,1,2.47054,59022,0,4,dynamic
2025-11-11-22:14:55,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.2,5000,random,3,33.9382,11.3127,11.2302,0.434742,1,10.6652,233662,0,4,dynamic
2025-11-11-22:14:55,ptrOct,PointsAoS,HilbertEncoder3D,429615314,neighboursPtr,Sphere,0.01,5000,random,3,0.094731,0.031577,0.0334491,0.00550694,1,0.0318702,460,0,8,dynamic
