date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-12-11-13:50:08,ptrOct,PointsAoS,MortonEncoder3D,12219779,neighboursPtr,Circle,0.5,5000,random,5,0.0675284,0.0135057,0.0129577,0.00121062,1,0.0296524,49,0,40,dynamic
2025-12-11-13:50:08,ptrOct,PointsAoS,MortonEncoder3D,12219779,neighboursPtr,Circle,1,5000,random,5,0.0840867,0.0168173,0.0166918,0.000451257,1,0.0170516,199,0,40,dynamic
2025-12-11-13:50:08,ptrOct,PointsAoS,MortonEncoder3D,12219779,neighboursPtr,Circle,2,5000,random,5,0.139779,0.0279559,0.0278969,0.000419923,1,0.0277183,772,0,40,dynamic
2025-12-11-13:50:08,ptrOct,PointsAoS,MortonEncoder3D,12219779,neighboursPtr,Circle,3,5000,random,5,0.20965,0.04193,0.0418881,0.000351121,1,0.0418112,1692,0,40,dynamic
2025-12-11-13:50:08,ptrOct,PointsAoS,MortonEncoder3D,12219779,neighboursPtr,Sphere,0.5,5000,random,5,0.0156862,0.00313724,0.00312297,6.76649e-05,1,0.00331371,20,0,40,dynamic
2025-12-11-13:50:08,ptrOct,PointsAoS,MortonEncoder3D,12219779,neighboursPtr,Sphere,1,5000,random,5,0.0291345,0.00582689,0.00587192,8.19847e-05,1,0.00586265,87,0,40,dynamic
2025-12-11-13:50:08,ptrOct,PointsAoS,MortonEncoder3D,12219779,neighboursPtr,Sphere,2,5000,random,5,0.06494,0.012988,0.013032,0.00015014,1,0.0131026,378,0,40,dynamic
2025-12-11-13:50:08,ptrOct,PointsAoS,MortonEncoder3D,12219779,neighboursPtr,Sphere,3,5000,random,5,0.116874,0.0233749,0.0233744,0.000121091,1,0.0232648,910,0,40,dynamic
2025-12-11-13:50:08,ptrOct,PointsAoS,MortonEncoder3D,12219779,neighboursPtr,Square,0.5,5000,random,5,0.0605827,0.0121165,0.0121353,0.000154055,1,0.012326,61,0,40,dynamic
2025-12-11-13:50:09,ptrOct,PointsAoS,MortonEncoder3D,12219779,neighboursPtr,Square,1,5000,random,5,0.0839004,0.0167801,0.0168433,0.000151814,1,0.0170358,250,0,40,dynamic
2025-12-11-13:50:09,ptrOct,PointsAoS,MortonEncoder3D,12219779,neighboursPtr,Square,2,5000,random,5,0.138339,0.0276678,0.0276767,0.000145982,1,0.0281379,971,0,40,dynamic
2025-12-11-13:50:09,ptrOct,PointsAoS,MortonEncoder3D,12219779,neighboursPtr,Square,3,5000,random,5,0.204939,0.0409878,0.0408932,0.000312992,1,0.041157,2124,0,40,dynamic
2025-12-11-13:50:09,ptrOct,PointsAoS,MortonEncoder3D,12219779,neighboursPtr,Cube,0.5,5000,random,5,0.0152211,0.00304421,0.00303211,3.45147e-05,1,0.00317249,27,0,40,dynamic
2025-12-11-13:50:09,ptrOct,PointsAoS,MortonEncoder3D,12219779,neighboursPtr,Cube,1,5000,random,5,0.0285551,0.00571103,0.00573475,4.60481e-05,1,0.00570547,120,0,40,dynamic
2025-12-11-13:50:09,ptrOct,PointsAoS,MortonEncoder3D,12219779,neighboursPtr,Cube,2,5000,random,5,0.0635582,0.0127116,0.0127077,2.36814e-05,1,0.0127572,542,0,40,dynamic
2025-12-11-13:50:09,ptrOct,PointsAoS,MortonEncoder3D,12219779,neighboursPtr,Cube,3,5000,random,5,0.113567,0.0227134,0.022751,0.000120706,1,0.0227307,1338,0,40,dynamic
2025-12-11-13:50:10,linOct,PointsAoS,MortonEncoder3D,12219779,neighbours,Circle,0.5,5000,random,5,0.0328394,0.00656788,0.00657194,0.000100764,1,0.00729079,49,0,40,dynamic
2025-12-11-13:50:10,linOct,PointsAoS,MortonEncoder3D,12219779,neighbours,Circle,1,5000,random,5,0.0469909,0.00939817,0.00945921,0.000102129,1,0.00951488,199,0,40,dynamic
2025-12-11-13:50:10,linOct,PointsAoS,MortonEncoder3D,12219779,neighbours,Circle,2,5000,random,5,0.0813926,0.0162785,0.0162983,0.000122989,1,0.0164466,772,0,40,dynamic
2025-12-11-13:50:10,linOct,PointsAoS,MortonEncoder3D,12219779,neighbours,Circle,3,5000,random,5,0.123591,0.0247183,0.0247248,0.000175014,1,0.0246598,1692,0,40,dynamic
2025-12-11-13:50:10,linOct,PointsAoS,MortonEncoder3D,12219779,neighboursPrune,Circle,0.5,5000,random,5,0.0299806,0.00599613,0.00600923,6.65657e-05,1,0.00620038,49,0,40,dynamic
2025-12-11-13:50:10,linOct,PointsAoS,MortonEncoder3D,12219779,neighboursPrune,Circle,1,5000,random,5,0.0429837,0.00859674,0.00856004,0.000143331,1,0.00871199,199,0,40,dynamic
2025-12-11-13:50:10,linOct,PointsAoS,MortonEncoder3D,12219779,neighboursPrune,Circle,2,5000,random,5,0.0729813,0.0145963,0.0146119,9.01975e-05,1,0.0146352,772,0,40,dynamic
2025-12-11-13:50:10,linOct,PointsAoS,MortonEncoder3D,12219779,neighboursPrune,Circle,3,5000,random,5,0.106475,0.021295,0.0212889,0.000131331,1,0.0214027,1692,0,40,dynamic
2025-12-11-13:50:10,linOct,PointsAoS,MortonEncoder3D,12219779,neighboursStruct,Circle,0.5,5000,random,5,0.0295629,0.00591258,0.00590352,8.28087e-05,1,0.00604014,49,0,40,dynamic
2025-12-11-13:50:10,linOct,PointsAoS,MortonEncoder3D,12219779,neighboursStruct,Circle,1,5000,random,5,0.042659,0.00853179,0.00855065,9.95591e-05,1,0.0085922,199,0,40,dynamic
2025-12-11-13:50:10,linOct,PointsAoS,MortonEncoder3D,12219779,neighboursStruct,Circle,2,5000,random,5,0.0720474,0.0144095,0.0144231,0.00012217,1,0.0144016,772,0,40,dynamic
2025-12-11-13:50:11,linOct,PointsAoS,MortonEncoder3D,12219779,neighboursStruct,Circle,3,5000,random,5,0.104097,0.0208193,0.0208365,0.000110949,1,0.020685,1692,0,40,dynamic
2025-12-11-13:50:11,linOct,PointsAoS,MortonEncoder3D,12219779,neighbours,Sphere,0.5,5000,random,5,0.00805437,0.00161087,0.00161583,1.56639e-05,1,0.00164218,20,0,40,dynamic
2025-12-11-13:50:11,linOct,PointsAoS,MortonEncoder3D,12219779,neighbours,Sphere,1,5000,random,5,0.0154892,0.00309784,0.00309541,3.37345e-05,1,0.0029753,87,0,40,dynamic
