date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-12-11-13:45:30,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Circle,0.5,5000,random,5,0.411982,0.0823965,0.0824461,0.0012984,1,0.132277,5214,0,40,dynamic
2025-12-11-13:45:31,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Circle,1,5000,random,5,0.862622,0.172524,0.173283,0.00123539,1,0.177365,14968,0,40,dynamic
2025-12-11-13:45:33,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Circle,2,5000,random,5,2.25726,0.451453,0.451119,0.00674657,1,0.462132,45612,0,40,dynamic
2025-12-11-13:45:38,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Circle,3,5000,random,5,4.10102,0.820205,0.828572,0.0142334,1,0.852751,90160,0,40,dynamic
2025-12-11-13:45:38,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Sphere,0.5,5000,random,5,0.129469,0.0258937,0.0258298,0.00030386,1,0.0260913,2075,0,40,dynamic
2025-12-11-13:45:39,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Sphere,1,5000,random,5,0.410286,0.0820572,0.0823453,0.000615955,1,0.0830541,8345,0,40,dynamic
2025-12-11-13:45:41,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Sphere,2,5000,random,5,1.43159,0.286319,0.285505,0.00354488,1,0.291994,33057,0,40,dynamic
2025-12-11-13:45:44,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Sphere,3,5000,random,5,3.00538,0.601077,0.601989,0.00683807,1,0.617147,72506,0,40,dynamic
2025-12-11-13:45:45,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Square,0.5,5000,random,5,0.321918,0.0643837,0.0644727,0.00046108,1,0.064578,6319,0,40,dynamic
2025-12-11-13:45:45,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Square,1,5000,random,5,0.697502,0.1395,0.139249,0.000846647,1,0.141262,18355,0,40,dynamic
2025-12-11-13:45:48,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Square,2,5000,random,5,1.93522,0.387044,0.38653,0.00212193,1,0.38967,56264,0,40,dynamic
2025-12-11-13:45:52,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Square,3,5000,random,5,3.74347,0.748694,0.749408,0.00530298,1,0.758562,112114,0,40,dynamic
