date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-12-11-13:51:53,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Circle,0.5,5000,random,5,0.888141,0.177628,0.177484,0.00214531,1,0.222633,13576,0,40,dynamic
2025-12-11-13:51:56,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Circle,1,5000,random,5,2.22832,0.445664,0.445784,0.0032132,1,0.460813,42153,0,40,dynamic
2025-12-11-13:52:03,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Circle,2,5000,random,5,6.0162,1.20324,1.19142,0.0319465,1,1.28004,134671,0,40,dynamic
2025-12-11-13:52:16,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Circle,3,5000,random,5,10.8219,2.16438,2.16268,0.037039,1,2.22243,267958,0,40,dynamic
2025-12-11-13:52:17,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Sphere,0.5,5000,random,5,0.249452,0.0498903,0.0499374,0.000431411,1,0.0503407,4986,0,40,dynamic
2025-12-11-13:52:18,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Sphere,1,5000,random,5,0.882884,0.176577,0.177105,0.00313951,1,0.175504,20118,0,40,dynamic
2025-12-11-13:52:22,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Sphere,2,5000,random,5,3.26992,0.653984,0.653439,0.00379148,1,0.656848,80489,0,40,dynamic
2025-12-11-13:52:29,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Sphere,3,5000,random,5,6.56227,1.31245,1.30901,0.0496625,1,1.40578,178380,0,40,dynamic
2025-12-11-13:52:30,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Square,0.5,5000,random,5,0.605192,0.121038,0.120657,0.000674145,1,0.125771,16624,0,40,dynamic
2025-12-11-13:52:32,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Square,1,5000,random,5,1.53078,0.306156,0.304715,0.00386103,1,0.317935,51986,0,40,dynamic
2025-12-11-13:52:37,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Square,2,5000,random,5,4.33405,0.86681,0.867084,0.00550044,1,0.892882,166450,0,40,dynamic
2025-12-11-13:52:47,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Square,3,5000,random,5,8.38534,1.67707,1.68654,0.0294843,1,1.65511,331215,0,40,dynamic
2025-12-11-13:52:48,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Cube,0.5,5000,random,5,0.204519,0.0409037,0.0409576,0.000389782,1,0.0407818,6638,0,40,dynamic
2025-12-11-13:52:48,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Cube,1,5000,random,5,0.712588,0.142518,0.142375,0.000967849,1,0.142758,26957,0,40,dynamic
2025-12-11-13:52:52,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Cube,2,5000,random,5,2.70676,0.541353,0.54255,0.00540885,1,0.534475,107934,0,40,dynamic
2025-12-11-13:52:59,ptrOct,PointsAoS,MortonEncoder3D,10000000,neighboursPtr,Cube,3,5000,random,5,5.849,1.1698,1.17014,0.00894241,1,1.15817,239353,0,40,dynamic
2025-12-11-13:52:59,linOct,PointsAoS,MortonEncoder3D,10000000,neighbours,Circle,0.5,5000,random,5,0.356703,0.0713406,0.071883,0.000747514,1,0.0747524,13576,0,40,dynamic
2025-12-11-13:53:01,linOct,PointsAoS,MortonEncoder3D,10000000,neighbours,Circle,1,5000,random,5,0.916753,0.183351,0.182923,0.00161022,1,0.186419,42153,0,40,dynamic
2025-12-11-13:53:04,linOct,PointsAoS,MortonEncoder3D,10000000,neighbours,Circle,2,5000,random,5,2.82389,0.564777,0.564915,0.00136155,1,0.542307,134671,0,40,dynamic
2025-12-11-13:53:10,linOct,PointsAoS,MortonEncoder3D,10000000,neighbours,Circle,3,5000,random,5,5.35916,1.07183,1.07266,0.00452125,1,1.07126,267958,0,40,dynamic
2025-12-11-13:53:11,linOct,PointsAoS,MortonEncoder3D,10000000,neighboursPrune,Circle,0.5,5000,random,5,0.25709,0.0514179,0.051105,0.000632374,1,0.0531425,13576,0,40,dynamic
2025-12-11-13:53:11,linOct,PointsAoS,MortonEncoder3D,10000000,neighboursPrune,Circle,1,5000,random,5,0.474434,0.0948869,0.0949306,0.000514058,1,0.0956455,42153,0,40,dynamic
2025-12-11-13:53:13,linOct,PointsAoS,MortonEncoder3D,10000000,neighboursPrune,Circle,2,5000,random,5,1.05676,0.211351,0.211655,0.000710923,1,0.212263,134671,0,40,dynamic
2025-12-11-13:53:15,linOct,PointsAoS,MortonEncoder3D,10000000,neighboursPrune,Circle,3,5000,random,5,1.81478,0.362957,0.363308,0.00182631,1,0.361011,267958,0,40,dynamic
2025-12-11-13:53:15,linOct,PointsAoS,MortonEncoder3D,10000000,neighboursStruct,Circle,0.5,5000,random,5,0.230955,0.046191,0.0461681,0.000521839,1,0.0470751,13576,0,40,dynamic
2025-12-11-13:53:15,linOct,PointsAoS,MortonEncoder3D,10000000,neighboursStruct,Circle,1,5000,random,5,0.379237,0.0758475,0.0756086,0.000615657,1,0.076599,42153,0,40,dynamic
2025-12-11-13:53:16,linOct,PointsAoS,MortonEncoder3D,10000000,neighboursStruct,Circle,2,5000,random,5,0.624601,0.12492,0.125322,0.000727242,1,0.125755,134671,0,40,dynamic
2025-12-11-13:53:17,linOct,PointsAoS,MortonEncoder3D,10000000,neighboursStruct,Circle,3,5000,random,5,0.83844,0.167688,0.167826,0.000664241,1,0.166476,267958,0,40,dynamic
2025-12-11-13:53:17,linOct,PointsAoS,MortonEncoder3D,10000000,neighbours,Sphere,0.5,5000,random,5,0.120235,0.024047,0.0239682,0.000281367,1,0.0238728,4986,0,40,dynamic
2025-12-11-13:53:18,linOct,PointsAoS,MortonEncoder3D,10000000,neighbours,Sphere,1,5000,random,5,0.423745,0.0847489,0.084797,0.000294875,1,0.0849598,20118,0,40,dynamic
2025-12-11-13:53:20,linOct,PointsAoS,MortonEncoder3D,10000000,neighbours,Sphere,2,5000,random,5,1.65295,0.330589,0.330297,0.00137673,1,0.327197,80489,0,40,dynamic
2025-12-11-13:53:24,linOct,PointsAoS,MortonEncoder3D,10000000,neighbours,Sphere,3,5000,random,5,3.62667,0.725334,0.727216,0.00454961,1,0.714991,178380,0,40,dynamic
2025-12-11-13:53:24,linOct,PointsAoS,MortonEncoder3D,10000000,neighboursPrune,Sphere,0.5,5000,random,5,0.067185,0.013437,0.0134282,0.0001023,1,0.0134317,4986,0,40,dynamic
2025-12-11-13:53:24,linOct,PointsAoS,MortonEncoder3D,10000000,neighboursPrune,Sphere,1,5000,random,5,0.165646,0.0331291,0.0331965,0.000167319,1,0.0330614,20118,0,40,dynamic
2025-12-11-13:53:25,linOct,PointsAoS,MortonEncoder3D,10000000,neighboursPrune,Sphere,2,5000,random,5,0.508949,0.10179,0.101584,0.000415463,1,0.101405,80489,0,40,dynamic
