date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-12-11-15:40:27,ptrOct,PointsAoS,MortonEncoder3D,721810646,neighboursPtr,Circle,0.01,5000,random,5,0.678764,0.135753,0.132846,0.0435258,1,0.326796,198,0,40,dynamic
2025-12-11-15:40:28,ptrOct,PointsAoS,MortonEncoder3D,721810646,neighboursPtr,Circle,0.05,5000,random,5,0.635944,0.127189,0.126607,0.00266001,1,0.147415,3117,0,40,dynamic
2025-12-11-15:40:29,ptrOct,PointsAoS,MortonEncoder3D,721810646,neighboursPtr,Circle,0.1,5000,random,5,1.02753,0.205506,0.206882,0.00473403,1,0.207423,9252,0,40,dynamic
2025-12-11-15:40:31,ptrOct,PointsAoS,MortonEncoder3D,721810646,neighboursPtr,Circle,0.2,5000,random,5,1.93927,0.387855,0.384614,0.00770573,1,0.385257,25874,0,40,dynamic
2025-12-11-15:40:31,ptrOct,PointsAoS,MortonEncoder3D,721810646,neighboursPtr,Sphere,0.01,5000,random,5,0.0101646,0.00203292,0.00202543,1.01042e-05,1,0.00217581,7,0,40,dynamic
2025-12-11-15:40:31,ptrOct,PointsAoS,MortonEncoder3D,721810646,neighboursPtr,Sphere,0.05,5000,random,5,0.0329343,0.00658685,0.00647081,0.000242528,1,0.00670601,192,0,40,dynamic
2025-12-11-15:40:31,ptrOct,PointsAoS,MortonEncoder3D,721810646,neighboursPtr,Sphere,0.1,5000,random,5,0.0791068,0.0158214,0.0156559,0.000666715,1,0.0167848,765,0,40,dynamic
2025-12-11-15:40:31,ptrOct,PointsAoS,MortonEncoder3D,721810646,neighboursPtr,Sphere,0.2,5000,random,5,0.216059,0.0432119,0.0430378,0.00113199,1,0.042822,2969,0,40,dynamic
2025-12-11-15:40:32,ptrOct,PointsAoS,MortonEncoder3D,721810646,neighboursPtr,Square,0.01,5000,random,5,0.336534,0.0673068,0.0669702,0.000749776,1,0.0678603,241,0,40,dynamic
2025-12-11-15:40:33,ptrOct,PointsAoS,MortonEncoder3D,721810646,neighboursPtr,Square,0.05,5000,random,5,0.62214,0.124428,0.124198,0.00235358,1,0.122725,3784,0,40,dynamic
2025-12-11-15:40:34,ptrOct,PointsAoS,MortonEncoder3D,721810646,neighboursPtr,Square,0.1,5000,random,5,1.02828,0.205656,0.203172,0.00510958,1,0.203984,11088,0,40,dynamic
2025-12-11-15:40:36,ptrOct,PointsAoS,MortonEncoder3D,721810646,neighboursPtr,Square,0.2,5000,random,5,1.95017,0.390035,0.386116,0.00737556,1,0.385573,30758,0,40,dynamic
2025-12-11-15:40:36,ptrOct,PointsAoS,MortonEncoder3D,721810646,neighboursPtr,Cube,0.01,5000,random,5,0.0101279,0.00202558,0.00202689,1.70895e-05,1,0.00212634,11,0,40,dynamic
2025-12-11-15:40:36,ptrOct,PointsAoS,MortonEncoder3D,721810646,neighboursPtr,Cube,0.05,5000,random,5,0.0327297,0.00654594,0.00640905,0.000218892,1,0.0068381,275,0,40,dynamic
2025-12-11-15:40:36,ptrOct,PointsAoS,MortonEncoder3D,721810646,neighboursPtr,Cube,0.1,5000,random,5,0.0793509,0.0158702,0.0154813,0.000704131,1,0.0158854,1074,0,40,dynamic
2025-12-11-15:40:37,ptrOct,PointsAoS,MortonEncoder3D,721810646,neighboursPtr,Cube,0.2,5000,random,5,0.214522,0.0429045,0.04283,0.000665453,1,0.0442508,4046,0,40,dynamic
2025-12-11-15:41:03,linOct,PointsAoS,MortonEncoder3D,721810646,neighbours,Circle,0.01,5000,random,5,0.202727,0.0405453,0.0405243,0.00038238,1,0.0415734,198,0,40,dynamic
2025-12-11-15:41:03,linOct,PointsAoS,MortonEncoder3D,721810646,neighbours,Circle,0.05,5000,random,5,0.387969,0.0775938,0.0767332,0.0014819,1,0.0781626,3117,0,40,dynamic
2025-12-11-15:41:04,linOct,PointsAoS,MortonEncoder3D,721810646,neighbours,Circle,0.1,5000,random,5,0.649664,0.129933,0.12899,0.00233746,1,0.12962,9252,0,40,dynamic
2025-12-11-15:41:06,linOct,PointsAoS,MortonEncoder3D,721810646,neighbours,Circle,0.2,5000,random,5,1.22983,0.245967,0.245607,0.00156797,1,0.242463,25874,0,40,dynamic
2025-12-11-15:41:06,linOct,PointsAoS,MortonEncoder3D,721810646,neighboursPrune,Circle,0.01,5000,random,5,0.201618,0.0403236,0.0402386,0.000444053,1,0.0406868,198,0,40,dynamic
2025-12-11-15:41:06,linOct,PointsAoS,MortonEncoder3D,721810646,neighboursPrune,Circle,0.05,5000,random,5,0.357083,0.0714165,0.071204,0.000566053,1,0.0711255,3117,0,40,dynamic
