date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-12-11-14:02:53,ptrOct,PointsAoS,MortonEncoder3D,29697591,neighboursPtr,Circle,0.01,5000,random,5,0.136686,0.0273372,0.0258994,0.00311865,1,0.0670543,439,0,40,dynamic
2025-12-11-14:02:54,ptrOct,PointsAoS,MortonEncoder3D,29697591,neighboursPtr,Circle,0.05,5000,random,5,0.46782,0.093564,0.0934814,0.00125939,1,0.0992491,6122,0,40,dynamic
2025-12-11-14:02:55,ptrOct,PointsAoS,MortonEncoder3D,29697591,neighboursPtr,Circle,0.1,5000,random,5,1.11247,0.222495,0.216319,0.00911691,1,0.218253,19639,0,40,dynamic
2025-12-11-14:02:58,ptrOct,PointsAoS,MortonEncoder3D,29697591,neighboursPtr,Circle,0.2,5000,random,5,2.82538,0.565076,0.557162,0.0141528,1,0.57815,62817,0,40,dynamic
2025-12-11-14:02:58,ptrOct,PointsAoS,MortonEncoder3D,29697591,neighboursPtr,Sphere,0.01,5000,random,5,0.0193828,0.00387656,0.00386686,6.85788e-05,1,0.00412685,67,0,40,dynamic
2025-12-11-14:02:59,ptrOct,PointsAoS,MortonEncoder3D,29697591,neighboursPtr,Sphere,0.05,5000,random,5,0.141572,0.0283143,0.0283078,0.000821331,1,0.0278466,1990,0,40,dynamic
2025-12-11-14:02:59,ptrOct,PointsAoS,MortonEncoder3D,29697591,neighboursPtr,Sphere,0.1,5000,random,5,0.442283,0.0884567,0.088197,0.00313083,1,0.0857442,8289,0,40,dynamic
2025-12-11-14:03:01,ptrOct,PointsAoS,MortonEncoder3D,29697591,neighboursPtr,Sphere,0.2,5000,random,5,1.49206,0.298413,0.299337,0.00906312,1,0.283887,32207,0,40,dynamic
2025-12-11-14:03:01,ptrOct,PointsAoS,MortonEncoder3D,29697591,neighboursPtr,Square,0.01,5000,random,5,0.101674,0.0203349,0.0199406,0.000636244,1,0.0242714,501,0,40,dynamic
2025-12-11-14:03:01,ptrOct,PointsAoS,MortonEncoder3D,29697591,neighboursPtr,Square,0.05,5000,random,5,0.371921,0.0743843,0.0751611,0.00177503,1,0.0725823,7630,0,40,dynamic
2025-12-11-14:03:03,ptrOct,PointsAoS,MortonEncoder3D,29697591,neighboursPtr,Square,0.1,5000,random,5,0.929525,0.185905,0.185612,0.00502501,1,0.182778,24106,0,40,dynamic
2025-12-11-14:03:06,ptrOct,PointsAoS,MortonEncoder3D,29697591,neighboursPtr,Square,0.2,5000,random,5,2.67116,0.534231,0.542191,0.0115661,1,0.517148,76908,0,40,dynamic
2025-12-11-14:03:06,ptrOct,PointsAoS,MortonEncoder3D,29697591,neighboursPtr,Cube,0.01,5000,random,5,0.0176409,0.00352817,0.00352216,5.27735e-05,1,0.00367709,74,0,40,dynamic
2025-12-11-14:03:06,ptrOct,PointsAoS,MortonEncoder3D,29697591,neighboursPtr,Cube,0.05,5000,random,5,0.132425,0.0264851,0.0265317,0.000376934,1,0.0258727,3148,0,40,dynamic
2025-12-11-14:03:06,ptrOct,PointsAoS,MortonEncoder3D,29697591,neighboursPtr,Cube,0.1,5000,random,5,0.422424,0.0844848,0.0850291,0.00233507,1,0.0835194,12290,0,40,dynamic
2025-12-11-14:03:08,ptrOct,PointsAoS,MortonEncoder3D,29697591,neighboursPtr,Cube,0.2,5000,random,5,1.46203,0.292405,0.294264,0.0086889,1,0.284779,45551,0,40,dynamic
