date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2025-12-11-14:11:38,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Circle,0.01,5000,random,5,3.00102,0.600203,0.606027,0.0129472,1,1.0291,25064,0,40,dynamic
2025-12-11-14:11:59,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Circle,0.05,5000,random,5,17.6873,3.53745,3.53339,0.0813941,1,3.4596,286142,0,40,dynamic
2025-12-11-14:12:49,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Circle,0.1,5000,random,5,41.7047,8.34094,8.23078,0.252549,1,8.29961,733601,0,40,dynamic
2025-12-11-14:14:53,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Circle,0.2,5000,random,5,103.39,20.6781,20.4231,0.668117,1,20.4486,1879579,0,40,dynamic
2025-12-11-14:14:53,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Sphere,0.01,5000,random,5,0.0730456,0.0146091,0.0146108,0.000227173,1,0.0146633,449,0,40,dynamic
2025-12-11-14:14:54,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Sphere,0.05,5000,random,5,0.95506,0.191012,0.190074,0.00250974,1,0.19032,14386,0,40,dynamic
2025-12-11-14:14:58,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Sphere,0.1,5000,random,5,3.59472,0.718944,0.715659,0.0104806,1,0.702212,57922,0,40,dynamic
2025-12-11-14:15:15,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Sphere,0.2,5000,random,5,13.7212,2.74424,2.7302,0.0530874,1,2.70614,229287,0,40,dynamic
2025-12-11-14:15:18,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Square,0.01,5000,random,5,2.9315,0.5863,0.587799,0.00983868,1,0.588082,27835,0,40,dynamic
2025-12-11-14:15:39,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Square,0.05,5000,random,5,17.3601,3.47201,3.43746,0.0852325,1,3.44564,324176,0,40,dynamic
2025-12-11-14:16:28,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Square,0.1,5000,random,5,40.8567,8.17134,8.04579,0.229181,1,8.14757,823644,0,40,dynamic
2025-12-11-14:18:28,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Square,0.2,5000,random,5,100.702,20.1404,19.8045,0.599024,1,19.7479,2112137,0,40,dynamic
2025-12-11-14:18:28,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Cube,0.01,5000,random,5,0.0715534,0.0143107,0.0142941,0.000208059,1,0.0144922,496,0,40,dynamic
2025-12-11-14:18:30,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Cube,0.05,5000,random,5,0.967334,0.193467,0.192578,0.00275408,1,0.191525,21195,0,40,dynamic
2025-12-11-14:18:34,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Cube,0.1,5000,random,5,3.67293,0.734587,0.733818,0.0133899,1,0.721773,81731,0,40,dynamic
2025-12-11-14:18:51,ptrOct,PointsAoS,MortonEncoder3D,429615314,neighboursPtr,Cube,0.2,5000,random,5,14.0673,2.81347,2.80274,0.0418232,1,2.77448,317259,0,40,dynamic
2025-12-11-14:19:15,linOct,PointsAoS,MortonEncoder3D,429615314,neighbours,Circle,0.01,5000,random,5,1.68595,0.33719,0.339158,0.00664493,1,0.340469,25064,0,40,dynamic
2025-12-11-14:19:26,linOct,PointsAoS,MortonEncoder3D,429615314,neighbours,Circle,0.05,5000,random,5,9.44513,1.88903,1.87016,0.0424003,1,1.86714,286142,0,40,dynamic
2025-12-11-14:19:52,linOct,PointsAoS,MortonEncoder3D,429615314,neighbours,Circle,0.1,5000,random,5,22.0368,4.40735,4.31676,0.130562,1,4.31806,733601,0,40,dynamic
2025-12-11-14:20:57,linOct,PointsAoS,MortonEncoder3D,429615314,neighbours,Circle,0.2,5000,random,5,54.6217,10.9243,10.8349,0.249046,1,10.5467,1879579,0,40,dynamic
2025-12-11-14:20:59,linOct,PointsAoS,MortonEncoder3D,429615314,neighboursPrune,Circle,0.01,5000,random,5,1.28226,0.256451,0.258913,0.00456969,1,0.258499,25064,0,40,dynamic
2025-12-11-14:21:04,linOct,PointsAoS,MortonEncoder3D,429615314,neighboursPrune,Circle,0.05,5000,random,5,4.28151,0.856301,0.851347,0.0200862,1,0.84909,286142,0,40,dynamic
2025-12-11-14:21:15,linOct,PointsAoS,MortonEncoder3D,429615314,neighboursPrune,Circle,0.1,5000,random,5,9.4488,1.88976,1.88628,0.0601578,1,1.85061,733601,0,40,dynamic
2025-12-11-14:21:44,linOct,PointsAoS,MortonEncoder3D,429615314,neighboursPrune,Circle,0.2,5000,random,5,23.5013,4.70027,4.64134,0.175491,1,4.63781,1879579,0,40,dynamic
2025-12-11-14:21:45,linOct,PointsAoS,MortonEncoder3D,429615314,neighboursStruct,Circle,0.01,5000,random,5,1.09613,0.219227,0.219627,0.00480313,1,0.223489,25064,0,40,dynamic
2025-12-11-14:21:48,linOct,PointsAoS,MortonEncoder3D,429615314,neighboursStruct,Circle,0.05,5000,random,5,2.44753,0.489506,0.489214,0.0112535,1,0.492479,286142,0,40,dynamic
