date,octree,point_type,encoder,npoints,operation,kernel,radius,reorder,num_searches,sequential_searches,repeats,treshold,maxPointsLeaf,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule
2026-05-13-11:28:20,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,0.5,none,50000,random,5,32,128,0.348544,0.0697088,0.068865,0.00211463,1,0.0848695,2042,0,40,dynamic
2026-05-13-11:28:21,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,1,none,50000,random,5,32,128,0.766713,0.153343,0.153309,0.000215625,1,0.15499,8208,0,40,dynamic
2026-05-13-11:28:23,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,2,none,50000,random,5,32,128,2.00843,0.401686,0.401869,0.000623879,1,0.401589,32497,0,40,dynamic
2026-05-13-11:28:28,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,3,none,50000,random,5,32,128,4.19671,0.839342,0.83981,0.00128742,1,0.838779,71265,0,40,dynamic
2026-05-13-11:28:28,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,0.5,none,50000,random,5,32,128,0.357736,0.0715471,0.0716105,0.000102318,1,0.0719619,2741,0,40,dynamic
2026-05-13-11:28:29,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,1,none,50000,random,5,32,128,0.832294,0.166459,0.166542,0.000207552,1,0.165838,11107,0,40,dynamic
2026-05-13-11:28:32,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,2,none,50000,random,5,32,128,2.40669,0.481338,0.481501,0.000954166,1,0.479639,43345,0,40,dynamic
2026-05-13-11:28:39,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,3,none,50000,random,5,32,128,5.44248,1.0885,1.09014,0.00294528,1,1.08495,94600,0,40,dynamic
2026-05-13-11:28:40,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,0.5,polar,50000,random,5,32,128,0.577753,0.115551,0.120825,0.0078652,1,0.130162,2042,0,40,dynamic
2026-05-13-11:28:41,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,1,polar,50000,random,5,32,128,1.1664,0.233281,0.23259,0.00158457,1,0.239432,8208,0,40,dynamic
2026-05-13-11:28:45,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,2,polar,50000,random,5,32,128,2.97163,0.594326,0.594906,0.00113392,1,0.598405,32497,0,40,dynamic
2026-05-13-11:28:52,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,3,polar,50000,random,5,32,128,5.82747,1.16549,1.16569,0.0014956,1,1.16481,71265,0,40,dynamic
2026-05-13-11:28:52,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,0.5,polar,50000,random,5,32,128,0.559906,0.111981,0.111961,0.000148178,1,0.112356,2741,0,40,dynamic
2026-05-13-11:28:54,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,1,polar,50000,random,5,32,128,1.30367,0.260734,0.260923,0.000361085,1,0.260168,11107,0,40,dynamic
2026-05-13-11:28:58,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,2,polar,50000,random,5,32,128,3.57928,0.715857,0.715735,0.00139836,1,0.713617,43345,0,40,dynamic
2026-05-13-11:29:07,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,3,polar,50000,random,5,32,128,7.37573,1.47515,1.47639,0.00308151,1,1.47231,94600,0,40,dynamic
2026-05-13-11:29:09,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,0.5,cartesian,50000,random,5,32,128,0.721875,0.144375,0.144169,0.00447499,1,0.158966,2042,0,40,dynamic
2026-05-13-11:29:10,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,1,cartesian,50000,random,5,32,128,1.49204,0.298408,0.297787,0.00607487,1,0.316398,8208,0,40,dynamic
2026-05-13-11:29:15,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,2,cartesian,50000,random,5,32,128,3.61633,0.723267,0.723265,0.0039422,1,0.736565,32497,0,40,dynamic
2026-05-13-11:29:23,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,sphere,3,cartesian,50000,random,5,32,128,6.77849,1.3557,1.35359,0.00658457,1,1.36155,71265,0,40,dynamic
2026-05-13-11:29:24,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,0.5,cartesian,50000,random,5,32,128,0.548778,0.109756,0.10995,0.000513024,1,0.111437,2741,0,40,dynamic
2026-05-13-11:29:25,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,1,cartesian,50000,random,5,32,128,1.22812,0.245624,0.245653,0.00136641,1,0.247644,11107,0,40,dynamic
2026-05-13-11:29:29,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,2,cartesian,50000,random,5,32,128,3.29131,0.658262,0.657709,0.00165016,1,0.66032,43345,0,40,dynamic
2026-05-13-11:29:37,linOct,PointsAoS,MortonEncoder3D,10000000,neighborsPrune,cube,3,cartesian,50000,random,5,32,128,6.94888,1.38978,1.39108,0.00399207,1,1.38864,94599,0,40,dynamic
2026-05-13-11:29:42,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,none,50000,random,5,32,128,0.306485,0.0612971,0.06063,0.00156571,1,0.0742236,2051,0,40,dynamic
2026-05-13-11:29:43,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,none,50000,random,5,32,128,0.682525,0.136505,0.138343,0.00286939,1,0.133256,8239,0,40,dynamic
2026-05-13-11:29:45,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,2,none,50000,random,5,32,128,1.66279,0.332558,0.332802,0.000690731,1,0.331025,32588,0,40,dynamic
2026-05-13-11:29:48,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,3,none,50000,random,5,32,128,3.1726,0.63452,0.633986,0.00155225,1,0.634065,71426,0,40,dynamic
2026-05-13-11:29:49,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,0.5,none,50000,random,5,32,128,0.32901,0.0658019,0.0657808,0.000137824,1,0.0658698,2752,0,40,dynamic
2026-05-13-11:29:50,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,1,none,50000,random,5,32,128,0.741718,0.148344,0.148311,0.000277848,1,0.14873,11141,0,40,dynamic
2026-05-13-11:29:52,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,2,none,50000,random,5,32,128,1.91993,0.383986,0.383846,0.00076822,1,0.383958,43463,0,40,dynamic
2026-05-13-11:29:57,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,3,none,50000,random,5,32,128,4.12153,0.824307,0.823495,0.00176045,1,0.823473,94803,0,40,dynamic
2026-05-13-11:29:58,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,polar,50000,random,5,32,128,0.509143,0.101829,0.101534,0.00255159,1,0.117349,2051,0,40,dynamic
2026-05-13-11:29:59,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,polar,50000,random,5,32,128,1.09169,0.218337,0.218607,0.00105906,1,0.222123,8239,0,40,dynamic
2026-05-13-11:30:02,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,2,polar,50000,random,5,32,128,2.50135,0.50027,0.497856,0.00466205,1,0.498436,32588,0,40,dynamic
2026-05-13-11:30:07,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,3,polar,50000,random,5,32,128,4.40299,0.880597,0.879989,0.00143486,1,0.879734,71426,0,40,dynamic
2026-05-13-11:30:08,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,0.5,polar,50000,random,5,32,128,0.544492,0.108898,0.108803,0.000222838,1,0.10939,2752,0,40,dynamic
2026-05-13-11:30:10,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,1,polar,50000,random,5,32,128,1.22099,0.244197,0.244347,0.0003133,1,0.243835,11141,0,40,dynamic
2026-05-13-11:30:13,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,2,polar,50000,random,5,32,128,2.85775,0.571551,0.571884,0.000915882,1,0.570895,43463,0,40,dynamic
2026-05-13-11:30:19,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,3,polar,50000,random,5,32,128,5.46576,1.09315,1.09296,0.00182807,1,1.09199,94803,0,40,dynamic
2026-05-13-11:30:21,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,0.5,cartesian,50000,random,5,32,128,0.611447,0.122289,0.120699,0.00285064,1,0.139938,2051,0,40,dynamic
2026-05-13-11:30:22,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,1,cartesian,50000,random,5,32,128,1.31238,0.262476,0.262777,0.00344154,1,0.273715,8239,0,40,dynamic
2026-05-13-11:30:26,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,2,cartesian,50000,random,5,32,128,3.00153,0.600306,0.600893,0.00233709,1,0.60845,32588,0,40,dynamic
2026-05-13-11:30:33,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,sphere,3,cartesian,50000,random,5,32,128,5.60174,1.12035,1.1201,0.00233378,1,1.12125,71426,0,40,dynamic
2026-05-13-11:30:33,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,0.5,cartesian,50000,random,5,32,128,0.474732,0.0949464,0.0949411,0.000326456,1,0.0956459,2752,0,40,dynamic
2026-05-13-11:30:35,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,1,cartesian,50000,random,5,32,128,1.04755,0.209511,0.20971,0.000671964,1,0.210425,11141,0,40,dynamic
2026-05-13-11:30:38,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,2,cartesian,50000,random,5,32,128,2.6471,0.52942,0.529233,0.00161887,1,0.529377,43463,0,40,dynamic
2026-05-13-11:30:45,linOct,PointsAoS,HilbertEncoder3D,10000000,neighborsPrune,cube,3,cartesian,50000,random,5,32,128,5.73157,1.14631,1.14572,0.00216446,1,1.14815,94803,0,40,dynamic
